name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1985 Australian Grand Prix 🇦🇺,2:00:40.473,16,82,Williams 🇬🇧,1985-11-03T00:00:00.000Z,Keke Rosberg 🇫🇮,1985
1986 Australian Grand Prix 🇦🇺,1:54:20.388,16,82,McLaren 🇬🇧,1986-10-26T00:00:00.000Z,Alain Prost 🇫🇷,1986
1987 Australian Grand Prix 🇦🇺,1:52:56.144,16,82,Ferrari 🇮🇹,1987-11-15T00:00:00.000Z,Gerhard Berger 🇦🇹,1987
1988 Australian Grand Prix 🇦🇺,1:53:14.676,16,82,McLaren 🇬🇧,1988-11-13T00:00:00.000Z,Alain Prost 🇫🇷,1988
1989 Australian Grand Prix 🇦🇺,2:00:17.421,16,70,Williams 🇬🇧,1989-11-05T00:00:00.000Z,Thierry Boutsen 🇧🇪,1989
1990 Australian Grand Prix 🇦🇺,1:49:44.570,16,81,Benetton 🇮🇹,1990-11-04T00:00:00.000Z,Nelson Piquet 🇧🇷,1990
1991 Australian Grand Prix 🇦🇺,24:34.899,16,14,McLaren 🇬🇧,1991-11-03T00:00:00.000Z,Ayrton Senna 🇧🇷,1991
1992 Australian Grand Prix 🇦🇺,1:46:54.786,16,81,McLaren 🇬🇧,1992-11-08T00:00:00.000Z,Gerhard Berger 🇦🇹,1992
1993 Australian Grand Prix 🇦🇺,1:43:27.476,16,79,McLaren 🇬🇧,1993-11-07T00:00:00.000Z,Ayrton Senna 🇧🇷,1993
1994 Australian Grand Prix 🇦🇺,1:47:51.4,16,81,Williams 🇬🇧,1994-11-13T00:00:00.000Z,Nigel Mansell 🇬🇧,1994
1995 Australian Grand Prix 🇦🇺,1:49:15.946,17,81,Williams 🇬🇧,1995-11-12T00:00:00.000Z,Damon Hill 🇬🇧,1995
