name,race_duration,round,season,laps_completed
Australian Grand Prix,,1,2017,
Australian Grand Prix,1:48:15.565,1,2016,57
Australian Grand Prix,1:31:54.067,1,2015,58
Australian Grand Prix,1:32:58.710,1,2014,57
Australian Grand Prix,1:30:03.225,1,2013,58
Australian Grand Prix,1:34:09.565,1,2012,58
Australian Grand Prix,1:29:30.259,1,2011,58
Australian Grand Prix,1:33:36.531,2,2010,58
Australian Grand Prix,1:34:15.784,1,2009,58
Australian Grand Prix,1:34:50.616,1,2008,58
Australian Grand Prix,1:25:28.770,1,2007,58
Australian Grand Prix,1:34:27.870,3,2006,57
Australian Grand Prix,1:24:17.336,1,2005,57
Australian Grand Prix,1:24:15.757,1,2004,58
Australian Grand Prix,1:34:42.1,1,2003,58
Australian Grand Prix,1:35:36.792,1,2002,58
Australian Grand Prix,1:38:26.533,1,2001,58
Australian Grand Prix,1:34:01.987,1,2000,58
Australian Grand Prix,1:35:01.659,1,1999,57
Australian Grand Prix,1:31:46.0,1,1998,58
Australian Grand Prix,1:30:28.718,1,1997,58
Australian Grand Prix,1:32:50.4,1,1996,58
