name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1964 British Grand Prix 🇬🇧,2:15:07.0,5,80,Lotus-Climax 🇬🇧,1964-07-11,Jim Clark 🇬🇧,1964
1966 British Grand Prix 🇬🇧,2:13:13.4,4,80,Brabham-Repco 🇬🇧,1966-07-16,Jack Brabham 🇦🇺,1966
1968 British Grand Prix 🇬🇧,2:01:20.3,7,80,Lotus-Ford 🇬🇧,1968-07-20,Jo Siffert 🇨🇭,1968
1970 British Grand Prix 🇬🇧,1:57:02.0,7,80,Team Lotus 🇬🇧,1970-07-18,Jochen Rindt 🇦🇹,1970
1972 British Grand Prix 🇬🇧,1:47:50.2,7,76,Team Lotus 🇬🇧,1972-07-15,Emerson Fittipaldi 🇧🇷,1972
1974 British Grand Prix 🇬🇧,1:43:02.2,10,75,Tyrrell 🇬🇧,1974-07-20,Jody Scheckter 🇿🇦,1974
1976 British Grand Prix 🇬🇧,1:44:19.66,9,76,Ferrari 🇮🇹,1976-07-18,Niki Lauda 🇦🇹,1976
1978 British Grand Prix 🇬🇧,1:42:12.39,10,76,Ferrari 🇮🇹,1978-07-16,Carlos Reutemann 🇦🇷,1978
1980 British Grand Prix 🇬🇧,1:34:49.228,8,76,Williams 🇬🇧,1980-07-13,Alan Jones 🇦🇺,1980
1982 British Grand Prix 🇬🇧,1:35:33.812,10,76,McLaren 🇬🇧,1982-07-18,Niki Lauda 🇦🇹,1982
1983 European Grand Prix 🇬🇧,1:36:45.865,14,76,Brabham 🇬🇧,1983-09-25,Nelson Piquet 🇧🇷,1983
1984 British Grand Prix 🇬🇧,1:29:28.532,10,71,McLaren 🇬🇧,1984-07-22,Niki Lauda 🇦🇹,1984
1985 European Grand Prix 🇬🇧,1:32:58.109,14,75,Williams 🇬🇧,1985-10-06,Nigel Mansell 🇬🇧,1985
1986 British Grand Prix 🇬🇧,1:30:38.471,9,75,Williams 🇬🇧,1986-07-13,Nigel Mansell 🇬🇧,1986
