name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1980 Italian Grand Prix 🇮🇹,1:38:07.52,12,60,Brabham 🇬🇧,1980-09-14,Nelson Piquet 🇧🇷,1980
1981 San Marino Grand Prix 🇮🇹,1:51:23.97,4,60,Brabham 🇬🇧,1981-05-03,Nelson Piquet 🇧🇷,1981
1982 San Marino Grand Prix 🇮🇹,1:36:38.887,4,60,Ferrari 🇮🇹,1982-04-25,Didier Pironi 🇫🇷,1982
1983 San Marino Grand Prix 🇮🇹,1:37:52.460,4,60,Ferrari 🇮🇹,1983-05-01,Patrick Tambay 🇫🇷,1983
1984 San Marino Grand Prix 🇮🇹,1:36:53.679,4,60,McLaren 🇬🇧,1984-05-06,Alain Prost 🇫🇷,1984
1985 San Marino Grand Prix 🇮🇹,1:34:35.955,3,60,Team Lotus 🇬🇧,1985-05-05,Elio de Angelis 🇮🇹,1985
1986 San Marino Grand Prix 🇮🇹,1:32:28.408,3,60,McLaren 🇬🇧,1986-04-27,Alain Prost 🇫🇷,1986
1987 San Marino Grand Prix 🇮🇹,1:31:24.076,2,59,Williams 🇬🇧,1987-05-03,Nigel Mansell 🇬🇧,1987
1988 San Marino Grand Prix 🇮🇹,1:32:41.264,2,60,McLaren 🇬🇧,1988-05-01,Ayrton Senna 🇧🇷,1988
1989 San Marino Grand Prix 🇮🇹,1:26:51.245,2,58,McLaren 🇬🇧,1989-04-23,Ayrton Senna 🇧🇷,1989
1990 San Marino Grand Prix 🇮🇹,1:30:55.478,3,61,Williams 🇬🇧,1990-05-13,Riccardo Patrese 🇮🇹,1990
1991 San Marino Grand Prix 🇮🇹,1:35:14.750,3,61,McLaren 🇬🇧,1991-04-28,Ayrton Senna 🇧🇷,1991
1992 San Marino Grand Prix 🇮🇹,1:28:40.927,5,60,Williams 🇬🇧,1992-05-17,Nigel Mansell 🇬🇧,1992
1993 San Marino Grand Prix 🇮🇹,1:33:20.413,4,61,Williams 🇬🇧,1993-04-25,Alain Prost 🇫🇷,1993
1994 San Marino Grand Prix 🇮🇹,1:28:28.642,3,58,Benetton 🇮🇹,1994-05-01,Michael Schumacher 🇩🇪,1994
1995 San Marino Grand Prix 🇮🇹,1:41:42.522,3,63,Williams 🇬🇧,1995-04-30,Damon Hill 🇬🇧,1995
1996 San Marino Grand Prix 🇮🇹,1:35:26.156,5,63,Williams 🇬🇧,1996-05-05,Damon Hill 🇬🇧,1996
1997 San Marino Grand Prix 🇮🇹,1:31:00.673,4,62,Williams 🇬🇧,1997-04-27,Heinz-Harald Frentzen 🇩🇪,1997
1998 San Marino Grand Prix 🇮🇹,1:34:25.4,4,62,McLaren 🇬🇧,1998-04-26,David Coulthard 🇬🇧,1998
1999 San Marino Grand Prix 🇮🇹,1:33:44.792,3,62,Ferrari 🇮🇹,1999-05-02,Michael Schumacher 🇩🇪,1999
2000 San Marino Grand Prix 🇮🇹,1:31:39.776,3,62,Ferrari 🇮🇹,2000-04-09,Michael Schumacher 🇩🇪,2000
2001 San Marino Grand Prix 🇮🇹,1:30:44.817,4,62,Williams 🇬🇧,2001-04-15,Ralf Schumacher 🇩🇪,2001
2002 San Marino Grand Prix 🇮🇹,1:29:10.789,4,62,Ferrari 🇮🇹,2002-04-14,Michael Schumacher 🇩🇪,2002
2003 San Marino Grand Prix 🇮🇹,1:28:12.058,4,62,Ferrari 🇮🇹,2003-04-20,Michael Schumacher 🇩🇪,2003
2004 San Marino Grand Prix 🇮🇹,1:26:19.670,4,62,Ferrari 🇮🇹,2004-04-25,Michael Schumacher 🇩🇪,2004
2005 San Marino Grand Prix 🇮🇹,1:27:41.921,4,62,Renault 🇫🇷,2005-04-24,Fernando Alonso 🇪🇸,2005
2006 San Marino Grand Prix 🇮🇹,1:31:06.486,4,62,Ferrari 🇮🇹,2006-04-23,Michael Schumacher 🇩🇪,2006
