name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1950 Indianapolis 500 🇺🇸,2:46:55.97,3,138,Kurtis Kraft 🇺🇸,1950-05-30,Johnnie Parsons 🇺🇸,1950
1951 Indianapolis 500 🇺🇸,3:57:38.05,2,200,Kurtis Kraft 🇺🇸,1951-05-30,Lee Wallard 🇺🇸,1951
1952 Indianapolis 500 🇺🇸,3:52:41.88,2,200,Kuzma 🇺🇸,1952-05-30,Troy Ruttman 🇺🇸,1952
1953 Indianapolis 500 🇺🇸,3:53:01.69,2,200,Kurtis Kraft 🇺🇸,1953-05-30,Bill Vukovich 🇺🇸,1953
1954 Indianapolis 500 🇺🇸,3:49:17.27,2,200,Kurtis Kraft 🇺🇸,1954-05-31,Bill Vukovich 🇺🇸,1954
1955 Indianapolis 500 🇺🇸,3:53:59.53,3,200,Kurtis Kraft 🇺🇸,1955-05-30,Bob Sweikert 🇺🇸,1955
1956 Indianapolis 500 🇺🇸,3:53:28.84,3,200,Watson 🇺🇸,1956-05-30,Pat Flaherty 🇺🇸,1956
1957 Indianapolis 500 🇺🇸,3:41:14.25,3,200,Epperly 🇺🇸,1957-05-30,Sam Hanks 🇺🇸,1957
1958 Indianapolis 500 🇺🇸,3:44:13.80,4,200,Epperly 🇺🇸,1958-05-30,Jimmy Bryan 🇺🇸,1958
1959 Indianapolis 500 🇺🇸,3:40:49.20,2,200,Watson 🇺🇸,1959-05-30,Rodger Ward 🇺🇸,1959
1960 Indianapolis 500 🇺🇸,3:36:11.36,3,200,Watson 🇺🇸,1960-05-30,Jim Rathmann 🇺🇸,1960
2000 United States Grand Prix 🇺🇸,1:36:30.883,15,73,Ferrari 🇮🇹,2000-09-24,Michael Schumacher 🇩🇪,2000
2001 United States Grand Prix 🇺🇸,1:32:42.840,16,73,McLaren 🇬🇧,2001-09-30,Mika Häkkinen 🇫🇮,2001
2002 United States Grand Prix 🇺🇸,1:31:08.0,16,73,Ferrari 🇮🇹,2002-09-29,Rubens Barrichello 🇧🇷,2002
2003 United States Grand Prix 🇺🇸,1:33:35.997,15,73,Ferrari 🇮🇹,2003-09-28,Michael Schumacher 🇩🇪,2003
2004 United States Grand Prix 🇺🇸,1:40:29.914,9,73,Ferrari 🇮🇹,2004-06-20,Michael Schumacher 🇩🇪,2004
2005 United States Grand Prix 🇺🇸,1:29:43.181,9,73,Ferrari 🇮🇹,2005-06-19,Michael Schumacher 🇩🇪,2005
2006 United States Grand Prix 🇺🇸,1:34:35.199,10,73,Ferrari 🇮🇹,2006-07-02,Michael Schumacher 🇩🇪,2006
2007 United States Grand Prix 🇺🇸,1:31:09.965,7,73,McLaren 🇬🇧,2007-06-17,Lewis Hamilton 🇬🇧,2007
