name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
2008 Singapore Grand Prix 🇸🇬,1:57:16.304,15,61,Renault 🇫🇷,2008-09-28T00:00:00.000Z,Fernando Alonso 🇪🇸,2008
2009 Singapore Grand Prix 🇸🇬,1:56:06.337,14,61,McLaren 🇬🇧,2009-09-27T00:00:00.000Z,Lewis Hamilton 🇬🇧,2009
2010 Singapore Grand Prix 🇸🇬,1:57:53.579,15,61,Ferrari 🇮🇹,2010-09-26T00:00:00.000Z,Fernando Alonso 🇪🇸,2010
2011 Singapore Grand Prix 🇸🇬,1:59:04.757,14,61,Red Bull 🇦🇹,2011-09-25T00:00:00.000Z,Sebastian Vettel 🇩🇪,2011
2012 Singapore Grand Prix 🇸🇬,2:00:26.144,14,59,Red Bull 🇦🇹,2012-09-23T00:00:00.000Z,Sebastian Vettel 🇩🇪,2012
2013 Singapore Grand Prix 🇸🇬,1:59:13.132,13,61,Red Bull 🇦🇹,2013-09-22T00:00:00.000Z,Sebastian Vettel 🇩🇪,2013
2014 Singapore Grand Prix 🇸🇬,2:00:04.795,14,60,Mercedes 🇩🇪,2014-09-21T00:00:00.000Z,Lewis Hamilton 🇬🇧,2014
2015 Singapore Grand Prix 🇸🇬,2:01:22.118,13,61,Ferrari 🇮🇹,2015-09-20T00:00:00.000Z,Sebastian Vettel 🇩🇪,2015
2016 Singapore Grand Prix 🇸🇬,1:55:48.950,15,61,Mercedes 🇩🇪,2016-09-18T00:00:00.000Z,Nico Rosberg 🇩🇪,2016
2017 Singapore Grand Prix 🇸🇬,,14,,,2017-09-17T00:00:00.000Z,,2017
