name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1950 Italian Grand Prix 🇮🇹,2:51:17.4,7,80,Alfa Romeo 🇮🇹,1950-09-03,Nino Farina 🇮🇹,1950
1951 Italian Grand Prix 🇮🇹,2:42:39.3,7,80,Ferrari 🇮🇹,1951-09-16,Alberto Ascari 🇮🇹,1951
1952 Italian Grand Prix 🇮🇹,2:50:45.6,8,80,Ferrari 🇮🇹,1952-09-07,Alberto Ascari 🇮🇹,1952
1953 Italian Grand Prix 🇮🇹,2:49:45.9,9,80,Maserati 🇮🇹,1953-09-13,Juan Fangio 🇦🇷,1953
1954 Italian Grand Prix 🇮🇹,2:47:47.9,8,80,Mercedes 🇩🇪,1954-09-05,Juan Fangio 🇦🇷,1954
1955 Italian Grand Prix 🇮🇹,2:25:04.4,7,50,Mercedes 🇩🇪,1955-09-11,Juan Fangio 🇦🇷,1955
1956 Italian Grand Prix 🇮🇹,2:23:41.3,8,50,Maserati 🇮🇹,1956-09-02,Stirling Moss 🇬🇧,1956
1957 Italian Grand Prix 🇮🇹,2:35:03.9,8,87,Vanwall 🇬🇧,1957-09-08,Stirling Moss 🇬🇧,1957
1958 Italian Grand Prix 🇮🇹,2:03:47.8,10,70,Vanwall 🇬🇧,1958-09-07,Tony Brooks 🇬🇧,1958
1959 Italian Grand Prix 🇮🇹,2:04:05.4,8,72,Cooper-Climax 🇬🇧,1959-09-13,Stirling Moss 🇬🇧,1959
1960 Italian Grand Prix 🇮🇹,2:21:09.2,9,50,Ferrari 🇮🇹,1960-09-04,Phil Hill 🇺🇸,1960
1961 Italian Grand Prix 🇮🇹,2:03:13.0,7,43,Ferrari 🇮🇹,1961-09-10,Phil Hill 🇺🇸,1961
1962 Italian Grand Prix 🇮🇹,2:29:08.4,7,86,BRM 🇬🇧,1962-09-16,Graham Hill 🇬🇧,1962
1963 Italian Grand Prix 🇮🇹,2:24:19.6,7,86,Lotus-Climax 🇬🇧,1963-09-08,Jim Clark 🇬🇧,1963
1964 Italian Grand Prix 🇮🇹,2:10:51.8,8,78,Ferrari 🇮🇹,1964-09-06,John Surtees 🇬🇧,1964
1965 Italian Grand Prix 🇮🇹,2:04:52.8,8,76,BRM 🇬🇧,1965-09-12,Jackie Stewart 🇬🇧,1965
1966 Italian Grand Prix 🇮🇹,1:47:14.8,7,68,Ferrari 🇮🇹,1966-09-04,Ludovico Scarfiotti 🇮🇹,1966
1967 Italian Grand Prix 🇮🇹,1:43:45.0,9,68,Honda 🇯🇵,1967-09-10,John Surtees 🇬🇧,1967
1968 Italian Grand Prix 🇮🇹,1:40:14.8,9,68,McLaren-Ford 🇬🇧,1968-09-08,Denny Hulme 🇳🇿,1968
1969 Italian Grand Prix 🇮🇹,1:39:11.26,8,68,Matra-Ford 🇫🇷,1969-09-07,Jackie Stewart 🇬🇧,1969
1970 Italian Grand Prix 🇮🇹,1:39:07.1,10,68,Ferrari 🇮🇹,1970-09-06,Clay Regazzoni 🇨🇭,1970
1971 Italian Grand Prix 🇮🇹,1:18:12.60,9,55,BRM 🇬🇧,1971-09-05,Peter Gethin 🇬🇧,1971
1972 Italian Grand Prix 🇮🇹,1:29:58.4,10,55,Team Lotus 🇬🇧,1972-09-10,Emerson Fittipaldi 🇧🇷,1972
1973 Italian Grand Prix 🇮🇹,1:29:17.0,13,55,Team Lotus 🇬🇧,1973-09-09,Ronnie Peterson 🇸🇪,1973
1974 Italian Grand Prix 🇮🇹,1:22:56.6,13,52,Team Lotus 🇬🇧,1974-09-08,Ronnie Peterson 🇸🇪,1974
1975 Italian Grand Prix 🇮🇹,1:22:42.6,13,52,Ferrari 🇮🇹,1975-09-07,Clay Regazzoni 🇨🇭,1975
1976 Italian Grand Prix 🇮🇹,1:30:35.6,13,52,March 🇬🇧,1976-09-12,Ronnie Peterson 🇸🇪,1976
1977 Italian Grand Prix 🇮🇹,1:27:50.30,14,52,Team Lotus 🇬🇧,1977-09-11,Mario Andretti 🇺🇸,1977
1978 Italian Grand Prix 🇮🇹,1:07:04.54,14,40,Brabham 🇬🇧,1978-09-10,Niki Lauda 🇦🇹,1978
1979 Italian Grand Prix 🇮🇹,1:22:00.22,13,50,Ferrari 🇮🇹,1979-09-09,Jody Scheckter 🇿🇦,1979
1981 Italian Grand Prix 🇮🇹,1:26:36.897,13,52,Renault 🇫🇷,1981-09-13,Alain Prost 🇫🇷,1981
1982 Italian Grand Prix 🇮🇹,1:22:25.734,15,52,Renault 🇫🇷,1982-09-12,René Arnoux 🇫🇷,1982
1983 Italian Grand Prix 🇮🇹,1:23:10.880,13,52,Brabham 🇬🇧,1983-09-11,Nelson Piquet 🇧🇷,1983
1984 Italian Grand Prix 🇮🇹,1:20:29.065,14,51,McLaren 🇬🇧,1984-09-09,Niki Lauda 🇦🇹,1984
1985 Italian Grand Prix 🇮🇹,1:17:59.451,12,51,McLaren 🇬🇧,1985-09-08,Alain Prost 🇫🇷,1985
1986 Italian Grand Prix 🇮🇹,1:17:42.889,13,51,Williams 🇬🇧,1986-09-07,Nelson Piquet 🇧🇷,1986
1987 Italian Grand Prix 🇮🇹,1:14:47.707,11,50,Williams 🇬🇧,1987-09-06,Nelson Piquet 🇧🇷,1987
1988 Italian Grand Prix 🇮🇹,1:17:39.744,12,51,Ferrari 🇮🇹,1988-09-11,Gerhard Berger 🇦🇹,1988
1989 Italian Grand Prix 🇮🇹,1:19:27.550,12,53,McLaren 🇬🇧,1989-09-10,Alain Prost 🇫🇷,1989
1990 Italian Grand Prix 🇮🇹,1:17:57.878,12,53,McLaren 🇬🇧,1990-09-09,Ayrton Senna 🇧🇷,1990
1991 Italian Grand Prix 🇮🇹,1:17:54.319,12,53,Williams 🇬🇧,1991-09-08,Nigel Mansell 🇬🇧,1991
1992 Italian Grand Prix 🇮🇹,1:18:15.349,13,53,McLaren 🇬🇧,1992-09-13,Ayrton Senna 🇧🇷,1992
1993 Italian Grand Prix 🇮🇹,1:17:07.509,13,53,Williams 🇬🇧,1993-09-12,Damon Hill 🇬🇧,1993
1994 Italian Grand Prix 🇮🇹,1:18:03.2,12,53,Williams 🇬🇧,1994-09-11,Damon Hill 🇬🇧,1994
1995 Italian Grand Prix 🇮🇹,1:18:27.916,12,53,Benetton 🇮🇹,1995-09-10,Johnny Herbert 🇬🇧,1995
1996 Italian Grand Prix 🇮🇹,1:17:43.632,14,53,Ferrari 🇮🇹,1996-09-08,Michael Schumacher 🇩🇪,1996
1997 Italian Grand Prix 🇮🇹,1:17:04.609,13,53,McLaren 🇬🇧,1997-09-07,David Coulthard 🇬🇧,1997
1998 Italian Grand Prix 🇮🇹,1:17:10.3,14,53,Ferrari 🇮🇹,1998-09-13,Michael Schumacher 🇩🇪,1998
1999 Italian Grand Prix 🇮🇹,1:17:02.923,13,53,Jordan 🇮🇪,1999-09-12,Heinz-Harald Frentzen 🇩🇪,1999
2000 Italian Grand Prix 🇮🇹,1:27:31.638,14,53,Ferrari 🇮🇹,2000-09-10,Michael Schumacher 🇩🇪,2000
