name,race_duration,round,season,laps_completed
French Grand Prix,1:33:29.606,7,1990,80
French Grand Prix,1:38:29.411,7,1989,80
French Grand Prix,1:37:37.328,7,1988,80
French Grand Prix,1:37:03.839,6,1987,80
French Grand Prix,1:37:19.272,8,1986,80
French Grand Prix,1:31:46.266,7,1985,53
French Grand Prix,1:34:13.913,3,1983,54
French Grand Prix,1:33:33.217,11,1982,54
French Grand Prix,1:32:43.4,7,1980,54
French Grand Prix,1:38:51.92,9,1978,54
French Grand Prix,1:40:58.60,8,1976,54
French Grand Prix,1:40:18.84,9,1975,54
French Grand Prix,1:41:36.52,8,1973,54
French Grand Prix,1:46:42.3,5,1971,55
