Cristiano da Matta 🇧🇷,17
Damon Hill 🇬🇧,1
David Coulthard 🇬🇧,52
Eddie Irvine 🇬🇧,2
Felipe Massa 🇧🇷,19
Fernando Alonso 🇪🇸,155
Giancarlo Fisichella 🇮🇹,3
Heikki Kovalainen 🇫🇮,4
Heinz-Harald Frentzen 🇩🇪,5
Jacques Villeneuve 🇨🇦,90
Jarno Trulli 🇮🇹,12
Jean Alesi 🇫🇷,7
Juan Pablo Montoya 🇨🇴,69
Kimi Räikkönen 🇫🇮,43
Lewis Hamilton 🇬🇧,192
Mark Webber 🇦🇺,60
Max Verstappen 🇳🇱,1
Michael Schumacher 🇩🇪,126
Mika Häkkinen 🇫🇮,135
Nick Heidfeld 🇩🇪,1
Nico Rosberg 🇩🇪,35
Rubens Barrichello 🇧🇷,56
Sebastian Vettel 🇩🇪,117
Valtteri Bottas 🇫🇮,1
