first_win,name,seasons,poles,top_ten,last_win,podiums,first_race,wins,titles,last_race,country
,Force India 🇮🇳,344,1,156,,5,2008-03-16,0,0,2017-03-26,India
,Haas F1 Team 🇺🇸,44,0,5,,0,2016-03-20,0,0,2017-03-26,USA
,Sauber 🇨🇭,708,0,280,,10,1993-03-14,0,0,2017-03-26,Switzerland
1951-07-14,Ferrari 🇮🇹,2102,213,1357,2017-03-26,719,1950-05-21,226,16,2017-03-26,Italy
1954-07-04,Mercedes 🇩🇪,316,74,238,2016-11-27,130,1954-07-04,64,3,2017-03-26,Germany
1972-03-04,McLaren 🇬🇧,1587,155,962,2012-11-25,469,1968-08-04,178,8,2017-03-26,UK
1979-07-01,Renault 🇫🇷,631,51,309,2008-10-12,100,1977-07-16,35,2,2017-03-26,France
1979-07-14,Williams 🇬🇧,1341,128,723,2012-05-13,311,1975-01-12,114,9,2017-03-26,UK
2008-09-14,Toro Rosso 🇮🇹,414,1,120,2008-09-14,1,2006-03-12,1,0,2017-03-26,Italy
2009-04-19,Red Bull 🇦🇹,452,58,317,2016-10-02,135,2005-03-06,52,4,2017-03-26,Austria
