did_not_finish,% of total participations,constructor
10,31.25%,Merzario 🇮🇹
10,12.35%,Coloni 🇮🇹
102,45.13%,Kurtis Kraft 🇺🇸
104,40.00%,Surtees 🇬🇧
108,25.47%,Toro Rosso 🇮🇹
11,27.50%,Matra-Ford 🇫🇷
11,14.10%,Manor Marussia 🇬🇧
11,61.11%,Veritas 🇩🇪
11,22.92%,Rial 🇩🇪
110,50.93%,Larrousse 🇫🇷
12,15.79%,Euro Brun 🇮🇹
12,42.86%,MF1 🇷🇺
13,61.90%,Cooper-BRM 🇬🇧
131,51.98%,Osella 🇮🇹
139,56.97%,Alfa Romeo 🇮🇹
14,25.93%,Haas F1 Team 🇺🇸
14,12.84%,Marussia 🇷🇺
14,41.18%,Spyker 🇳🇱
14,56.00%,Spirit 🇬🇧
15,38.46%,Kuzma 🇺🇸
15,17.86%,Porsche 🇩🇪
16,39.02%,Brabham-BRM 🇬🇧
16,61.54%,Shadow-Ford 🇬🇧
17,32.69%,Onyx 🇬🇧
18,39.13%,Penske 🇺🇸
18,85.71%,Eagle-Weslake 🇺🇸
183,35.19%,Benetton 🇮🇹
20,47.62%,Fondmetal 🇮🇹
20,14.29%,BMW Sauber 🇩🇪
20,68.97%,Simca 🇫🇷
212,48.62%,Maserati 🇮🇹
218,43.60%,Jordan 🇮🇪
222,34.63%,Renault 🇫🇷
23,57.50%,Simtek 🇬🇧
23,30.26%,Lotus 🇲🇾
235,32.73%,Sauber 🇨🇭
24,21.43%,Caterham 🇲🇾
24,41.38%,Brabham-Ford 🇬🇧
243,46.37%,March 🇬🇧
25,58.14%,March-Ford 🇬🇧
25,53.19%,HWM 🇬🇧
266,47.33%,BRM 🇬🇧
269,44.03%,Ligier 🇫🇷
27,35.53%,Virgin 🇬🇧
27,21.95%,AGS 🇫🇷
27,38.03%,Matra 🇫🇷
276,46.78%,Arrows 🇬🇧
29,52.73%,Iso Marlboro 🇬🇧
3,27.27%,Emeryson 🇬🇧
3,50.00%,BMW 🇩🇪
30,38.46%,Super Aguri 🇯🇵
315,47.58%,Brabham 🇬🇧
33,28.95%,HRT 🇪🇸
339,50.45%,Minardi 🇮🇹
34,62.96%,Connaught 🇬🇧
34,35.05%,Hesketh 🇬🇧
35,45.45%,Brabham-Repco 🇬🇧
36,41.38%,McLaren-Ford 🇬🇧
36,54.55%,Pacific 🇬🇧
37,57.81%,Leyton House 🇬🇧
37,46.84%,Wolf 🇨🇦
39,25.32%,Lotus F1 🇬🇧
39,72.22%,Forti 🇮🇹
39,66.10%,Brabham-Alfa Romeo 🇬🇧
390,44.78%,Team Lotus 🇬🇧
390,44.27%,Tyrrell 🇬🇧
391,28.94%,Williams 🇬🇧
4,100.00%,Pawl 🇺🇸
4,66.67%,Alta 🇬🇧
4,50.00%,Boro 🇳🇱
4,44.44%,Scarab 🇺🇸
40,56.34%,RAM 🇬🇧
40,38.83%,Cooper 🇬🇧
40,48.78%,Talbot-Lago 🇫🇷
43,60.56%,Vanwall 🇬🇧
44,47.31%,Brabham-Climax 🇬🇧
475,29.74%,McLaren 🇬🇧
5,55.56%,March-Alfa Romeo 🇬🇧
5,71.43%,AFM 🇩🇪
5,62.50%,Deidt 🇺🇸
5,100.00%,Bromme 🇺🇸
5,45.45%,Aston Martin 🇬🇧
50,32.89%,Honda 🇯🇵
50,15.34%,Mercedes 🇩🇪
54,34.84%,Fittipaldi 🇧🇷
57,47.11%,Lotus-BRM 🇬🇧
58,59.18%,Stewart 🇬🇧
6,35.29%,Scirocco 🇬🇧
6,75.00%,Schroeder 🇺🇸
6,40.00%,Lesovsky 🇺🇸
60,45.11%,Zakspeed 🇩🇪
619,29.31%,Ferrari 🇮🇹
62,60.78%,Gordini 🇫🇷
65,18.36%,Force India 🇮🇳
66,51.56%,Lotus-Ford 🇬🇧
68,51.91%,Toleman 🇬🇧
68,44.16%,Ensign 🇬🇧
68,50.75%,Cooper-Maserati 🇬🇧
7,36.84%,Embassy Hill 🇬🇧
71,49.31%,Dallara 🇮🇹
74,45.68%,ATS 🇮🇹
75,45.45%,Prost 🇫🇷
75,32.47%,Lotus-Climax 🇬🇧
75,44.12%,Jaguar 🇬🇧
78,27.86%,Toyota 🇯🇵
8,36.36%,Watson 🇺🇸
8,50.00%,Parnelli 🇺🇸
8,57.14%,McLaren-BRM 🇬🇧
8,72.73%,Lancia 🇮🇹
8,61.54%,ERA 🇬🇧
8,61.54%,Eagle-Climax 🇺🇸
8,42.11%,BRP 🇬🇧
80,17.32%,Red Bull 🇦🇹
88,53.33%,Lola 🇬🇧
89,42.18%,Shadow 🇬🇧
9,81.82%,Tecno 🇮🇹
9,64.29%,De Tomaso 🇮🇹
90,46.39%,Footwork 🇬🇧
92,34.33%,Cooper-Climax 🇬🇧
97,41.10%,BAR 🇬🇧
