first_win,name,seasons,poles,top_ten,last_win,podiums,first_race,wins,titles,last_race,country
,Adams 🇺🇸,2,0,0,,0,1950-05-30T00:00:00.000Z,0,0,1950-05-30T00:00:00.000Z,USA
,AFM 🇩🇪,7,0,1,,0,1952-05-18T00:00:00.000Z,0,0,1953-09-13T00:00:00.000Z,Germany
,AGS 🇫🇷,123,0,13,,0,1986-09-07T00:00:00.000Z,0,0,1991-09-29T00:00:00.000Z,France
,Leyton House 🇬🇧,64,0,13,,1,1990-03-11T00:00:00.000Z,0,0,1991-11-03T00:00:00.000Z,UK
,Alta 🇬🇧,6,0,1,,0,1950-05-13T00:00:00.000Z,0,0,1952-07-19T00:00:00.000Z,UK
,Andrea Moda 🇮🇹,15,0,0,,0,1992-05-03T00:00:00.000Z,0,0,1992-08-30T00:00:00.000Z,Italy
,Apollon 🇨🇭,1,0,0,,0,1977-09-11T00:00:00.000Z,0,0,1977-09-11T00:00:00.000Z,Switzerland
,Arrows 🇬🇧,590,1,196,,8,1978-01-29T00:00:00.000Z,0,0,2002-07-28T00:00:00.000Z,UK
,Arzani-Volpini 🇮🇹,1,0,0,,0,1955-09-11T00:00:00.000Z,0,0,1955-09-11T00:00:00.000Z,Italy
,Aston Butterworth 🇬🇧,4,0,0,,0,1952-06-22T00:00:00.000Z,0,0,1952-09-07T00:00:00.000Z,UK
,Aston Martin 🇬🇧,11,0,4,,0,1959-05-31T00:00:00.000Z,0,0,1960-07-16T00:00:00.000Z,UK
,ATS 🇮🇹,162,0,20,,0,1963-05-26T00:00:00.000Z,0,0,1984-10-21T00:00:00.000Z,Italy
,BAR 🇬🇧,236,2,112,,15,1999-03-07T00:00:00.000Z,0,0,2005-10-16T00:00:00.000Z,UK
,Bellasi 🇨🇭,6,0,0,,0,1970-06-21T00:00:00.000Z,0,0,1971-09-05T00:00:00.000Z,Switzerland
,Wetteroth 🇺🇸,1,0,0,,0,1950-05-30T00:00:00.000Z,0,0,1950-05-30T00:00:00.000Z,USA
,Virgin 🇬🇧,76,0,0,,0,2010-03-14T00:00:00.000Z,0,0,2011-11-27T00:00:00.000Z,UK
