name,race_duration,round,season,laps_completed
Argentine Grand Prix,1:48:36.1,3,1998,72
Argentine Grand Prix,1:52:01.715,3,1997,72
Argentine Grand Prix,1:54:55.322,3,1996,72
Argentine Grand Prix,1:53:14.532,2,1995,72
Argentine Grand Prix,1:34:32.74,3,1981,53
Argentine Grand Prix,1:43:24.38,1,1980,53
Argentine Grand Prix,1:36:03.21,1,1979,53
Argentine Grand Prix,1:37:04.47,1,1978,52
Argentine Grand Prix,1:40:11.19,1,1977,53
Argentine Grand Prix,1:39:26.29,1,1975,53
Argentine Grand Prix,1:41:02.01,1,1974,53
Argentine Grand Prix,1:56:18.22,1,1973,96
Argentine Grand Prix,1:57:59.1,1,1972,95
Argentine Grand Prix,2:17:49.5,1,1960,80
Argentine Grand Prix,2:19:33.7,1,1958,80
Argentine Grand Prix,3:00:55.9,1,1957,100
Argentine Grand Prix,3:00:03.7,1,1956,98
Argentine Grand Prix,3:00:38.6,1,1955,96
Argentine Grand Prix,3:00:55.8,1,1954,87
Argentine Grand Prix,3:01:04.6,1,1953,97
