name,race_duration,round,season,laps_completed
French Grand Prix,1:31:50.245,8,2008,70
French Grand Prix,1:30:54.200,8,2007,70
French Grand Prix,1:32:07.803,11,2006,70
French Grand Prix,1:31:22.232,10,2005,70
French Grand Prix,1:30:18.133,10,2004,70
French Grand Prix,1:30:49.213,10,2003,70
French Grand Prix,1:32:09.837,11,2002,72
French Grand Prix,1:33:35.636,10,2001,72
French Grand Prix,1:38:05.538,9,2000,72
French Grand Prix,1:58:24.343,7,1999,72
French Grand Prix,1:34:45.0,8,1998,71
French Grand Prix,1:36:29.2,9,1996,72
French Grand Prix,1:38:50.492,8,1997,72
French Grand Prix,1:38:36.2,7,1994,72
French Grand Prix,1:38:35.241,8,1993,72
French Grand Prix,1:38:08.459,8,1992,69
French Grand Prix,1:38:00.056,7,1991,72
French Grand Prix,1:38:28.429,7,1995,72
French Grand Prix,1:38:29.411,7,1989,80
French Grand Prix,1:37:37.328,7,1988,80
French Grand Prix,1:37:03.839,6,1987,80
French Grand Prix,1:37:19.272,8,1986,80
French Grand Prix,1:31:46.266,7,1985,53
French Grand Prix,1:31:11.951,5,1984,79
French Grand Prix,1:34:13.913,3,1983,54
French Grand Prix,1:33:33.217,11,1982,54
French Grand Prix,1:33:29.606,7,1990,80
French Grand Prix,1:35:48.13,8,1981,80
French Grand Prix,1:32:43.4,7,1980,54
French Grand Prix,1:35:20.42,8,1979,80
French Grand Prix,1:38:51.92,9,1978,54
French Grand Prix,1:39:40.13,9,1977,80
French Grand Prix,1:40:58.60,8,1976,54
French Grand Prix,1:40:18.84,9,1975,54
French Grand Prix,1:21:55.02,9,1974,80
French Grand Prix,1:41:36.52,8,1973,54
French Grand Prix,1:52:22.5,6,1972,38
French Grand Prix,1:46:42.3,5,1971,55
French Grand Prix,1:55:57.0,6,1970,38
French Grand Prix,1:56:47.4,5,1969,38
French Grand Prix,2:25:40.9,6,1968,60
French Grand Prix,2:13:21.3,5,1967,80
French Grand Prix,1:48:31.3,3,1966,48
French Grand Prix,2:41:38.4,4,1965,40
French Grand Prix,2:07:49.1,4,1964,57
French Grand Prix,2:10:54.3,4,1963,53
French Grand Prix,2:07:05.5,4,1962,54
French Grand Prix,2:14:17.5,4,1961,52
French Grand Prix,1:57:24.9,6,1960,50
French Grand Prix,2:01:26.5,4,1959,50
French Grand Prix,2:03:21.3,6,1958,50
French Grand Prix,3:07:46.4,4,1957,77
French Grand Prix,2:34:23.4,5,1956,61
French Grand Prix,2:42:47.9,4,1954,61
French Grand Prix,2:44:18.6,5,1953,60
French Grand Prix,3:00:00.0,4,1952,77
French Grand Prix,3:22:11.0,4,1951,77
French Grand Prix,2:57:52.8,6,1950,64
Swiss Grand Prix,1:32:41.087,14,1982,80
