name,race_duration,round,season,laps_completed
British Grand Prix,1:34:55.831,10,2016,52
British Grand Prix,1:31:27.729,9,2015,52
British Grand Prix,2:26:52.094,9,2014,52
British Grand Prix,1:32:59.456,8,2013,52
British Grand Prix,1:25:11.288,9,2012,52
British Grand Prix,1:28:41.194,9,2011,52
British Grand Prix,1:24.38.200,10,2010,52
British Grand Prix,1:22:49.328,8,2009,60
British Grand Prix,1:39:09.440,9,2008,60
British Grand Prix,1:21:43.074,9,2007,59
British Grand Prix,1:25:51.927,8,2006,60
British Grand Prix,1:24:29.588,11,2005,60
British Grand Prix,1:24:42.700,11,2004,60
British Grand Prix,2:42:18.2,5,1951,90
British Grand Prix,1:25:33.770,11,2001,60
British Grand Prix,1:28:37.554,11,2003,60
British Grand Prix,2:13:23.6,1,1950,70
British Grand Prix,1:47:02.4,9,1998,60
British Grand Prix,1:28:01.665,9,1997,59
British Grand Prix,1:33:00.874,10,1996,61
British Grand Prix,1:34:35.093,8,1995,61
British Grand Prix,1:28:50.108,4,2000,60
British Grand Prix,1:31:45.015,10,2002,60
British Grand Prix,1:25:38.189,9,1993,59
British Grand Prix,1:25:42.991,9,1992,59
British Grand Prix,1:27:35.479,8,1991,59
British Grand Prix,1:18:30.999,8,1990,64
British Grand Prix,1:19:22.131,8,1989,64
British Grand Prix,1:33:16.367,8,1988,65
British Grand Prix,1:19:11.780,7,1987,65
British Grand Prix,1:30:38.471,9,1986,75
British Grand Prix,1:18:10.436,8,1985,65
British Grand Prix,1:30:03.640,8,1994,60
British Grand Prix,1:29:28.532,10,1984,71
British Grand Prix,1:24:39.780,9,1983,67
British Grand Prix,1:32:30.144,8,1999,60
British Grand Prix,1:35:33.812,10,1982,76
British Grand Prix,1:26:54.80,9,1981,68
British Grand Prix,1:34:49.228,8,1980,76
British Grand Prix,1:26:11.17,9,1979,68
British Grand Prix,1:42:12.39,10,1978,76
British Grand Prix,1:31:46.06,10,1977,68
British Grand Prix,1:44:19.66,9,1976,76
British Grand Prix,1:22:05.0,10,1975,56
British Grand Prix,1:43:02.2,10,1974,75
British Grand Prix,1:29:18.5,9,1973,67
British Grand Prix,1:47:50.2,7,1972,76
British Grand Prix,1:31:31.5,6,1971,68
British Grand Prix,1:57:02.0,7,1970,80
British Grand Prix,1:55:55.6,6,1969,84
British Grand Prix,2:01:20.3,7,1968,80
British Grand Prix,1:59:25.6,6,1967,80
British Grand Prix,2:13:13.4,4,1966,80
British Grand Prix,2:05:25.4,5,1965,80
British Grand Prix,2:15:07.0,5,1964,80
British Grand Prix,2:14:09.6,5,1963,82
British Grand Prix,2:26:20.8,5,1962,75
British Grand Prix,2:40:53.6,5,1961,75
British Grand Prix,2:04:24.3,7,1960,77
British Grand Prix,2:30:11.6,5,1959,75
British Grand Prix,2:09:04.2,7,1958,75
British Grand Prix,3:06:37.8,5,1957,90
British Grand Prix,2:59:47.0,6,1956,101
British Grand Prix,3:07:21.2,6,1955,90
British Grand Prix,2:56:14.0,5,1954,90
British Grand Prix,2:50:00.0,6,1953,90
British Grand Prix,2:46:11.0,5,1952,85
European Grand Prix,1:36:45.865,14,1983,76
European Grand Prix,1:50:46.570,3,1993,76
European Grand Prix,1:32:58.109,14,1985,75
