name,code,flag
Argentina,ar,🇦🇷
Australia,au,🇦🇺
Austria,at,🇦🇹
Azerbaijan,az,🇦🇿
Bahrain,bh,🇧🇭
Belgium,be,🇧🇪
Brazil,br,🇧🇷
Canada,ca,🇨🇦
Chile,cl,🇨🇱
China,cn,🇨🇳
Colombia,co,🇨🇴
Czech Republic,cz,🇨🇿
Denmark,dk,🇩🇰
Finland,fi,🇫🇮
France,fr,🇫🇷
Germany,de,🇩🇪
Hungary,hu,🇭🇺
India,in,🇮🇳
Indonesia,id,🇮🇩
Ireland,ie,🇮🇪
Italy,it,🇮🇹
Japan,jp,🇯🇵
Korea,kr,🇰🇷
Liechtenstein,li,🇱🇮
Malaysia,my,🇲🇾
Mexico,mx,🇲🇽
Monaco,mc,🇲🇨
Morocco,ma,🇲🇦
Netherlands,nl,🇳🇱
New Zealand,nz,🇳🇿
Poland,pl,🇵🇱
Portugal,pt,🇵🇹
Rhodesia,zw,🇿🇼
Russia,ru,🇷🇺
Singapore,sg,🇸🇬
South Africa,za,🇿🇦
Spain,es,🇪🇸
Sweden,se,🇸🇪
Switzerland,ch,🇨🇭
Thailand,th,🇹🇭
Turkey,tr,🇹🇷
UAE,ae,🇦🇪
UK,gb,🇬🇧
USA,us,🇺🇸
Uruguay,uy,🇺🇾
Venezuela,ve,🇻🇪
