name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
1950 British Grand Prix 🇬🇧,2:13:23.6,1,70,Alfa Romeo 🇮🇹,1950-05-13,Silverstone Circuit,Nino Farina 🇮🇹,1950
1951 British Grand Prix 🇬🇧,2:42:18.2,5,90,Ferrari 🇮🇹,1951-07-14,Silverstone Circuit,José Froilán González 🇦🇷,1951
1952 British Grand Prix 🇬🇧,2:46:11.0,5,85,Ferrari 🇮🇹,1952-07-19,Silverstone Circuit,Alberto Ascari 🇮🇹,1952
1953 British Grand Prix 🇬🇧,2:50:00.0,6,90,Ferrari 🇮🇹,1953-07-18,Silverstone Circuit,Alberto Ascari 🇮🇹,1953
1954 British Grand Prix 🇬🇧,2:56:14.0,5,90,Ferrari 🇮🇹,1954-07-17,Silverstone Circuit,José Froilán González 🇦🇷,1954
1955 British Grand Prix 🇬🇧,3:07:21.2,6,90,Mercedes 🇩🇪,1955-07-16,Aintree,Stirling Moss 🇬🇧,1955
1956 British Grand Prix 🇬🇧,2:59:47.0,6,101,Ferrari 🇮🇹,1956-07-14,Silverstone Circuit,Juan Fangio 🇦🇷,1956
1957 British Grand Prix 🇬🇧,3:06:37.8,5,90,Vanwall 🇬🇧,1957-07-20,Aintree,Stirling Moss 🇬🇧,1957
1958 British Grand Prix 🇬🇧,2:09:04.2,7,75,Ferrari 🇮🇹,1958-07-19,Silverstone Circuit,Peter Collins 🇬🇧,1958
1959 British Grand Prix 🇬🇧,2:30:11.6,5,75,Cooper-Climax 🇬🇧,1959-07-18,Aintree,Jack Brabham 🇦🇺,1959
1960 British Grand Prix 🇬🇧,2:04:24.3,7,77,Cooper-Climax 🇬🇧,1960-07-16,Silverstone Circuit,Jack Brabham 🇦🇺,1960
1961 British Grand Prix 🇬🇧,2:40:53.6,5,75,Ferrari 🇮🇹,1961-07-15,Aintree,Wolfgang von Trips 🇩🇪,1961
1962 British Grand Prix 🇬🇧,2:26:20.8,5,75,Lotus-Climax 🇬🇧,1962-07-21,Aintree,Jim Clark 🇬🇧,1962
1963 British Grand Prix 🇬🇧,2:14:09.6,5,82,Lotus-Climax 🇬🇧,1963-07-20,Silverstone Circuit,Jim Clark 🇬🇧,1963
1964 British Grand Prix 🇬🇧,2:15:07.0,5,80,Lotus-Climax 🇬🇧,1964-07-11,Brands Hatch,Jim Clark 🇬🇧,1964
1965 British Grand Prix 🇬🇧,2:05:25.4,5,80,Lotus-Climax 🇬🇧,1965-07-10,Silverstone Circuit,Jim Clark 🇬🇧,1965
1966 British Grand Prix 🇬🇧,2:13:13.4,4,80,Brabham-Repco 🇬🇧,1966-07-16,Brands Hatch,Jack Brabham 🇦🇺,1966
1967 British Grand Prix 🇬🇧,1:59:25.6,6,80,Lotus-Ford 🇬🇧,1967-07-15,Silverstone Circuit,Jim Clark 🇬🇧,1967
1968 British Grand Prix 🇬🇧,2:01:20.3,7,80,Lotus-Ford 🇬🇧,1968-07-20,Brands Hatch,Jo Siffert 🇨🇭,1968
1969 British Grand Prix 🇬🇧,1:55:55.6,6,84,Matra-Ford 🇫🇷,1969-07-19,Silverstone Circuit,Jackie Stewart 🇬🇧,1969
1970 British Grand Prix 🇬🇧,1:57:02.0,7,80,Team Lotus 🇬🇧,1970-07-18,Brands Hatch,Jochen Rindt 🇦🇹,1970
1971 British Grand Prix 🇬🇧,1:31:31.5,6,68,Tyrrell 🇬🇧,1971-07-17,Silverstone Circuit,Jackie Stewart 🇬🇧,1971
1972 British Grand Prix 🇬🇧,1:47:50.2,7,76,Team Lotus 🇬🇧,1972-07-15,Brands Hatch,Emerson Fittipaldi 🇧🇷,1972
1973 British Grand Prix 🇬🇧,1:29:18.5,9,67,McLaren 🇬🇧,1973-07-14,Silverstone Circuit,Peter Revson 🇺🇸,1973
1974 British Grand Prix 🇬🇧,1:43:02.2,10,75,Tyrrell 🇬🇧,1974-07-20,Brands Hatch,Jody Scheckter 🇿🇦,1974
1975 British Grand Prix 🇬🇧,1:22:05.0,10,56,McLaren 🇬🇧,1975-07-19,Silverstone Circuit,Emerson Fittipaldi 🇧🇷,1975
1976 British Grand Prix 🇬🇧,1:44:19.66,9,76,Ferrari 🇮🇹,1976-07-18,Brands Hatch,Niki Lauda 🇦🇹,1976
1977 British Grand Prix 🇬🇧,1:31:46.06,10,68,McLaren 🇬🇧,1977-07-16,Silverstone Circuit,James Hunt 🇬🇧,1977
1978 British Grand Prix 🇬🇧,1:42:12.39,10,76,Ferrari 🇮🇹,1978-07-16,Brands Hatch,Carlos Reutemann 🇦🇷,1978
1979 British Grand Prix 🇬🇧,1:26:11.17,9,68,Williams 🇬🇧,1979-07-14,Silverstone Circuit,Clay Regazzoni 🇨🇭,1979
1980 British Grand Prix 🇬🇧,1:34:49.228,8,76,Williams 🇬🇧,1980-07-13,Brands Hatch,Alan Jones 🇦🇺,1980
1981 British Grand Prix 🇬🇧,1:26:54.80,9,68,McLaren 🇬🇧,1981-07-18,Silverstone Circuit,John Watson 🇬🇧,1981
1982 British Grand Prix 🇬🇧,1:35:33.812,10,76,McLaren 🇬🇧,1982-07-18,Brands Hatch,Niki Lauda 🇦🇹,1982
1983 British Grand Prix 🇬🇧,1:24:39.780,9,67,Renault 🇫🇷,1983-07-16,Silverstone Circuit,Alain Prost 🇫🇷,1983
1983 European Grand Prix 🇬🇧,1:36:45.865,14,76,Brabham 🇬🇧,1983-09-25,Brands Hatch,Nelson Piquet 🇧🇷,1983
1984 British Grand Prix 🇬🇧,1:29:28.532,10,71,McLaren 🇬🇧,1984-07-22,Brands Hatch,Niki Lauda 🇦🇹,1984
1985 British Grand Prix 🇬🇧,1:18:10.436,8,65,McLaren 🇬🇧,1985-07-21,Silverstone Circuit,Alain Prost 🇫🇷,1985
1985 European Grand Prix 🇬🇧,1:32:58.109,14,75,Williams 🇬🇧,1985-10-06,Brands Hatch,Nigel Mansell 🇬🇧,1985
1986 British Grand Prix 🇬🇧,1:30:38.471,9,75,Williams 🇬🇧,1986-07-13,Brands Hatch,Nigel Mansell 🇬🇧,1986
1987 British Grand Prix 🇬🇧,1:19:11.780,7,65,Williams 🇬🇧,1987-07-12,Silverstone Circuit,Nigel Mansell 🇬🇧,1987
1988 British Grand Prix 🇬🇧,1:33:16.367,8,65,McLaren 🇬🇧,1988-07-10,Silverstone Circuit,Ayrton Senna 🇧🇷,1988
1989 British Grand Prix 🇬🇧,1:19:22.131,8,64,McLaren 🇬🇧,1989-07-16,Silverstone Circuit,Alain Prost 🇫🇷,1989
1990 British Grand Prix 🇬🇧,1:18:30.999,8,64,Ferrari 🇮🇹,1990-07-15,Silverstone Circuit,Alain Prost 🇫🇷,1990
1991 British Grand Prix 🇬🇧,1:27:35.479,8,59,Williams 🇬🇧,1991-07-14,Silverstone Circuit,Nigel Mansell 🇬🇧,1991
1992 British Grand Prix 🇬🇧,1:25:42.991,9,59,Williams 🇬🇧,1992-07-12,Silverstone Circuit,Nigel Mansell 🇬🇧,1992
1993 British Grand Prix 🇬🇧,1:25:38.189,9,59,Williams 🇬🇧,1993-07-11,Silverstone Circuit,Alain Prost 🇫🇷,1993
1993 European Grand Prix 🇬🇧,1:50:46.570,3,76,McLaren 🇬🇧,1993-04-11,Donington Park,Ayrton Senna 🇧🇷,1993
1994 British Grand Prix 🇬🇧,1:30:03.640,8,60,Williams 🇬🇧,1994-07-10,Silverstone Circuit,Damon Hill 🇬🇧,1994
1995 British Grand Prix 🇬🇧,1:34:35.093,8,61,Benetton 🇮🇹,1995-07-16,Silverstone Circuit,Johnny Herbert 🇬🇧,1995
1996 British Grand Prix 🇬🇧,1:33:00.874,10,61,Williams 🇬🇧,1996-07-14,Silverstone Circuit,Jacques Villeneuve 🇨🇦,1996
1997 British Grand Prix 🇬🇧,1:28:01.665,9,59,Williams 🇬🇧,1997-07-13,Silverstone Circuit,Jacques Villeneuve 🇨🇦,1997
1998 British Grand Prix 🇬🇧,1:47:02.4,9,60,Ferrari 🇮🇹,1998-07-12,Silverstone Circuit,Michael Schumacher 🇩🇪,1998
1999 British Grand Prix 🇬🇧,1:32:30.144,8,60,McLaren 🇬🇧,1999-07-11,Silverstone Circuit,David Coulthard 🇬🇧,1999
2000 British Grand Prix 🇬🇧,1:28:50.108,4,60,McLaren 🇬🇧,2000-04-23,Silverstone Circuit,David Coulthard 🇬🇧,2000
2001 British Grand Prix 🇬🇧,1:25:33.770,11,60,McLaren 🇬🇧,2001-07-15,Silverstone Circuit,Mika Häkkinen 🇫🇮,2001
2002 British Grand Prix 🇬🇧,1:31:45.015,10,60,Ferrari 🇮🇹,2002-07-07,Silverstone Circuit,Michael Schumacher 🇩🇪,2002
2003 British Grand Prix 🇬🇧,1:28:37.554,11,60,Ferrari 🇮🇹,2003-07-20,Silverstone Circuit,Rubens Barrichello 🇧🇷,2003
2004 British Grand Prix 🇬🇧,1:24:42.700,11,60,Ferrari 🇮🇹,2004-07-11,Silverstone Circuit,Michael Schumacher 🇩🇪,2004
2005 British Grand Prix 🇬🇧,1:24:29.588,11,60,McLaren 🇬🇧,2005-07-10,Silverstone Circuit,Juan Pablo Montoya 🇨🇴,2005
2006 British Grand Prix 🇬🇧,1:25:51.927,8,60,Renault 🇫🇷,2006-06-11,Silverstone Circuit,Fernando Alonso 🇪🇸,2006
2007 British Grand Prix 🇬🇧,1:21:43.074,9,59,Ferrari 🇮🇹,2007-07-08,Silverstone Circuit,Kimi Räikkönen 🇫🇮,2007
2008 British Grand Prix 🇬🇧,1:39:09.440,9,60,McLaren 🇬🇧,2008-07-06,Silverstone Circuit,Lewis Hamilton 🇬🇧,2008
2009 British Grand Prix 🇬🇧,1:22:49.328,8,60,Red Bull 🇦🇹,2009-06-21,Silverstone Circuit,Sebastian Vettel 🇩🇪,2009
2010 British Grand Prix 🇬🇧,1:24:38.200,10,52,Red Bull 🇦🇹,2010-07-11,Silverstone Circuit,Mark Webber 🇦🇺,2010
2011 British Grand Prix 🇬🇧,1:28:41.196,9,52,Ferrari 🇮🇹,2011-07-10,Silverstone Circuit,Fernando Alonso 🇪🇸,2011
2012 British Grand Prix 🇬🇧,1:25:11.288,9,52,Red Bull 🇦🇹,2012-07-08,Silverstone Circuit,Mark Webber 🇦🇺,2012
2013 British Grand Prix 🇬🇧,1:32:59.456,8,52,Mercedes 🇩🇪,2013-06-30,Silverstone Circuit,Nico Rosberg 🇩🇪,2013
