name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1950 Indianapolis 500 🇺🇸,5,2,1950-05-30T00:00:00.000Z,R,1950,Tony Bettenhausen 🇺🇸,Kurtis Kraft 🇺🇸,3,9,64,,0.0
1950 Indianapolis 500 🇺🇸,R,2,1950-05-30T00:00:00.000Z,R,1950,Duke Dinsmore 🇺🇸,Kurtis Kraft 🇺🇸,3,7,64,,0.0
1950 Indianapolis 500 🇺🇸,R,2,1950-05-30T00:00:00.000Z,R,1950,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,3,25,64,,0.0
1950 Indianapolis 500 🇺🇸,R,2,1950-05-30T00:00:00.000Z,R,1950,Jimmy Jackson 🇺🇸,Kurtis Kraft 🇺🇸,3,32,64,,0.0
1950 Indianapolis 500 🇺🇸,21,2,1950-05-30T00:00:00.000Z,R,1950,Jerry Hoyt 🇺🇸,Kurtis Kraft 🇺🇸,3,15,64,,0.0
1950 Indianapolis 500 🇺🇸,19,2,1950-05-30T00:00:00.000Z,R,1950,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,3,20,64,,0.0
1950 Indianapolis 500 🇺🇸,18,2,1950-05-30T00:00:00.000Z,R,1950,Johnny McDowell 🇺🇸,Kurtis Kraft 🇺🇸,3,33,64,,0.0
1950 Indianapolis 500 🇺🇸,14,2,1950-05-30T00:00:00.000Z,R,1950,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,3,6,64,,0.0
1950 Indianapolis 500 🇺🇸,13,2,1950-05-30T00:00:00.000Z,R,1950,Mack Hellings 🇺🇸,Kurtis Kraft 🇺🇸,3,26,64,,0.0
1950 Indianapolis 500 🇺🇸,10,2,1950-05-30T00:00:00.000Z,R,1950,Pat Flaherty 🇺🇸,Kurtis Kraft 🇺🇸,3,11,64,,0.0
1950 Indianapolis 500 🇺🇸,7,2,1950-05-30T00:00:00.000Z,R,1950,Walt Faulkner 🇺🇸,Kurtis Kraft 🇺🇸,3,1,64,,0.0
1950 Indianapolis 500 🇺🇸,5,2,1950-05-30T00:00:00.000Z,R,1950,Joie Chitwood 🇺🇸,Kurtis Kraft 🇺🇸,3,9,64,,0.0
1950 Indianapolis 500 🇺🇸,4,2,1950-05-30T00:00:00.000Z,R,1950,Cecil Green 🇺🇸,Kurtis Kraft 🇺🇸,3,12,64,,0.0
1950 Indianapolis 500 🇺🇸,1,2,1950-05-30T00:00:00.000Z,R,1950,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,3,5,64,,0.0
1951 Indianapolis 500 🇺🇸,3,11,1951-05-30T00:00:00.000Z,R,1951,Manny Ayulo 🇺🇸,Kurtis Kraft 🇺🇸,2,3,109,,0.0
1951 Indianapolis 500 🇺🇸,R,11,1951-05-30T00:00:00.000Z,R,1951,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,18,109,,0.0
1951 Indianapolis 500 🇺🇸,R,11,1951-05-30T00:00:00.000Z,R,1951,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,2,13,109,,0.0
1951 Indianapolis 500 🇺🇸,R,11,1951-05-30T00:00:00.000Z,R,1951,Chet Miller 🇺🇸,Kurtis Kraft 🇺🇸,2,28,109,,0.0
1951 Indianapolis 500 🇺🇸,R,11,1951-05-30T00:00:00.000Z,R,1951,Troy Ruttman 🇺🇸,Kurtis Kraft 🇺🇸,2,6,109,,0.0
1951 Indianapolis 500 🇺🇸,R,11,1951-05-30T00:00:00.000Z,R,1951,Cecil Green 🇺🇸,Kurtis Kraft 🇺🇸,2,10,109,,0.0
1951 Indianapolis 500 🇺🇸,R,11,1951-05-30T00:00:00.000Z,R,1951,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,8,109,,0.0
1951 Indianapolis 500 🇺🇸,R,11,1951-05-30T00:00:00.000Z,R,1951,Carl Scarborough 🇺🇸,Kurtis Kraft 🇺🇸,2,15,109,,0.0
1951 Indianapolis 500 🇺🇸,R,11,1951-05-30T00:00:00.000Z,R,1951,Bill Schindler 🇺🇸,Kurtis Kraft 🇺🇸,2,16,109,,0.0
1951 Indianapolis 500 🇺🇸,R,11,1951-05-30T00:00:00.000Z,R,1951,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,12,109,,0.0
1951 Indianapolis 500 🇺🇸,R,11,1951-05-30T00:00:00.000Z,R,1951,Gene Force 🇺🇸,Kurtis Kraft 🇺🇸,2,22,109,,0.0
1951 Indianapolis 500 🇺🇸,R,11,1951-05-30T00:00:00.000Z,R,1951,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,1,109,,0.0
1951 Indianapolis 500 🇺🇸,7,11,1951-05-30T00:00:00.000Z,R,1951,Carl Forberg 🇺🇸,Kurtis Kraft 🇺🇸,2,24,109,,0.0
1951 Indianapolis 500 🇺🇸,3,11,1951-05-30T00:00:00.000Z,R,1951,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,109,,0.0
1951 Indianapolis 500 🇺🇸,2,11,1951-05-30T00:00:00.000Z,R,1951,Mike Nazaruk 🇺🇸,Kurtis Kraft 🇺🇸,2,7,109,,0.0
1951 Indianapolis 500 🇺🇸,1,11,1951-05-30T00:00:00.000Z,R,1951,Lee Wallard 🇺🇸,Kurtis Kraft 🇺🇸,2,2,109,,0.0
1952 Indianapolis 500 🇺🇸,R,1,1952-05-30T00:00:00.000Z,R,1952,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,2,71,,0.0
1952 Indianapolis 500 🇺🇸,R,1,1952-05-30T00:00:00.000Z,R,1952,Chet Miller 🇺🇸,Kurtis Kraft 🇺🇸,2,27,71,,0.0
1952 Indianapolis 500 🇺🇸,R,1,1952-05-30T00:00:00.000Z,R,1952,Bob Scott 🇺🇸,Kurtis Kraft 🇺🇸,2,25,71,,0.0
1952 Indianapolis 500 🇺🇸,R,1,1952-05-30T00:00:00.000Z,R,1952,Gene Hartley 🇺🇸,Kurtis Kraft 🇺🇸,2,18,71,,0.0
1952 Indianapolis 500 🇺🇸,R,1,1952-05-30T00:00:00.000Z,R,1952,Bob Sweikert 🇺🇸,Kurtis Kraft 🇺🇸,2,32,71,,0.0
1952 Indianapolis 500 🇺🇸,R,1,1952-05-30T00:00:00.000Z,R,1952,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,4,71,,0.0
1952 Indianapolis 500 🇺🇸,R,1,1952-05-30T00:00:00.000Z,R,1952,Rodger Ward 🇺🇸,Kurtis Kraft 🇺🇸,2,22,71,,0.0
1952 Indianapolis 500 🇺🇸,21,1,1952-05-30T00:00:00.000Z,R,1952,Johnny McDowell 🇺🇸,Kurtis Kraft 🇺🇸,2,33,71,,0.0
1952 Indianapolis 500 🇺🇸,18,1,1952-05-30T00:00:00.000Z,R,1952,Chuck Stevenson 🇺🇸,Kurtis Kraft 🇺🇸,2,11,71,,0.0
1952 Indianapolis 500 🇺🇸,17,1,1952-05-30T00:00:00.000Z,R,1952,Bill Vukovich 🇺🇸,Kurtis Kraft 🇺🇸,2,8,71,,0.0
1952 Indianapolis 500 🇺🇸,13,1,1952-05-30T00:00:00.000Z,R,1952,Joe James 🇺🇸,Kurtis Kraft 🇺🇸,2,16,71,,0.0
1952 Indianapolis 500 🇺🇸,11,1,1952-05-30T00:00:00.000Z,R,1952,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,71,,0.0
1952 Indianapolis 500 🇺🇸,10,1,1952-05-30T00:00:00.000Z,R,1952,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,31,71,,0.0
1952 Indianapolis 500 🇺🇸,9,1,1952-05-30T00:00:00.000Z,R,1952,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,9,71,,0.0
1952 Indianapolis 500 🇺🇸,8,1,1952-05-30T00:00:00.000Z,R,1952,George Connor 🇺🇸,Kurtis Kraft 🇺🇸,2,14,71,,0.0
1952 Indianapolis 500 🇺🇸,7,1,1952-05-30T00:00:00.000Z,R,1952,Jimmy Reece 🇺🇸,Kurtis Kraft 🇺🇸,2,23,71,,0.0
1952 Indianapolis 500 🇺🇸,6,1,1952-05-30T00:00:00.000Z,R,1952,Jimmy Bryan 🇺🇸,Kurtis Kraft 🇺🇸,2,21,71,,0.0
1952 Indianapolis 500 🇺🇸,5,1,1952-05-30T00:00:00.000Z,R,1952,Art Cross 🇺🇸,Kurtis Kraft 🇺🇸,2,20,71,,0.0
1952 Indianapolis 500 🇺🇸,3,1,1952-05-30T00:00:00.000Z,R,1952,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,5,71,,0.0
1952 Indianapolis 500 🇺🇸,2,1,1952-05-30T00:00:00.000Z,R,1952,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,2,10,71,,0.0
1953 Indianapolis 500 🇺🇸,R,2,1953-05-30T00:00:00.000Z,4,1953,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,7,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,R,2,1953-05-30T00:00:00.000Z,4,1953,Chuck Stevenson 🇺🇸,Kurtis Kraft 🇺🇸,2,7,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,R,2,1953-05-30T00:00:00.000Z,4,1953,Jackie Holmes 🇺🇸,Kurtis Kraft 🇺🇸,2,18,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,R,2,1953-05-30T00:00:00.000Z,4,1953,Johnny Thomson 🇺🇸,Kurtis Kraft 🇺🇸,2,18,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,17,2,1953-05-30T00:00:00.000Z,4,1953,Johnny Mantz 🇺🇸,Kurtis Kraft 🇺🇸,2,14,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,16,2,1953-05-30T00:00:00.000Z,4,1953,Duke Dinsmore 🇺🇸,Kurtis Kraft 🇺🇸,2,10,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,16,2,1953-05-30T00:00:00.000Z,4,1953,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,10,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,15,2,1953-05-30T00:00:00.000Z,4,1953,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,2,28,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,12,2,1953-05-30T00:00:00.000Z,4,1953,Bob Scott 🇺🇸,Kurtis Kraft 🇺🇸,2,19,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,7,2,1953-05-30T00:00:00.000Z,4,1953,Eddie Johnson 🇺🇸,Kurtis Kraft 🇺🇸,2,25,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,4,2,1953-05-30T00:00:00.000Z,4,1953,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,2,2,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,R,2,1953-05-30T00:00:00.000Z,4,1953,Cal Niday 🇺🇸,Kurtis Kraft 🇺🇸,2,30,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,R,2,1953-05-30T00:00:00.000Z,4,1953,Gene Hartley 🇺🇸,Kurtis Kraft 🇺🇸,2,13,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,R,2,1953-05-30T00:00:00.000Z,4,1953,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,8,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,R,2,1953-05-30T00:00:00.000Z,4,1953,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,2,17,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,R,2,1953-05-30T00:00:00.000Z,4,1953,Jerry Hoyt 🇺🇸,Kurtis Kraft 🇺🇸,2,7,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,R,2,1953-05-30T00:00:00.000Z,4,1953,Travis Webb 🇺🇸,Kurtis Kraft 🇺🇸,2,18,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,R,2,1953-05-30T00:00:00.000Z,4,1953,Marshall Teague 🇺🇸,Kurtis Kraft 🇺🇸,2,22,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,17,2,1953-05-30T00:00:00.000Z,4,1953,Walt Faulkner 🇺🇸,Kurtis Kraft 🇺🇸,2,14,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,16,2,1953-05-30T00:00:00.000Z,4,1953,Rodger Ward 🇺🇸,Kurtis Kraft 🇺🇸,2,10,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,15,2,1953-05-30T00:00:00.000Z,4,1953,Bill Holland 🇺🇸,Kurtis Kraft 🇺🇸,2,28,200,+4:39.24,1.5
1953 Indianapolis 500 🇺🇸,12,2,1953-05-30T00:00:00.000Z,4,1953,Carl Scarborough 🇺🇸,Kurtis Kraft 🇺🇸,2,19,200,+4:39.24,1.5
