name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1952 Belgian Grand Prix 🇧🇪,9,9,1952-06-22,6,1952,Eric Brandon 🇬🇧,Cooper 🇬🇧,3,12,34,,0.0
1952 Belgian Grand Prix 🇧🇪,4,9,1952-06-22,6,1952,Mike Hawthorn 🇬🇧,Cooper 🇬🇧,3,6,34,,0.0
1952 British Grand Prix 🇬🇧,R,13,1952-07-19,22,1952,David Murray 🇬🇧,Cooper 🇬🇧,5,22,69,,0.0
1952 British Grand Prix 🇬🇧,20,13,1952-07-19,22,1952,Eric Brandon 🇬🇧,Cooper 🇬🇧,5,18,69,,0.0
1952 British Grand Prix 🇬🇧,7,13,1952-07-19,22,1952,Reg Parnell 🇬🇧,Cooper 🇬🇧,5,6,69,,0.0
1952 British Grand Prix 🇬🇧,3,13,1952-07-19,22,1952,Mike Hawthorn 🇬🇧,Cooper 🇬🇧,5,7,69,,0.0
1952 Italian Grand Prix 🇮🇹,N,12,1952-09-07,15,1952,Mike Hawthorn 🇬🇧,Cooper 🇬🇧,8,12,68,,0.0
1952 Italian Grand Prix 🇮🇹,13,12,1952-09-07,15,1952,Eric Brandon 🇬🇧,Cooper 🇬🇧,8,20,68,,0.0
1952 Italian Grand Prix 🇮🇹,9,12,1952-09-07,15,1952,Ken Wharton 🇬🇧,Cooper 🇬🇧,8,15,68,,0.0
1952 Swiss Grand Prix 🇨🇭,8,15,1952-05-18,5,1952,Eric Brandon 🇬🇧,Cooper 🇬🇧,1,17,59,,2.0
1953 Argentine Grand Prix 🇦🇷,R,12,1953-01-18,9,1953,Adolfo Cruz 🇦🇷,Cooper 🇬🇧,1,13,87,,0.0
1953 Argentine Grand Prix 🇦🇷,8,12,1953-01-18,9,1953,John Barber 🇬🇧,Cooper 🇬🇧,1,16,87,,0.0
1953 British Grand Prix 🇬🇧,R,21,1953-07-18,R,1953,Tony Crook 🇬🇧,Cooper 🇬🇧,6,25,56,,0.0
1953 British Grand Prix 🇬🇧,R,21,1953-07-18,R,1953,Jimmy Stewart 🇬🇧,Cooper 🇬🇧,6,15,56,,0.0
1953 British Grand Prix 🇬🇧,9,21,1953-07-18,R,1953,Peter Whitehead 🇬🇧,Cooper 🇬🇧,6,14,56,,0.0
1953 British Grand Prix 🇬🇧,8,21,1953-07-18,R,1953,Ken Wharton 🇬🇧,Cooper 🇬🇧,6,11,56,,0.0
1953 German Grand Prix 🇩🇪,11,17,1953-08-02,R,1953,Rodney Nuckey 🇬🇧,Cooper 🇬🇧,7,20,15,,0.0
1953 German Grand Prix 🇩🇪,6,17,1953-08-02,R,1953,Stirling Moss 🇬🇧,Cooper 🇬🇧,7,12,15,,0.0
1953 Italian Grand Prix 🇮🇹,N,24,1953-09-13,12,1953,Ken Wharton 🇬🇧,Cooper 🇬🇧,9,19,70,,0.0
1953 Italian Grand Prix 🇮🇹,13,24,1953-09-13,12,1953,Stirling Moss 🇬🇧,Cooper 🇬🇧,9,10,70,,0.0
1954 British Grand Prix 🇬🇧,W,26,1954-07-17,W,1954,Rodney Nuckey 🇬🇧,Cooper 🇬🇧,5,29,0,,0.0
1954 British Grand Prix 🇬🇧,R,26,1954-07-17,W,1954,Eric Brandon 🇬🇧,Cooper 🇬🇧,5,25,0,,0.0
1954 British Grand Prix 🇬🇧,R,26,1954-07-17,W,1954,Peter Whitehead 🇬🇧,Cooper 🇬🇧,5,24,0,,0.0
1954 British Grand Prix 🇬🇧,15,26,1954-07-17,W,1954,Horace Gould 🇬🇧,Cooper 🇬🇧,5,20,0,,0.0
1954 British Grand Prix 🇬🇧,10,26,1954-07-17,W,1954,Bob Gerard 🇬🇧,Cooper 🇬🇧,5,18,0,,0.0
