name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1989 Australian Grand Prix 🇦🇺,F,15,1989-11-05T00:00:00.000Z,R,1989,Jonathan Palmer 🇬🇧,Tyrrell 🇬🇧,16,0,5,,0.0
1989 British Grand Prix 🇬🇧,R,22,1989-07-16T00:00:00.000Z,R,1989,Jonathan Palmer 🇬🇧,Tyrrell 🇬🇧,8,18,28,,0.0
1989 French Grand Prix 🇫🇷,10,16,1989-07-09T00:00:00.000Z,4,1989,Jonathan Palmer 🇬🇧,Tyrrell 🇬🇧,7,9,80,+1:13.232,3.0
1989 German Grand Prix 🇩🇪,R,10,1989-07-30T00:00:00.000Z,10,1989,Jonathan Palmer 🇬🇧,Tyrrell 🇬🇧,9,19,43,,0.0
1989 Hungarian Grand Prix 🇭🇺,13,11,1989-08-13T00:00:00.000Z,9,1989,Jonathan Palmer 🇬🇧,Tyrrell 🇬🇧,10,19,76,,0.0
1989 Italian Grand Prix 🇮🇹,R,10,1989-09-10T00:00:00.000Z,5,1989,Jonathan Palmer 🇬🇧,Tyrrell 🇬🇧,12,14,52,,2.0
1989 Japanese Grand Prix 🇯🇵,R,18,1989-10-22T00:00:00.000Z,R,1989,Jonathan Palmer 🇬🇧,Tyrrell 🇬🇧,15,26,37,,0.0
1989 Spanish Grand Prix 🇪🇸,10,9,1989-10-01T00:00:00.000Z,4,1989,Jonathan Palmer 🇬🇧,Tyrrell 🇬🇧,14,13,72,,3.0
1990 Australian Grand Prix 🇦🇺,R,5,1990-11-04T00:00:00.000Z,8,1990,Satoru Nakajima 🇯🇵,Tyrrell 🇬🇧,16,13,80,,0.0
1990 Belgian Grand Prix 🇧🇪,R,9,1990-08-26T00:00:00.000Z,8,1990,Satoru Nakajima 🇯🇵,Tyrrell 🇬🇧,11,10,43,,0.0
1990 Brazilian Grand Prix 🇧🇷,8,7,1990-03-25T00:00:00.000Z,7,1990,Satoru Nakajima 🇯🇵,Tyrrell 🇬🇧,2,19,70,,0.0
1990 British Grand Prix 🇬🇧,R,6,1990-07-15T00:00:00.000Z,8,1990,Satoru Nakajima 🇯🇵,Tyrrell 🇬🇧,8,12,63,,0.0
