name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1958 Belgian Grand Prix 🇧🇪,R,12,1958-06-15,4,1958,Graham Hill 🇬🇧,Team Lotus 🇬🇧,5,15,24,+4:15.5,3.0
1958 British Grand Prix 🇬🇧,R,5,1958-07-19,R,1958,Graham Hill 🇬🇧,Team Lotus 🇬🇧,7,14,21,,0.0
1958 British Grand Prix 🇬🇧,R,5,1958-07-19,R,1958,Alan Stacey 🇬🇧,Team Lotus 🇬🇧,7,20,21,,0.0
1958 Dutch Grand Prix 🇳🇱,R,11,1958-05-26,6,1958,Graham Hill 🇬🇧,Team Lotus 🇬🇧,3,13,73,,0.0
1958 French Grand Prix 🇫🇷,R,20,1958-07-06,R,1958,Graham Hill 🇬🇧,Team Lotus 🇬🇧,6,19,6,,0.0
1958 German Grand Prix 🇩🇪,R,24,1958-08-03,10,1958,Graham Hill 🇬🇧,Team Lotus 🇬🇧,8,22,13,,0.0
1958 German Grand Prix 🇩🇪,11,24,1958-08-03,10,1958,Ivor Bueb 🇬🇧,Team Lotus 🇬🇧,8,16,13,,0.0
1958 Italian Grand Prix 🇮🇹,6,16,1958-09-07,7,1958,Graham Hill 🇬🇧,Team Lotus 🇬🇧,10,12,61,,0.0
1958 Monaco Grand Prix 🇲🇨,R,13,1958-05-18,6,1958,Graham Hill 🇬🇧,Team Lotus 🇬🇧,2,15,87,,0.0
1958 Moroccan Grand Prix 🇲🇦,16,16,1958-10-19,10,1958,Graham Hill 🇬🇧,Team Lotus 🇬🇧,11,12,49,,0.0
1958 Portuguese Grand Prix 🇵🇹,R,13,1958-08-24,R,1958,Maria de Filippis 🇮🇹,Maserati 🇮🇹,9,15,15,,0.0
1958 Portuguese Grand Prix 🇵🇹,R,13,1958-08-24,R,1958,Jo Bonnier 🇸🇪,Maserati 🇮🇹,9,14,15,,0.0
1958 Portuguese Grand Prix 🇵🇹,R,13,1958-08-24,R,1958,Carroll Shelby 🇺🇸,Maserati 🇮🇹,9,10,15,,0.0
1959 Dutch Grand Prix 🇳🇱,R,15,1959-05-31,9,1959,Tony Brooks 🇬🇧,Ferrari 🇮🇹,3,8,71,,0.0
1959 Dutch Grand Prix 🇳🇱,6,15,1959-05-31,9,1959,Phil Hill 🇺🇸,Ferrari 🇮🇹,3,12,71,,0.0
1959 Dutch Grand Prix 🇳🇱,5,15,1959-05-31,9,1959,Jean Behra 🇫🇷,Ferrari 🇮🇹,3,4,71,,0.0
1959 German Grand Prix 🇩🇪,3,14,1959-08-02,R,1959,Phil Hill 🇺🇸,Ferrari 🇮🇹,6,6,2,,0.0
1959 German Grand Prix 🇩🇪,2,14,1959-08-02,R,1959,Dan Gurney 🇺🇸,Ferrari 🇮🇹,6,3,2,,0.0
1959 German Grand Prix 🇩🇪,1,14,1959-08-02,R,1959,Tony Brooks 🇬🇧,Ferrari 🇮🇹,6,1,2,,0.0
1959 Italian Grand Prix 🇮🇹,2,8,1959-09-13,5,1959,Phil Hill 🇺🇸,Ferrari 🇮🇹,8,5,71,,2.0
1959 Italian Grand Prix 🇮🇹,4,8,1959-09-13,5,1959,Dan Gurney 🇺🇸,Ferrari 🇮🇹,8,4,71,,2.0
1959 Italian Grand Prix 🇮🇹,6,8,1959-09-13,5,1959,Olivier Gendebien 🇧🇪,Ferrari 🇮🇹,8,6,71,,2.0
1959 Italian Grand Prix 🇮🇹,R,8,1959-09-13,5,1959,Tony Brooks 🇬🇧,Ferrari 🇮🇹,8,2,71,,2.0
1959 Monaco Grand Prix 🇲🇨,2,15,1959-05-10,R,1959,Tony Brooks 🇬🇧,Ferrari 🇮🇹,1,4,1,,0.0
1959 Monaco Grand Prix 🇲🇨,R,15,1959-05-10,R,1959,Jean Behra 🇫🇷,Ferrari 🇮🇹,1,2,1,,0.0
1959 Monaco Grand Prix 🇲🇨,4,15,1959-05-10,R,1959,Phil Hill 🇺🇸,Ferrari 🇮🇹,1,5,1,,0.0
1959 United States Grand Prix 🇺🇸,3,11,1959-12-12,R,1959,Tony Brooks 🇬🇧,Ferrari 🇮🇹,9,4,23,,0.0
1959 United States Grand Prix 🇺🇸,6,11,1959-12-12,R,1959,Wolfgang von Trips 🇩🇪,Ferrari 🇮🇹,9,6,23,,0.0
1959 United States Grand Prix 🇺🇸,R,11,1959-12-12,R,1959,Phil Hill 🇺🇸,Ferrari 🇮🇹,9,8,23,,0.0
1960 Argentine Grand Prix 🇦🇷,8,7,1960-02-07,2,1960,Phil Hill 🇺🇸,Ferrari 🇮🇹,1,6,80,+26.3,6.0
1960 Argentine Grand Prix 🇦🇷,10,7,1960-02-07,2,1960,José Froilán González 🇦🇷,Ferrari 🇮🇹,1,11,80,+26.3,6.0
1960 Argentine Grand Prix 🇦🇷,5,7,1960-02-07,2,1960,Wolfgang von Trips 🇩🇪,Ferrari 🇮🇹,1,5,80,+26.3,6.0
1960 Monaco Grand Prix 🇲🇨,8,0,1960-05-29,F,1960,Wolfgang von Trips 🇩🇪,Ferrari 🇮🇹,2,8,0,,0.0
1960 Monaco Grand Prix 🇲🇨,6,0,1960-05-29,F,1960,Richie Ginther 🇺🇸,Ferrari 🇮🇹,2,9,0,,0.0
1960 Monaco Grand Prix 🇲🇨,3,0,1960-05-29,F,1960,Phil Hill 🇺🇸,Ferrari 🇮🇹,2,10,0,,0.0
1961 Belgian Grand Prix 🇧🇪,8,0,1961-06-18,W,1961,Stirling Moss 🇬🇧,Lotus-Climax 🇬🇧,3,8,0,,0.0
1961 Belgian Grand Prix 🇧🇪,W,0,1961-06-18,W,1961,Henry Taylor 🇬🇧,Lotus-Climax 🇬🇧,3,0,0,,0.0
1961 Belgian Grand Prix 🇧🇪,W,0,1961-06-18,W,1961,Ian Burgess 🇬🇧,Lotus-Climax 🇬🇧,3,0,0,,0.0
1961 Belgian Grand Prix 🇧🇪,W,0,1961-06-18,W,1961,Wolfgang Seidel 🇩🇪,Lotus-Climax 🇬🇧,3,0,0,,0.0
1961 Belgian Grand Prix 🇧🇪,W,0,1961-06-18,W,1961,Tony Marsh 🇬🇧,Lotus-Climax 🇬🇧,3,0,0,,0.0
1961 Belgian Grand Prix 🇧🇪,R,0,1961-06-18,W,1961,Willy Mairesse 🇧🇪,Lotus-Climax 🇬🇧,3,19,0,,0.0
1961 Belgian Grand Prix 🇧🇪,R,0,1961-06-18,W,1961,Lucien Bianchi 🇧🇪,Lotus-Climax 🇬🇧,3,23,0,,0.0
1961 Belgian Grand Prix 🇧🇪,R,0,1961-06-18,W,1961,Innes Ireland 🇬🇧,Lotus-Climax 🇬🇧,3,18,0,,0.0
1961 Belgian Grand Prix 🇧🇪,12,0,1961-06-18,W,1961,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,3,16,0,,0.0
1961 Monaco Grand Prix 🇲🇨,F,15,1961-05-14,8,1961,Henry Taylor 🇬🇧,Lotus-Climax 🇬🇧,1,0,93,,0.0
1961 Monaco Grand Prix 🇲🇨,W,15,1961-05-14,8,1961,Innes Ireland 🇬🇧,Lotus-Climax 🇬🇧,1,0,93,,0.0
1961 Monaco Grand Prix 🇲🇨,R,15,1961-05-14,8,1961,Michael May 🇨🇭,Lotus-Climax 🇬🇧,1,14,93,,0.0
1961 Monaco Grand Prix 🇲🇨,1,15,1961-05-14,8,1961,Stirling Moss 🇬🇧,Lotus-Climax 🇬🇧,1,1,93,,0.0
1961 Monaco Grand Prix 🇲🇨,10,15,1961-05-14,8,1961,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,1,3,93,,0.0
