name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1951 Belgian Grand Prix 🇧🇪,3,12,33,Alfa Romeo 🇮🇹,1951-06-17,6,,1951,Nino Farina 🇮🇹
1953 Belgian Grand Prix 🇧🇪,4,18,29,Ferrari 🇮🇹,1953-06-21,11,,1953,Alberto Ascari 🇮🇹
1954 Belgian Grand Prix 🇧🇪,3,8,35,Maserati 🇮🇹,1954-06-20,5,,1954,Juan Fangio 🇦🇷
1954 British Grand Prix 🇬🇧,5,12,86,Ferrari 🇮🇹,1954-07-17,9,,1954,José Froilán González 🇦🇷
1954 German Grand Prix 🇩🇪,6,20,0,Mercedes 🇩🇪,1954-08-01,R,,1954,Juan Fangio 🇦🇷
1956 Belgian Grand Prix 🇧🇪,4,16,33,Ferrari 🇮🇹,1956-06-03,6,,1956,Peter Collins 🇬🇧
1956 French Grand Prix 🇫🇷,5,19,55,Ferrari 🇮🇹,1956-07-01,11,,1956,Peter Collins 🇬🇧
1956 German Grand Prix 🇩🇪,7,0,0,Ferrari 🇮🇹,1956-08-05,W,,1956,Juan Fangio 🇦🇷
1956 Monaco Grand Prix 🇲🇨,2,11,88,Maserati 🇮🇹,1956-05-13,6,,1956,Stirling Moss 🇬🇧
1961 Italian Grand Prix 🇮🇹,7,0,0,Ferrari 🇮🇹,1961-09-10,F,,1961,Phil Hill 🇺🇸
1963 German Grand Prix 🇩🇪,6,0,0,Ferrari 🇮🇹,1963-08-04,F,,1963,John Surtees 🇬🇧
1963 Italian Grand Prix 🇮🇹,7,0,0,Lotus-Climax 🇬🇧,1963-09-08,F,,1963,Jim Clark 🇬🇧
1964 Belgian Grand Prix 🇧🇪,3,20,11,Lotus-Climax 🇬🇧,1964-06-14,R,,1964,Jim Clark 🇬🇧
1964 German Grand Prix 🇩🇪,6,0,0,Ferrari 🇮🇹,1964-08-02,F,,1964,John Surtees 🇬🇧
1964 Monaco Grand Prix 🇲🇨,1,0,0,BRM 🇬🇧,1964-05-10,W,,1964,Graham Hill 🇬🇧
