name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1956 Indianapolis 500 🇺🇸,2,20,1956-05-30,R,1956,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,3,13,94,,0.0
1956 Indianapolis 500 🇺🇸,4,20,1956-05-30,R,1956,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,3,6,94,,0.0
1956 Indianapolis 500 🇺🇸,5,20,1956-05-30,R,1956,Dick Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,3,4,94,,0.0
1956 Indianapolis 500 🇺🇸,7,20,1956-05-30,R,1956,Bob Veith 🇺🇸,Kurtis Kraft 🇺🇸,3,23,94,,0.0
1956 Indianapolis 500 🇺🇸,8,20,1956-05-30,R,1956,Rodger Ward 🇺🇸,Kurtis Kraft 🇺🇸,3,15,94,,0.0
1956 Indianapolis 500 🇺🇸,12,20,1956-05-30,R,1956,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,3,7,94,,0.0
1956 Indianapolis 500 🇺🇸,13,20,1956-05-30,R,1956,Bob Christie 🇺🇸,Kurtis Kraft 🇺🇸,3,25,94,,0.0
1956 Indianapolis 500 🇺🇸,14,20,1956-05-30,R,1956,Al Keller 🇺🇸,Kurtis Kraft 🇺🇸,3,28,94,,0.0
1956 Indianapolis 500 🇺🇸,17,20,1956-05-30,R,1956,Duke Dinsmore 🇺🇸,Kurtis Kraft 🇺🇸,3,33,94,,0.0
1956 Indianapolis 500 🇺🇸,18,20,1956-05-30,R,1956,Pat O'Connor 🇺🇸,Kurtis Kraft 🇺🇸,3,3,94,,0.0
1956 Indianapolis 500 🇺🇸,R,20,1956-05-30,R,1956,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,3,2,94,,0.0
1956 Indianapolis 500 🇺🇸,R,20,1956-05-30,R,1956,Johnnie Tolan 🇺🇸,Kurtis Kraft 🇺🇸,3,31,94,,0.0
1956 Indianapolis 500 🇺🇸,R,20,1956-05-30,R,1956,Tony Bettenhausen 🇺🇸,Kurtis Kraft 🇺🇸,3,5,94,,0.0
1956 Indianapolis 500 🇺🇸,R,20,1956-05-30,R,1956,Ed Elisian 🇺🇸,Kurtis Kraft 🇺🇸,3,14,94,,0.0
1956 Indianapolis 500 🇺🇸,R,20,1956-05-30,R,1956,Jimmy Daywalt 🇺🇸,Kurtis Kraft 🇺🇸,3,16,94,,0.0
1956 Indianapolis 500 🇺🇸,R,20,1956-05-30,R,1956,Jack Turner 🇺🇸,Kurtis Kraft 🇺🇸,3,24,94,,0.0
1956 Indianapolis 500 🇺🇸,R,20,1956-05-30,R,1956,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,3,9,94,,0.0
1956 Indianapolis 500 🇺🇸,R,20,1956-05-30,R,1956,Al Herman 🇺🇸,Kurtis Kraft 🇺🇸,3,27,94,,0.0
1956 Indianapolis 500 🇺🇸,R,20,1956-05-30,R,1956,Ray Crawford 🇺🇸,Kurtis Kraft 🇺🇸,3,17,94,,0.0
1956 Indianapolis 500 🇺🇸,R,20,1956-05-30,R,1956,Johnny Boyd 🇺🇸,Kurtis Kraft 🇺🇸,3,12,94,,0.0
1956 Indianapolis 500 🇺🇸,R,20,1956-05-30,R,1956,Troy Ruttman 🇺🇸,Kurtis Kraft 🇺🇸,3,11,94,,0.0
1956 Indianapolis 500 🇺🇸,R,20,1956-05-30,R,1956,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,3,8,94,,0.0
1956 Indianapolis 500 🇺🇸,R,20,1956-05-30,R,1956,Eddie Russo 🇺🇸,Kurtis Kraft 🇺🇸,3,14,94,,0.0
