name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1988 Australian Grand Prix 🇦🇺,16,0,0,McLaren 🇬🇧,1988-11-13,F,,1988,Alain Prost 🇫🇷
1988 Belgian Grand Prix 🇧🇪,11,0,0,McLaren 🇬🇧,1988-08-28,F,,1988,Ayrton Senna 🇧🇷
1988 Brazilian Grand Prix 🇧🇷,1,0,0,McLaren 🇬🇧,1988-04-03,F,,1988,Alain Prost 🇫🇷
1988 British Grand Prix 🇬🇧,8,24,63,McLaren 🇬🇧,1988-07-10,16,,1988,Ayrton Senna 🇧🇷
1988 Canadian Grand Prix 🇨🇦,5,23,0,McLaren 🇬🇧,1988-06-12,R,,1988,Ayrton Senna 🇧🇷
1988 Detroit Grand Prix 🇺🇸,6,22,59,McLaren 🇬🇧,1988-06-19,9,,1988,Ayrton Senna 🇧🇷
1988 French Grand Prix 🇫🇷,7,0,0,McLaren 🇬🇧,1988-07-03,F,,1988,Alain Prost 🇫🇷
1988 German Grand Prix 🇩🇪,9,0,0,McLaren 🇬🇧,1988-07-24,F,,1988,Ayrton Senna 🇧🇷
1988 Hungarian Grand Prix 🇭🇺,10,0,0,McLaren 🇬🇧,1988-08-07,F,,1988,Ayrton Senna 🇧🇷
1988 Italian Grand Prix 🇮🇹,12,26,49,Ferrari 🇮🇹,1988-09-11,12,,1988,Gerhard Berger 🇦🇹
1988 Japanese Grand Prix 🇯🇵,15,26,49,McLaren 🇬🇧,1988-10-30,14,,1988,Ayrton Senna 🇧🇷
1988 Mexican Grand Prix 🇲🇽,4,0,0,McLaren 🇬🇧,1988-05-29,F,,1988,Alain Prost 🇫🇷
1988 Monaco Grand Prix 🇲🇨,3,0,0,McLaren 🇬🇧,1988-05-15,F,,1988,Alain Prost 🇫🇷
1988 Portuguese Grand Prix 🇵🇹,13,0,0,McLaren 🇬🇧,1988-09-25,F,,1988,Alain Prost 🇫🇷
1988 San Marino Grand Prix 🇮🇹,2,21,48,McLaren 🇬🇧,1988-05-01,R,,1988,Ayrton Senna 🇧🇷
1988 Spanish Grand Prix 🇪🇸,14,0,0,McLaren 🇬🇧,1988-10-02,F,,1988,Alain Prost 🇫🇷
1991 Brazilian Grand Prix 🇧🇷,2,0,0,McLaren 🇬🇧,1991-03-24,F,,1991,Ayrton Senna 🇧🇷
1991 Monaco Grand Prix 🇲🇨,4,0,0,McLaren 🇬🇧,1991-05-12,F,,1991,Ayrton Senna 🇧🇷
1991 San Marino Grand Prix 🇮🇹,3,26,58,McLaren 🇬🇧,1991-04-28,6,,1991,Ayrton Senna 🇧🇷
1991 United States Grand Prix 🇺🇸,1,0,0,McLaren 🇬🇧,1991-03-10,F,,1991,Ayrton Senna 🇧🇷
