name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1971 Canadian Grand Prix 🇨🇦,N,24,1971-09-19T00:00:00.000Z,R,1971,Mike Beuttler 🇬🇧,March-Ford 🇬🇧,10,22,13,,0.0
1971 Canadian Grand Prix 🇨🇦,16,24,1971-09-19T00:00:00.000Z,R,1971,Nanni Galli 🇮🇹,March-Ford 🇬🇧,10,20,13,,0.0
1971 Canadian Grand Prix 🇨🇦,2,24,1971-09-19T00:00:00.000Z,R,1971,Ronnie Peterson 🇸🇪,March-Ford 🇬🇧,10,6,13,,0.0
1971 Dutch Grand Prix 🇳🇱,R,24,1971-06-20T00:00:00.000Z,N,1971,Alex Soler-Roig 🇪🇸,March-Ford 🇬🇧,4,17,60,,0.0
1971 Dutch Grand Prix 🇳🇱,N,24,1971-06-20T00:00:00.000Z,N,1971,Henri Pescarolo 🇫🇷,March-Ford 🇬🇧,4,15,60,,0.0
1971 Dutch Grand Prix 🇳🇱,4,24,1971-06-20T00:00:00.000Z,N,1971,Ronnie Peterson 🇸🇪,March-Ford 🇬🇧,4,13,60,,0.0
1971 Monaco Grand Prix 🇲🇨,F,0,1971-05-23T00:00:00.000Z,F,1971,Alex Soler-Roig 🇪🇸,March-Ford 🇬🇧,3,0,0,,0.0
1971 Monaco Grand Prix 🇲🇨,8,0,1971-05-23T00:00:00.000Z,F,1971,Henri Pescarolo 🇫🇷,March-Ford 🇬🇧,3,13,0,,0.0
1971 Monaco Grand Prix 🇲🇨,2,0,1971-05-23T00:00:00.000Z,F,1971,Ronnie Peterson 🇸🇪,March-Ford 🇬🇧,3,6,0,,0.0
1971 United States Grand Prix 🇺🇸,3,25,1971-10-03T00:00:00.000Z,N,1971,Ronnie Peterson 🇸🇪,March-Ford 🇬🇧,11,11,52,,0.0
1971 United States Grand Prix 🇺🇸,R,25,1971-10-03T00:00:00.000Z,N,1971,Henri Pescarolo 🇫🇷,March-Ford 🇬🇧,11,20,52,,0.0
1971 United States Grand Prix 🇺🇸,R,25,1971-10-03T00:00:00.000Z,N,1971,Nanni Galli 🇮🇹,March-Ford 🇬🇧,11,23,52,,0.0
1972 Canadian Grand Prix 🇨🇦,N,22,1972-09-24T00:00:00.000Z,N,1972,Mike Beuttler 🇬🇧,March 🇬🇧,11,24,24,,0.0
1972 Canadian Grand Prix 🇨🇦,D,22,1972-09-24T00:00:00.000Z,N,1972,Ronnie Peterson 🇸🇪,March 🇬🇧,11,3,24,,0.0
1972 Canadian Grand Prix 🇨🇦,D,22,1972-09-24T00:00:00.000Z,N,1972,Niki Lauda 🇦🇹,March 🇬🇧,11,19,24,,0.0
1972 Canadian Grand Prix 🇨🇦,13,22,1972-09-24T00:00:00.000Z,N,1972,Henri Pescarolo 🇫🇷,March 🇬🇧,11,21,24,,0.0
1972 Canadian Grand Prix 🇨🇦,9,22,1972-09-24T00:00:00.000Z,N,1972,Carlos Pace 🇧🇷,March 🇬🇧,11,18,24,,0.0
1972 United States Grand Prix 🇺🇸,R,20,1972-10-08T00:00:00.000Z,16,1972,Carlos Pace 🇧🇷,March 🇬🇧,12,15,57,,0.0
1972 United States Grand Prix 🇺🇸,19,20,1972-10-08T00:00:00.000Z,16,1972,Niki Lauda 🇦🇹,March 🇬🇧,12,25,57,,0.0
1972 United States Grand Prix 🇺🇸,14,20,1972-10-08T00:00:00.000Z,16,1972,Henri Pescarolo 🇫🇷,March 🇬🇧,12,21,57,,0.0
1972 United States Grand Prix 🇺🇸,13,20,1972-10-08T00:00:00.000Z,16,1972,Mike Beuttler 🇬🇧,March 🇬🇧,12,20,57,,0.0
1972 United States Grand Prix 🇺🇸,4,20,1972-10-08T00:00:00.000Z,16,1972,Ronnie Peterson 🇸🇪,March 🇬🇧,12,26,57,,0.0
