name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1989 Japanese Grand Prix 🇯🇵,R,19,1989-10-22,R,1989,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,15,14,0,,0.0
1990 Belgian Grand Prix 🇧🇪,15,25,1990-08-26,R,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,11,16,0,,0.0
1990 Brazilian Grand Prix 🇧🇷,9,17,1990-03-25,R,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,2,8,38,,0.0
1990 British Grand Prix 🇬🇧,R,24,1990-07-15,12,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,8,18,62,,0.0
1990 Canadian Grand Prix 🇨🇦,R,0,1990-06-10,F,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,5,16,0,,0.0
1990 French Grand Prix 🇫🇷,R,0,1990-07-08,F,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,7,23,0,,0.0
1990 German Grand Prix 🇩🇪,R,0,1990-07-29,F,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,9,15,0,,0.0
1990 Hungarian Grand Prix 🇭🇺,R,23,1990-08-12,15,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,10,14,74,,0.0
1990 Italian Grand Prix 🇮🇹,R,0,1990-09-09,F,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,12,15,0,,0.0
1990 Mexican Grand Prix 🇲🇽,12,16,1990-06-24,14,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,6,7,67,,0.0
1990 Monaco Grand Prix 🇲🇨,R,19,1990-05-27,R,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,4,8,52,,0.0
1990 Portuguese Grand Prix 🇵🇹,11,0,1990-09-23,F,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,13,16,0,,0.0
1990 San Marino Grand Prix 🇮🇹,W,26,1990-05-13,11,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,3,0,59,,0.0
1990 Spanish Grand Prix 🇪🇸,R,0,1990-09-30,F,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,14,11,0,,0.0
1990 United States Grand Prix 🇺🇸,7,14,1990-03-11,R,1990,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,1,2,54,,0.0
