name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1993 Australian Grand Prix 🇦🇺,R,13,1993-11-07,11,1993,Eddie Irvine 🇬🇧,Jordan 🇮🇪,16,19,76,,0.0
1993 Belgian Grand Prix 🇧🇪,R,12,1993-08-29,R,1993,Thierry Boutsen 🇧🇪,Jordan 🇮🇪,12,20,11,,0.0
1993 Brazilian Grand Prix 🇧🇷,F,14,1993-03-28,R,1993,Ivan Capelli 🇮🇹,Jordan 🇮🇪,2,26,13,,0.0
1993 British Grand Prix 🇬🇧,R,15,1993-07-11,10,1993,Thierry Boutsen 🇧🇪,Jordan 🇮🇪,9,23,58,,0.0
1993 Canadian Grand Prix 🇨🇦,12,14,1993-06-13,R,1993,Thierry Boutsen 🇧🇪,Jordan 🇮🇪,7,24,10,,0.0
1993 European Grand Prix 🇬🇧,R,12,1993-04-11,10,1993,Thierry Boutsen 🇧🇪,Jordan 🇮🇪,3,19,70,,0.0
1993 French Grand Prix 🇫🇷,11,8,1993-07-04,7,1993,Thierry Boutsen 🇧🇪,Jordan 🇮🇪,8,20,71,,0.0
1993 German Grand Prix 🇩🇪,13,17,1993-07-25,R,1993,Thierry Boutsen 🇧🇪,Jordan 🇮🇪,10,24,34,,0.0
1993 Hungarian Grand Prix 🇭🇺,9,16,1993-08-15,R,1993,Thierry Boutsen 🇧🇪,Jordan 🇮🇪,11,24,0,,0.0
1993 Italian Grand Prix 🇮🇹,R,19,1993-09-12,R,1993,Marco Apicella 🇮🇹,Jordan 🇮🇪,13,23,0,,0.0
1993 Japanese Grand Prix 🇯🇵,6,12,1993-10-24,5,1993,Eddie Irvine 🇬🇧,Jordan 🇮🇪,15,8,53,+1:35.101,2.0
1993 Monaco Grand Prix 🇲🇨,R,16,1993-05-23,9,1993,Thierry Boutsen 🇧🇪,Jordan 🇮🇪,6,23,76,,0.0
1993 Portuguese Grand Prix 🇵🇹,R,15,1993-09-26,13,1993,Emanuele Naspetti 🇮🇹,Jordan 🇮🇪,14,23,68,,0.0
1993 San Marino Grand Prix 🇮🇹,R,13,1993-04-25,R,1993,Thierry Boutsen 🇧🇪,Jordan 🇮🇪,4,19,17,,0.0
1993 South African Grand Prix 🇿🇦,R,14,1993-03-14,R,1993,Ivan Capelli 🇮🇹,Jordan 🇮🇪,1,18,31,,0.0
1993 Spanish Grand Prix 🇪🇸,11,17,1993-05-09,12,1993,Thierry Boutsen 🇧🇪,Jordan 🇮🇪,5,21,62,,0.0
1994 Australian Grand Prix 🇦🇺,R,5,1994-11-13,4,1994,Eddie Irvine 🇬🇧,Jordan 🇮🇪,16,6,81,+1:10.530,3.0
1994 Belgian Grand Prix 🇧🇪,13,1,1994-08-28,R,1994,Eddie Irvine 🇬🇧,Jordan 🇮🇪,11,4,19,,0.0
1994 Brazilian Grand Prix 🇧🇷,R,14,1994-03-27,4,1994,Eddie Irvine 🇬🇧,Jordan 🇮🇪,1,16,70,,3.0
1994 British Grand Prix 🇬🇧,R,6,1994-07-10,4,1994,Eddie Irvine 🇬🇧,Jordan 🇮🇪,8,12,60,+1:41.751,3.0
1994 Canadian Grand Prix 🇨🇦,R,6,1994-06-12,7,1994,Eddie Irvine 🇬🇧,Jordan 🇮🇪,6,8,68,,0.0
1994 European Grand Prix 🇪🇸,4,5,1994-10-16,12,1994,Eddie Irvine 🇬🇧,Jordan 🇮🇪,14,10,68,,0.0
1994 French Grand Prix 🇫🇷,R,7,1994-07-03,R,1994,Eddie Irvine 🇬🇧,Jordan 🇮🇪,7,6,41,,0.0
1994 German Grand Prix 🇩🇪,R,11,1994-07-31,R,1994,Eddie Irvine 🇬🇧,Jordan 🇮🇪,9,10,0,,0.0
1994 Hungarian Grand Prix 🇭🇺,R,10,1994-08-14,R,1994,Eddie Irvine 🇬🇧,Jordan 🇮🇪,10,7,0,,0.0
1994 Italian Grand Prix 🇮🇹,R,16,1994-09-11,4,1994,Eddie Irvine 🇬🇧,Jordan 🇮🇪,12,9,53,+50.634,3.0
1994 Japanese Grand Prix 🇯🇵,5,10,1994-11-06,R,1994,Eddie Irvine 🇬🇧,Jordan 🇮🇪,15,6,16,,0.0
1994 Monaco Grand Prix 🇲🇨,4,15,1994-05-15,R,1994,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,4,14,27,,0.0
1994 Pacific Grand Prix 🇯🇵,R,8,1994-04-17,3,1994,Aguri Suzuki 🇯🇵,Jordan 🇮🇪,2,20,82,,4.0
