name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1967 Monaco Grand Prix 🇲🇨,R,0,1967-05-07T00:00:00.000Z,F,1967,Johnny Servoz-Gavin 🇫🇷,Matra 🇫🇷,2,11,0,,0.0
1968 Canadian Grand Prix 🇨🇦,R,15,1968-09-22T00:00:00.000Z,R,1968,Henri Pescarolo 🇫🇷,Matra 🇫🇷,10,19,77,,0.0
1968 Mexican Grand Prix 🇲🇽,9,13,1968-11-03T00:00:00.000Z,R,1968,Henri Pescarolo 🇫🇷,Matra 🇫🇷,12,20,10,,0.0
1968 South African Grand Prix 🇿🇦,R,18,1968-01-01T00:00:00.000Z,6,1968,Jackie Stewart 🇬🇧,Matra-Ford 🇫🇷,1,3,77,,1.0
1969 British Grand Prix 🇬🇧,1,17,1969-07-19T00:00:00.000Z,9,1969,Jackie Stewart 🇬🇧,Matra-Ford 🇫🇷,6,2,78,,0.0
1969 Canadian Grand Prix 🇨🇦,R,2,1969-09-20T00:00:00.000Z,4,1969,Jackie Stewart 🇬🇧,Matra-Ford 🇫🇷,9,4,89,,3.0
1969 Canadian Grand Prix 🇨🇦,6,2,1969-09-20T00:00:00.000Z,4,1969,Johnny Servoz-Gavin 🇫🇷,Matra-Ford 🇫🇷,9,15,89,,3.0
1969 Dutch Grand Prix 🇳🇱,R,11,1969-06-21T00:00:00.000Z,8,1969,Bruce McLaren 🇳🇿,McLaren-Ford 🇬🇧,4,6,87,,0.0
1969 Dutch Grand Prix 🇳🇱,10,11,1969-06-21T00:00:00.000Z,8,1969,Vic Elford 🇬🇧,McLaren-Ford 🇬🇧,4,15,87,,0.0
1969 Dutch Grand Prix 🇳🇱,4,11,1969-06-21T00:00:00.000Z,8,1969,Denny Hulme 🇳🇿,McLaren-Ford 🇬🇧,4,7,87,,0.0
1969 French Grand Prix 🇫🇷,1,5,1969-07-06T00:00:00.000Z,2,1969,Jackie Stewart 🇬🇧,Matra-Ford 🇫🇷,5,1,38,+57.1,6.0
1969 German Grand Prix 🇩🇪,2,10,1969-08-03T00:00:00.000Z,6,1969,Jackie Stewart 🇬🇧,Matra-Ford 🇫🇷,7,2,12,,1.0
1969 Italian Grand Prix 🇮🇹,1,6,1969-09-07T00:00:00.000Z,3,1969,Jackie Stewart 🇬🇧,Matra-Ford 🇫🇷,8,3,68,+0.17,4.0
1969 Mexican Grand Prix 🇲🇽,4,8,1969-10-19T00:00:00.000Z,5,1969,Jackie Stewart 🇬🇧,Matra-Ford 🇫🇷,11,3,65,+1:38.52,2.0
1969 Mexican Grand Prix 🇲🇽,8,8,1969-10-19T00:00:00.000Z,5,1969,Johnny Servoz-Gavin 🇫🇷,Matra-Ford 🇫🇷,11,14,65,+1:38.52,2.0
1969 Monaco Grand Prix 🇲🇨,R,3,1969-05-18T00:00:00.000Z,R,1969,Jackie Stewart 🇬🇧,Matra-Ford 🇫🇷,3,1,20,,0.0
