name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1989 British Grand Prix 🇬🇧,R,13,1989-07-16,R,1989,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,8,12,46,,0.0
1989 French Grand Prix 🇫🇷,R,15,1989-07-09,11,1989,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,7,7,77,,0.0
1990 Australian Grand Prix 🇦🇺,R,23,1990-11-04,R,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,16,24,21,,0.0
1990 Belgian Grand Prix 🇧🇪,R,15,1990-08-26,9,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,11,11,43,,0.0
1990 Brazilian Grand Prix 🇧🇷,R,11,1990-03-25,R,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,2,18,13,,0.0
1990 British Grand Prix 🇬🇧,6,8,1990-07-15,4,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,8,9,64,+1:15.302,3.0
1990 Canadian Grand Prix 🇨🇦,12,23,1990-06-10,9,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,5,18,67,,0.0
1990 French Grand Prix 🇫🇷,7,11,1990-07-08,8,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,7,14,79,,0.0
1990 German Grand Prix 🇩🇪,R,12,1990-07-29,R,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,9,11,35,,0.0
1990 Hungarian Grand Prix 🇭🇺,R,12,1990-08-12,6,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,10,19,77,+1:24.308,1.0
1990 Italian Grand Prix 🇮🇹,R,13,1990-09-09,R,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,12,18,10,,0.0
1990 Japanese Grand Prix 🇯🇵,3,18,1990-10-21,R,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,15,9,24,,0.0
1990 Mexican Grand Prix 🇲🇽,R,25,1990-06-24,R,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,6,19,12,,0.0
1990 Monaco Grand Prix 🇲🇨,R,24,1990-05-27,6,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,4,15,76,,1.0
1990 Portuguese Grand Prix 🇵🇹,14,10,1990-09-23,R,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,13,11,24,,0.0
1990 San Marino Grand Prix 🇮🇹,R,13,1990-05-13,13,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,3,15,56,,0.0
1990 Spanish Grand Prix 🇪🇸,6,18,1990-09-30,R,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,14,15,20,,0.0
1990 United States Grand Prix 🇺🇸,R,15,1990-03-11,8,1990,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,1,18,71,,0.0
1991 Belgian Grand Prix 🇧🇪,F,20,1991-08-25,R,1991,Aguri Suzuki 🇯🇵,Lola 🇬🇧,11,0,21,,0.0
1991 Brazilian Grand Prix 🇧🇷,R,11,1991-03-24,R,1991,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,2,17,33,,0.0
1991 British Grand Prix 🇬🇧,R,21,1991-07-14,R,1991,Aguri Suzuki 🇯🇵,Lola 🇬🇧,8,22,21,,0.0
1991 Canadian Grand Prix 🇨🇦,R,19,1991-06-02,R,1991,Aguri Suzuki 🇯🇵,Lola 🇬🇧,5,22,29,,0.0
1991 French Grand Prix 🇫🇷,R,23,1991-07-07,R,1991,Aguri Suzuki 🇯🇵,Lola 🇬🇧,7,22,43,,0.0
1991 German Grand Prix 🇩🇪,R,25,1991-07-28,R,1991,Aguri Suzuki 🇯🇵,Lola 🇬🇧,9,22,9,,0.0
1991 Hungarian Grand Prix 🇭🇺,R,21,1991-08-11,R,1991,Aguri Suzuki 🇯🇵,Lola 🇬🇧,10,22,38,,0.0
1991 Italian Grand Prix 🇮🇹,F,24,1991-09-08,R,1991,Aguri Suzuki 🇯🇵,Lola 🇬🇧,12,0,21,,0.0
1991 Japanese Grand Prix 🇯🇵,R,0,1991-10-20,F,1991,Aguri Suzuki 🇯🇵,Lola 🇬🇧,15,25,0,,0.0
1991 Mexican Grand Prix 🇲🇽,R,23,1991-06-16,6,1991,Aguri Suzuki 🇯🇵,Lola 🇬🇧,6,19,66,,1.0
1991 Monaco Grand Prix 🇲🇨,R,13,1991-05-12,9,1991,Aguri Suzuki 🇯🇵,Lola 🇬🇧,4,20,76,,0.0
1991 Portuguese Grand Prix 🇵🇹,R,0,1991-09-22,F,1991,Aguri Suzuki 🇯🇵,Lola 🇬🇧,13,25,0,,0.0
1991 San Marino Grand Prix 🇮🇹,R,17,1991-04-28,R,1991,Aguri Suzuki 🇯🇵,Lola 🇬🇧,3,20,17,,0.0
1991 Spanish Grand Prix 🇪🇸,F,23,1991-09-29,R,1991,Aguri Suzuki 🇯🇵,Lola 🇬🇧,14,0,0,,0.0
1991 United States Grand Prix 🇺🇸,6,19,1991-03-10,R,1991,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,1,21,4,,0.0
1994 Belgian Grand Prix 🇧🇪,7,16,1994-08-28,10,1994,Olivier Panis 🇫🇷,Ligier 🇫🇷,11,17,42,,0.0
1994 Brazilian Grand Prix 🇧🇷,11,20,1994-03-27,R,1994,Olivier Panis 🇫🇷,Ligier 🇫🇷,1,19,33,,0.0
1994 British Grand Prix 🇬🇧,12,23,1994-07-10,13,1994,Olivier Panis 🇫🇷,Ligier 🇫🇷,8,15,58,,0.0
1994 Canadian Grand Prix 🇨🇦,12,24,1994-06-12,13,1994,Olivier Panis 🇫🇷,Ligier 🇫🇷,6,19,66,,0.0
1994 European Grand Prix 🇪🇸,16,22,1994-10-16,18,1994,Alessandro Zanardi 🇮🇹,Team Lotus 🇬🇧,14,21,66,,0.0
1994 French Grand Prix 🇫🇷,R,15,1994-07-03,R,1994,Olivier Panis 🇫🇷,Ligier 🇫🇷,7,13,40,,0.0
1994 German Grand Prix 🇩🇪,2,14,1994-07-31,3,1994,Olivier Panis 🇫🇷,Ligier 🇫🇷,9,12,45,+1:05.0421,4.0
1994 Hungarian Grand Prix 🇭🇺,6,18,1994-08-14,10,1994,Olivier Panis 🇫🇷,Ligier 🇫🇷,10,9,75,,0.0
1994 Italian Grand Prix 🇮🇹,10,12,1994-09-11,7,1994,Olivier Panis 🇫🇷,Ligier 🇫🇷,12,6,52,,0.0
1994 Monaco Grand Prix 🇲🇨,9,21,1994-05-15,R,1994,Olivier Panis 🇫🇷,Ligier 🇫🇷,4,20,34,,0.0
1994 Pacific Grand Prix 🇯🇵,9,18,1994-04-17,10,1994,Olivier Panis 🇫🇷,Ligier 🇫🇷,2,22,78,,0.0
1994 Portuguese Grand Prix 🇵🇹,D,21,1994-09-25,10,1994,Olivier Panis 🇫🇷,Ligier 🇫🇷,13,15,70,,0.0
1994 San Marino Grand Prix 🇮🇹,11,17,1994-05-01,12,1994,Olivier Panis 🇫🇷,Ligier 🇫🇷,3,19,55,,0.0
1994 Spanish Grand Prix 🇪🇸,7,20,1994-05-29,8,1994,Olivier Panis 🇫🇷,Ligier 🇫🇷,5,19,62,,0.0
