name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1959 Monaco Grand Prix 🇲🇨,F,0,1959-05-10T00:00:00.000Z,F,1959,Jean Lucienbonnet 🇫🇷,Cooper-Climax 🇬🇧,1,0,0,,0.0
1959 Monaco Grand Prix 🇲🇨,F,0,1959-05-10T00:00:00.000Z,F,1959,Alain de Changy 🇧🇪,Cooper-Climax 🇬🇧,1,0,0,,0.0
1959 Monaco Grand Prix 🇲🇨,F,0,1959-05-10T00:00:00.000Z,F,1959,Ivor Bueb 🇬🇧,Cooper-Climax 🇬🇧,1,0,0,,0.0
1959 Monaco Grand Prix 🇲🇨,R,0,1959-05-10T00:00:00.000Z,F,1959,Masten Gregory 🇺🇸,Cooper-Climax 🇬🇧,1,11,0,,0.0
1959 Monaco Grand Prix 🇲🇨,R,0,1959-05-10T00:00:00.000Z,F,1959,Stirling Moss 🇬🇧,Cooper-Climax 🇬🇧,1,1,0,,0.0
1959 Monaco Grand Prix 🇲🇨,5,0,1959-05-10T00:00:00.000Z,F,1959,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,1,13,0,,0.0
1959 Monaco Grand Prix 🇲🇨,3,0,1959-05-10T00:00:00.000Z,F,1959,Maurice Trintignant 🇫🇷,Cooper-Climax 🇬🇧,1,6,0,,0.0
1959 Monaco Grand Prix 🇲🇨,1,0,1959-05-10T00:00:00.000Z,F,1959,Jack Brabham 🇦🇺,Cooper-Climax 🇬🇧,1,3,0,,0.0
1960 Belgian Grand Prix 🇧🇪,R,15,1960-06-19T00:00:00.000Z,6,1960,Tony Brooks 🇬🇧,Cooper-Climax 🇬🇧,5,2,28,,1.0
1960 Belgian Grand Prix 🇧🇪,R,15,1960-06-19T00:00:00.000Z,6,1960,Chris Bristow 🇬🇧,Cooper-Climax 🇬🇧,5,9,28,,1.0
1960 Belgian Grand Prix 🇧🇪,3,15,1960-06-19T00:00:00.000Z,6,1960,Olivier Gendebien 🇧🇪,Cooper-Climax 🇬🇧,5,5,28,,1.0
1960 Belgian Grand Prix 🇧🇪,2,15,1960-06-19T00:00:00.000Z,6,1960,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,5,14,28,,1.0
1960 Belgian Grand Prix 🇧🇪,1,15,1960-06-19T00:00:00.000Z,6,1960,Jack Brabham 🇦🇺,Cooper-Climax 🇬🇧,5,1,28,,1.0
1960 British Grand Prix 🇬🇧,1,17,1960-07-16T00:00:00.000Z,R,1960,Jack Brabham 🇦🇺,Cooper-Climax 🇬🇧,7,1,62,,0.0
1960 British Grand Prix 🇬🇧,4,17,1960-07-16T00:00:00.000Z,R,1960,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,7,3,62,,0.0
1960 British Grand Prix 🇬🇧,5,17,1960-07-16T00:00:00.000Z,R,1960,Tony Brooks 🇬🇧,Cooper-Climax 🇬🇧,7,9,62,,0.0
1960 British Grand Prix 🇬🇧,8,17,1960-07-16T00:00:00.000Z,R,1960,Henry Taylor 🇬🇧,Cooper-Climax 🇬🇧,7,16,62,,0.0
1960 British Grand Prix 🇬🇧,9,17,1960-07-16T00:00:00.000Z,R,1960,Olivier Gendebien 🇧🇪,Cooper-Climax 🇬🇧,7,12,62,,0.0
1960 British Grand Prix 🇬🇧,R,17,1960-07-16T00:00:00.000Z,R,1960,Chuck Daigh 🇺🇸,Cooper-Climax 🇬🇧,7,19,62,,0.0
1960 British Grand Prix 🇬🇧,R,17,1960-07-16T00:00:00.000Z,R,1960,Jack Fairman 🇬🇧,Cooper-Climax 🇬🇧,7,15,62,,0.0
1960 British Grand Prix 🇬🇧,W,17,1960-07-16T00:00:00.000Z,R,1960,Lance Reventlow 🇺🇸,Cooper-Climax 🇬🇧,7,0,62,,0.0
1960 French Grand Prix 🇫🇷,8,15,1960-07-03T00:00:00.000Z,R,1960,Bruce Halford 🇬🇧,Cooper-Climax 🇬🇧,6,15,18,,0.0
1960 French Grand Prix 🇫🇷,4,15,1960-07-03T00:00:00.000Z,R,1960,Henry Taylor 🇬🇧,Cooper-Climax 🇬🇧,6,12,18,,0.0
1960 French Grand Prix 🇫🇷,3,15,1960-07-03T00:00:00.000Z,R,1960,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,6,7,18,,0.0
1960 French Grand Prix 🇫🇷,2,15,1960-07-03T00:00:00.000Z,R,1960,Olivier Gendebien 🇧🇪,Cooper-Climax 🇬🇧,6,9,18,,0.0
1960 French Grand Prix 🇫🇷,1,15,1960-07-03T00:00:00.000Z,R,1960,Jack Brabham 🇦🇺,Cooper-Climax 🇬🇧,6,1,18,,0.0
1961 Belgian Grand Prix 🇧🇪,W,23,1961-06-18T00:00:00.000Z,R,1961,Henry Taylor 🇬🇧,Lotus-Climax 🇬🇧,3,0,9,,0.0
1961 Belgian Grand Prix 🇧🇪,8,23,1961-06-18T00:00:00.000Z,R,1961,Stirling Moss 🇬🇧,Lotus-Climax 🇬🇧,3,8,9,,0.0
1961 Belgian Grand Prix 🇧🇪,12,23,1961-06-18T00:00:00.000Z,R,1961,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,3,16,9,,0.0
1961 Belgian Grand Prix 🇧🇪,R,23,1961-06-18T00:00:00.000Z,R,1961,Innes Ireland 🇬🇧,Lotus-Climax 🇬🇧,3,18,9,,0.0
1961 Belgian Grand Prix 🇧🇪,R,23,1961-06-18T00:00:00.000Z,R,1961,Willy Mairesse 🇧🇪,Lotus-Climax 🇬🇧,3,19,9,,0.0
1961 Belgian Grand Prix 🇧🇪,W,23,1961-06-18T00:00:00.000Z,R,1961,Tony Marsh 🇬🇧,Lotus-Climax 🇬🇧,3,0,9,,0.0
1961 Belgian Grand Prix 🇧🇪,W,23,1961-06-18T00:00:00.000Z,R,1961,Wolfgang Seidel 🇩🇪,Lotus-Climax 🇬🇧,3,0,9,,0.0
1961 Belgian Grand Prix 🇧🇪,W,23,1961-06-18T00:00:00.000Z,R,1961,Ian Burgess 🇬🇧,Lotus-Climax 🇬🇧,3,0,9,,0.0
1961 Belgian Grand Prix 🇧🇪,W,23,1961-06-18T00:00:00.000Z,R,1961,Cliff Allison 🇬🇧,Lotus-Climax 🇬🇧,3,0,9,,0.0
1961 British Grand Prix 🇬🇧,R,30,1961-07-15T00:00:00.000Z,R,1961,Henry Taylor 🇬🇧,Lotus-Climax 🇬🇧,5,17,45,,0.0
1961 British Grand Prix 🇬🇧,R,30,1961-07-15T00:00:00.000Z,R,1961,Gerry Ashmore 🇬🇧,Lotus-Climax 🇬🇧,5,26,45,,0.0
1961 British Grand Prix 🇬🇧,R,30,1961-07-15T00:00:00.000Z,R,1961,Tim Parnell 🇬🇧,Lotus-Climax 🇬🇧,5,29,45,,0.0
1961 British Grand Prix 🇬🇧,R,30,1961-07-15T00:00:00.000Z,R,1961,Tony Marsh 🇬🇧,Lotus-Climax 🇬🇧,5,27,45,,0.0
1961 British Grand Prix 🇬🇧,R,30,1961-07-15T00:00:00.000Z,R,1961,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,5,8,45,,0.0
1961 British Grand Prix 🇬🇧,17,30,1961-07-15T00:00:00.000Z,R,1961,Wolfgang Seidel 🇩🇪,Lotus-Climax 🇬🇧,5,22,45,,0.0
1961 British Grand Prix 🇬🇧,14,30,1961-07-15T00:00:00.000Z,R,1961,Ian Burgess 🇬🇧,Lotus-Climax 🇬🇧,5,25,45,,0.0
1961 British Grand Prix 🇬🇧,13,30,1961-07-15T00:00:00.000Z,R,1961,Tony Maggs 🇿🇦,Lotus-Climax 🇬🇧,5,24,45,,0.0
1961 British Grand Prix 🇬🇧,10,30,1961-07-15T00:00:00.000Z,R,1961,Innes Ireland 🇬🇧,Lotus-Climax 🇬🇧,5,7,45,,0.0
1961 British Grand Prix 🇬🇧,R,30,1961-07-15T00:00:00.000Z,R,1961,Stirling Moss 🇬🇧,Lotus-Climax 🇬🇧,5,5,45,,0.0
1961 French Grand Prix 🇫🇷,W,19,1961-07-02T00:00:00.000Z,R,1961,Juan Manuel Bordeu 🇦🇷,Lotus-Climax 🇬🇧,4,0,21,,0.0
1961 French Grand Prix 🇫🇷,W,19,1961-07-02T00:00:00.000Z,R,1961,Wolfgang Seidel 🇩🇪,Lotus-Climax 🇬🇧,4,0,21,,0.0
1961 French Grand Prix 🇫🇷,R,19,1961-07-02T00:00:00.000Z,R,1961,Willy Mairesse 🇧🇪,Lotus-Climax 🇬🇧,4,20,21,,0.0
1961 French Grand Prix 🇫🇷,R,19,1961-07-02T00:00:00.000Z,R,1961,Stirling Moss 🇬🇧,Lotus-Climax 🇬🇧,4,4,21,,0.0
1961 French Grand Prix 🇫🇷,14,19,1961-07-02T00:00:00.000Z,R,1961,Ian Burgess 🇬🇧,Lotus-Climax 🇬🇧,4,24,21,,0.0
1961 French Grand Prix 🇫🇷,11,19,1961-07-02T00:00:00.000Z,R,1961,Michael May 🇨🇭,Lotus-Climax 🇬🇧,4,22,21,,0.0
1961 French Grand Prix 🇫🇷,10,19,1961-07-02T00:00:00.000Z,R,1961,Henry Taylor 🇬🇧,Lotus-Climax 🇬🇧,4,25,21,,0.0
1961 French Grand Prix 🇫🇷,4,19,1961-07-02T00:00:00.000Z,R,1961,Innes Ireland 🇬🇧,Lotus-Climax 🇬🇧,4,10,21,,0.0
1961 French Grand Prix 🇫🇷,3,19,1961-07-02T00:00:00.000Z,R,1961,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,4,9,21,,0.0
1961 Monaco Grand Prix 🇲🇨,F,0,1961-05-14T00:00:00.000Z,F,1961,Olivier Gendebien 🇧🇪,Emeryson 🇬🇧,1,0,0,,0.0
1962 Belgian Grand Prix 🇧🇪,R,18,1962-06-17T00:00:00.000Z,9,1962,Innes Ireland 🇬🇧,Lotus-Climax 🇬🇧,3,5,29,,0.0
