name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1952 British Grand Prix 🇬🇧,17,28,1952-07-19,18,1952,Harry Schell 🇺🇸,Maserati 🇮🇹,5,32,77,,0.0
1952 British Grand Prix 🇬🇧,19,28,1952-07-19,18,1952,Toulo de Graffenried 🇨🇭,Maserati 🇮🇹,5,31,77,,0.0
1952 British Grand Prix 🇬🇧,R,28,1952-07-19,18,1952,Eitel Cantoni 🇺🇾,Maserati 🇮🇹,5,27,77,,0.0
1952 Dutch Grand Prix 🇳🇱,9,12,1952-08-17,R,1952,Chico Landi 🇧🇷,Maserati 🇮🇹,7,16,4,,0.0
1952 Dutch Grand Prix 🇳🇱,R,12,1952-08-17,R,1952,Jan Flinterman 🇳🇱,Maserati 🇮🇹,7,15,4,,0.0
1952 Dutch Grand Prix 🇳🇱,9,12,1952-08-17,R,1952,Jan Flinterman 🇳🇱,Maserati 🇮🇹,7,16,4,,0.0
1952 German Grand Prix 🇩🇪,R,16,1952-08-03,R,1952,Eitel Cantoni 🇺🇾,Maserati 🇮🇹,6,26,0,,0.0
1952 German Grand Prix 🇩🇪,D,16,1952-08-03,R,1952,Felice Bonetto 🇮🇹,Maserati 🇮🇹,6,10,0,,0.0
1952 Italian Grand Prix 🇮🇹,2,25,1952-09-07,R,1952,José Froilán González 🇦🇷,Maserati 🇮🇹,8,5,46,,0.0
1952 Italian Grand Prix 🇮🇹,5,25,1952-09-07,R,1952,Felice Bonetto 🇮🇹,Maserati 🇮🇹,8,13,46,,0.0
1952 Italian Grand Prix 🇮🇹,8,25,1952-09-07,R,1952,Chico Landi 🇧🇷,Maserati 🇮🇹,8,18,46,,0.0
1952 Italian Grand Prix 🇮🇹,11,25,1952-09-07,R,1952,Eitel Cantoni 🇺🇾,Maserati 🇮🇹,8,23,46,,0.0
1952 Italian Grand Prix 🇮🇹,R,25,1952-09-07,R,1952,Franco Rol 🇮🇹,Maserati 🇮🇹,8,16,46,,0.0
1952 Italian Grand Prix 🇮🇹,F,25,1952-09-07,R,1952,Alberto Crespo 🇦🇷,Maserati 🇮🇹,8,0,46,,0.0
1952 Italian Grand Prix 🇮🇹,F,25,1952-09-07,R,1952,Toulo de Graffenried 🇨🇭,Maserati 🇮🇹,8,0,46,,0.0
