name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1976 Japanese Grand Prix 🇯🇵,R,25,1976-10-24T00:00:00.000Z,R,1976,Arturo Merzario 🇮🇹,Wolf 🇨🇦,16,19,49,,0.0
1977 Argentine Grand Prix 🇦🇷,7,18,1977-01-09T00:00:00.000Z,R,1977,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,1,13,18,,0.0
1977 Austrian Grand Prix 🇦🇹,14,19,1977-08-14T00:00:00.000Z,12,1977,Jean-Pierre Jarier 🇫🇷,Penske 🇺🇸,12,18,53,,0.0
1977 Brazilian Grand Prix 🇧🇷,R,20,1977-01-23T00:00:00.000Z,R,1977,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,2,11,32,,0.0
1977 Canadian Grand Prix 🇨🇦,6,24,1977-10-09T00:00:00.000Z,R,1977,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,16,15,31,,0.0
1977 Dutch Grand Prix 🇳🇱,R,18,1977-08-28T00:00:00.000Z,8,1977,Jean-Pierre Jarier 🇫🇷,Penske 🇺🇸,13,21,73,,0.0
1977 Italian Grand Prix 🇮🇹,R,0,1977-09-11T00:00:00.000Z,F,1977,Jean-Pierre Jarier 🇫🇷,Penske 🇺🇸,14,18,0,,0.0
1977 Japanese Grand Prix 🇯🇵,8,21,1977-10-23T00:00:00.000Z,R,1977,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,17,9,1,,0.0
1977 Monaco Grand Prix 🇲🇨,8,19,1977-05-22T00:00:00.000Z,R,1977,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,6,14,41,,0.0
1977 South African Grand Prix 🇿🇦,7,19,1977-03-05T00:00:00.000Z,11,1977,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,3,14,77,,0.0
1977 Spanish Grand Prix 🇪🇸,R,20,1977-05-08T00:00:00.000Z,9,1977,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,5,11,73,,0.0
1977 United States Grand Prix West 🇺🇸,R,19,1977-04-03T00:00:00.000Z,11,1977,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,4,11,77,,0.0
1977 United States Grand Prix 🇺🇸,19,25,1977-10-02T00:00:00.000Z,11,1977,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,15,11,57,,0.0
1978 Austrian Grand Prix 🇦🇹,F,0,1978-08-13T00:00:00.000Z,F,1978,Jochen Mass 🇩🇪,ATS 🇮🇹,12,0,0,,0.0
