name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1991 Australian Grand Prix 🇦🇺,F,17,1991-11-03,17,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,16,0,13,,0.0
1991 Belgian Grand Prix 🇧🇪,9,13,1991-08-25,6,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,11,16,44,+1:40.035,1.0
1991 Brazilian Grand Prix 🇧🇷,12,25,1991-03-24,R,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,2,26,34,,0.0
1991 British Grand Prix 🇬🇧,R,12,1991-07-14,R,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,8,14,52,,0.0
1991 Canadian Grand Prix 🇨🇦,R,0,1991-06-02,F,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,5,20,0,,0.0
1991 French Grand Prix 🇫🇷,R,17,1991-07-07,R,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,7,24,36,,0.0
1991 German Grand Prix 🇩🇪,11,21,1991-07-28,12,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,9,15,43,,0.0
1991 Hungarian Grand Prix 🇭🇺,R,20,1991-08-11,R,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,10,10,62,,0.0
1991 Italian Grand Prix 🇮🇹,13,11,1991-09-08,12,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,12,19,52,,0.0
1991 Japanese Grand Prix 🇯🇵,5,0,1991-10-20,F,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,15,19,0,,0.0
1991 Mexican Grand Prix 🇲🇽,R,12,1991-06-16,R,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,6,17,54,,0.0
1991 Monaco Grand Prix 🇲🇨,F,19,1991-05-12,R,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,4,0,41,,0.0
1991 Portuguese Grand Prix 🇵🇹,12,15,1991-09-22,R,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,13,19,12,,0.0
1991 San Marino Grand Prix 🇮🇹,11,23,1991-04-28,8,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,3,18,58,,0.0
1991 Spanish Grand Prix 🇪🇸,10,12,1991-09-29,R,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,14,11,49,,0.0
1991 United States Grand Prix 🇺🇸,11,24,1991-03-10,R,1991,Martin Brundle 🇬🇧,Brabham 🇬🇧,1,12,32,,0.0
1993 Australian Grand Prix 🇦🇺,6,14,1993-11-07,9,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,16,8,77,,0.0
1993 Belgian Grand Prix 🇧🇪,7,15,1993-08-29,11,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,12,11,42,,0.0
1993 Brazilian Grand Prix 🇧🇷,R,10,1993-03-28,5,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,2,16,71,+52.127,2.0
1993 British Grand Prix 🇬🇧,14,9,1993-07-11,7,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,9,6,58,,0.0
1993 Canadian Grand Prix 🇨🇦,5,10,1993-06-13,R,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,7,7,13,,0.0
1993 European Grand Prix 🇬🇧,R,21,1993-04-11,R,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,3,22,20,,0.0
1993 French Grand Prix 🇫🇷,5,4,1993-07-04,R,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,8,3,20,,0.0
1993 German Grand Prix 🇩🇪,8,5,1993-07-25,3,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,10,6,45,+59.349,4.0
1993 Hungarian Grand Prix 🇭🇺,5,12,1993-08-15,7,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,11,13,76,,0.0
1993 Italian Grand Prix 🇮🇹,R,14,1993-09-12,R,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,13,12,20,,0.0
1993 Japanese Grand Prix 🇯🇵,9,17,1993-10-24,7,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,15,15,52,,0.0
1993 Monaco Grand Prix 🇲🇨,6,21,1993-05-23,R,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,6,13,3,,0.0
1993 Portuguese Grand Prix 🇵🇹,6,10,1993-09-26,R,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,14,11,51,,0.0
1993 San Marino Grand Prix 🇮🇹,3,7,1993-04-25,R,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,4,10,0,,0.0
1993 South African Grand Prix 🇿🇦,R,8,1993-03-14,3,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,1,12,71,,4.0
1993 Spanish Grand Prix 🇪🇸,R,12,1993-05-09,7,1993,Martin Brundle 🇬🇧,Ligier 🇫🇷,5,18,63,,0.0
1994 Australian Grand Prix 🇦🇺,R,13,1994-11-13,R,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,16,15,66,,0.0
1994 Belgian Grand Prix 🇧🇪,R,12,1994-08-28,5,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,11,23,43,,2.0
1994 Brazilian Grand Prix 🇧🇷,5,12,1994-03-27,R,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,1,10,21,,0.0
1994 British Grand Prix 🇬🇧,6,11,1994-07-10,R,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,8,8,20,,0.0
1994 Canadian Grand Prix 🇨🇦,R,13,1994-06-12,10,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,6,9,67,,0.0
1994 European Grand Prix 🇪🇸,7,14,1994-10-16,13,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,14,13,68,,0.0
1994 French Grand Prix 🇫🇷,R,17,1994-07-03,10,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,7,14,67,,0.0
1994 German Grand Prix 🇩🇪,R,7,1994-07-31,R,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,9,5,0,,0.0
1994 Hungarian Grand Prix 🇭🇺,R,11,1994-08-14,5,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,10,5,76,,2.0
1994 Italian Grand Prix 🇮🇹,R,21,1994-09-11,R,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,12,14,39,,0.0
1994 Japanese Grand Prix 🇯🇵,R,13,1994-11-06,R,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,15,14,26,,0.0
1994 Monaco Grand Prix 🇲🇨,R,10,1994-05-15,R,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,4,11,40,,0.0
1994 Pacific Grand Prix 🇯🇵,R,12,1994-04-17,R,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,2,14,0,,0.0
1994 Portuguese Grand Prix 🇵🇹,R,12,1994-09-25,R,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,13,6,61,,0.0
1994 San Marino Grand Prix 🇮🇹,5,12,1994-05-01,9,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,3,9,56,,0.0
1994 Spanish Grand Prix 🇪🇸,R,11,1994-05-29,3,1994,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,5,10,65,+1:26.969,4.0
1995 Argentine Grand Prix 🇦🇷,R,17,1995-04-09,R,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,2,5,9,,0.0
1995 Australian Grand Prix 🇦🇺,W,10,1995-11-12,4,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,17,24,79,,3.0
1995 Belgian Grand Prix 🇧🇪,R,6,1995-08-27,5,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,11,3,44,+33.772,2.0
1995 Brazilian Grand Prix 🇧🇷,4,9,1995-03-26,6,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,1,7,70,,1.0
1995 British Grand Prix 🇬🇧,R,10,1995-07-16,5,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,8,8,61,+1:48.172,2.0
1995 Canadian Grand Prix 🇨🇦,R,10,1995-06-11,R,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,6,7,47,,0.0
1995 European Grand Prix 🇩🇪,8,10,1995-10-01,R,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,14,9,14,,0.0
1995 French Grand Prix 🇫🇷,7,13,1995-07-02,11,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,7,8,70,,0.0
1995 German Grand Prix 🇩🇪,R,8,1995-07-30,R,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,9,7,17,,0.0
1995 Hungarian Grand Prix 🇭🇺,R,13,1995-08-13,R,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,10,5,54,,0.0
1995 Italian Grand Prix 🇮🇹,2,9,1995-09-10,4,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,12,7,53,+28.223,3.0
1995 Japanese Grand Prix 🇯🇵,2,23,1995-10-29,7,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,16,3,52,,0.0
1995 Monaco Grand Prix 🇲🇨,R,10,1995-05-28,5,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,5,6,77,,2.0
1995 Pacific Grand Prix 🇯🇵,10,10,1995-10-22,9,1995,Jan Magnussen 🇩🇰,McLaren 🇬🇧,15,12,81,,0.0
1995 Portuguese Grand Prix 🇵🇹,R,12,1995-09-24,9,1995,Mika Häkkinen 🇫🇮,McLaren 🇬🇧,13,13,70,,0.0
