name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1952 Indianapolis 500 🇺🇸,R,25,1952-05-30,R,1952,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,2,49,,0.0
1952 Indianapolis 500 🇺🇸,R,25,1952-05-30,R,1952,Chet Miller 🇺🇸,Kurtis Kraft 🇺🇸,2,27,49,,0.0
1952 Indianapolis 500 🇺🇸,R,25,1952-05-30,R,1952,Gene Hartley 🇺🇸,Kurtis Kraft 🇺🇸,2,18,49,,0.0
1952 Indianapolis 500 🇺🇸,R,25,1952-05-30,R,1952,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,1,49,,0.0
1952 Indianapolis 500 🇺🇸,R,25,1952-05-30,R,1952,Bob Sweikert 🇺🇸,Kurtis Kraft 🇺🇸,2,32,49,,0.0
1952 Indianapolis 500 🇺🇸,R,25,1952-05-30,R,1952,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,4,49,,0.0
1952 Indianapolis 500 🇺🇸,R,25,1952-05-30,R,1952,Rodger Ward 🇺🇸,Kurtis Kraft 🇺🇸,2,22,49,,0.0
1952 Indianapolis 500 🇺🇸,21,25,1952-05-30,R,1952,Johnny McDowell 🇺🇸,Kurtis Kraft 🇺🇸,2,33,49,,0.0
1952 Indianapolis 500 🇺🇸,18,25,1952-05-30,R,1952,Chuck Stevenson 🇺🇸,Kurtis Kraft 🇺🇸,2,11,49,,0.0
1952 Indianapolis 500 🇺🇸,17,25,1952-05-30,R,1952,Bill Vukovich 🇺🇸,Kurtis Kraft 🇺🇸,2,8,49,,0.0
1952 Indianapolis 500 🇺🇸,13,25,1952-05-30,R,1952,Joe James 🇺🇸,Kurtis Kraft 🇺🇸,2,16,49,,0.0
1952 Indianapolis 500 🇺🇸,11,25,1952-05-30,R,1952,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,49,,0.0
1952 Indianapolis 500 🇺🇸,10,25,1952-05-30,R,1952,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,31,49,,0.0
1952 Indianapolis 500 🇺🇸,9,25,1952-05-30,R,1952,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,9,49,,0.0
1952 Indianapolis 500 🇺🇸,8,25,1952-05-30,R,1952,George Connor 🇺🇸,Kurtis Kraft 🇺🇸,2,14,49,,0.0
1952 Indianapolis 500 🇺🇸,7,25,1952-05-30,R,1952,Jimmy Reece 🇺🇸,Kurtis Kraft 🇺🇸,2,23,49,,0.0
1952 Indianapolis 500 🇺🇸,6,25,1952-05-30,R,1952,Jimmy Bryan 🇺🇸,Kurtis Kraft 🇺🇸,2,21,49,,0.0
1952 Indianapolis 500 🇺🇸,5,25,1952-05-30,R,1952,Art Cross 🇺🇸,Kurtis Kraft 🇺🇸,2,20,49,,0.0
1952 Indianapolis 500 🇺🇸,3,25,1952-05-30,R,1952,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,5,49,,0.0
1952 Indianapolis 500 🇺🇸,2,25,1952-05-30,R,1952,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,2,10,49,,0.0
1953 Indianapolis 500 🇺🇸,15,11,1953-05-30,R,1953,Bill Holland 🇺🇸,Bromme 🇺🇸,2,28,14,,0.0
1953 Indianapolis 500 🇺🇸,16,11,1953-05-30,R,1953,Rodger Ward 🇺🇸,Bromme 🇺🇸,2,10,14,,0.0
1953 Indianapolis 500 🇺🇸,17,11,1953-05-30,R,1953,Walt Faulkner 🇺🇸,Bromme 🇺🇸,2,14,14,,0.0
1953 Indianapolis 500 🇺🇸,R,11,1953-05-30,R,1953,Marshall Teague 🇺🇸,Bromme 🇺🇸,2,22,14,,0.0
1953 Indianapolis 500 🇺🇸,R,11,1953-05-30,R,1953,Travis Webb 🇺🇸,Bromme 🇺🇸,2,18,14,,0.0
1953 Indianapolis 500 🇺🇸,R,11,1953-05-30,R,1953,Jerry Hoyt 🇺🇸,Bromme 🇺🇸,2,7,14,,0.0
1953 Indianapolis 500 🇺🇸,R,11,1953-05-30,R,1953,Paul Russo 🇺🇸,Bromme 🇺🇸,2,17,14,,0.0
1953 Indianapolis 500 🇺🇸,R,11,1953-05-30,R,1953,Johnnie Parsons 🇺🇸,Bromme 🇺🇸,2,8,14,,0.0
1953 Indianapolis 500 🇺🇸,R,11,1953-05-30,R,1953,Gene Hartley 🇺🇸,Bromme 🇺🇸,2,13,14,,0.0
1953 Indianapolis 500 🇺🇸,R,11,1953-05-30,R,1953,Cal Niday 🇺🇸,Bromme 🇺🇸,2,30,14,,0.0
1953 Indianapolis 500 🇺🇸,3,11,1953-05-30,R,1953,Duane Carter 🇺🇸,Bromme 🇺🇸,2,9,14,,0.0
1953 Indianapolis 500 🇺🇸,7,11,1953-05-30,R,1953,Eddie Johnson 🇺🇸,Bromme 🇺🇸,2,25,14,,0.0
1953 Indianapolis 500 🇺🇸,3,19,1953-05-30,12,1953,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,9,190,,0.0
