name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1950 French Grand Prix 🇫🇷,R,10,1950-07-02,R,1950,Reg Parnell 🇬🇧,Maserati 🇮🇹,6,11,14,,0.0
1950 French Grand Prix 🇫🇷,R,10,1950-07-02,R,1950,Franco Rol 🇮🇹,Maserati 🇮🇹,6,7,14,,0.0
1950 French Grand Prix 🇫🇷,R,10,1950-07-02,R,1950,Louis Chiron 🇲🇨,Maserati 🇮🇹,6,13,14,,0.0
1950 French Grand Prix 🇫🇷,R,10,1950-07-02,R,1950,David Hampshire 🇬🇧,Maserati 🇮🇹,6,17,14,,0.0
1950 French Grand Prix 🇫🇷,R,10,1950-07-02,R,1950,José Froilán González 🇦🇷,Maserati 🇮🇹,6,8,14,,0.0
1950 Swiss Grand Prix 🇨🇭,4,12,1950-06-04,5,1950,Prince Bira 🇹🇭,Maserati 🇮🇹,4,8,40,,2.0
1950 Swiss Grand Prix 🇨🇭,6,12,1950-06-04,5,1950,Toulo de Graffenried 🇨🇭,Maserati 🇮🇹,4,11,40,,2.0
1950 Swiss Grand Prix 🇨🇭,7,12,1950-06-04,5,1950,Nello Pagani 🇮🇹,Maserati 🇮🇹,4,15,40,,2.0
1950 Swiss Grand Prix 🇨🇭,9,12,1950-06-04,5,1950,Louis Chiron 🇲🇨,Maserati 🇮🇹,4,16,40,,2.0
1950 Swiss Grand Prix 🇨🇭,11,12,1950-06-04,5,1950,Toni Branca 🇨🇭,Maserati 🇮🇹,4,17,40,,2.0
1951 British Grand Prix 🇬🇧,R,7,1951-07-14,4,1951,Nino Farina 🇮🇹,Alfa Romeo 🇮🇹,5,3,87,,3.0
1951 British Grand Prix 🇬🇧,6,7,1951-07-14,4,1951,Consalvo Sanesi 🇮🇹,Alfa Romeo 🇮🇹,5,6,87,,3.0
1951 British Grand Prix 🇬🇧,2,7,1951-07-14,4,1951,Juan Fangio 🇦🇷,Alfa Romeo 🇮🇹,5,2,87,,3.0
1951 German Grand Prix 🇩🇪,R,10,1951-07-29,R,1951,Nino Farina 🇮🇹,Alfa Romeo 🇮🇹,6,4,12,,0.0
1951 German Grand Prix 🇩🇪,R,10,1951-07-29,R,1951,Paul Pietsch 🇩🇪,Alfa Romeo 🇮🇹,6,7,12,,0.0
1951 German Grand Prix 🇩🇪,2,10,1951-07-29,R,1951,Juan Fangio 🇦🇷,Alfa Romeo 🇮🇹,6,3,12,,0.0
1951 Italian Grand Prix 🇮🇹,3,7,1951-09-16,3,1951,Nino Farina 🇮🇹,Alfa Romeo 🇮🇹,7,7,79,,2.0
1951 Italian Grand Prix 🇮🇹,R,7,1951-09-16,3,1951,Toulo de Graffenried 🇨🇭,Alfa Romeo 🇮🇹,7,9,79,,2.0
1951 Italian Grand Prix 🇮🇹,R,7,1951-09-16,3,1951,Nino Farina 🇮🇹,Alfa Romeo 🇮🇹,7,2,79,,2.0
1951 Italian Grand Prix 🇮🇹,R,7,1951-09-16,3,1951,Juan Fangio 🇦🇷,Alfa Romeo 🇮🇹,7,1,79,,2.0
1951 Spanish Grand Prix 🇪🇸,6,8,1951-10-28,5,1951,Toulo de Graffenried 🇨🇭,Alfa Romeo 🇮🇹,8,6,68,,2.0
1951 Spanish Grand Prix 🇪🇸,3,8,1951-10-28,5,1951,Nino Farina 🇮🇹,Alfa Romeo 🇮🇹,8,4,68,,2.0
1951 Spanish Grand Prix 🇪🇸,1,8,1951-10-28,5,1951,Juan Fangio 🇦🇷,Alfa Romeo 🇮🇹,8,2,68,,2.0
1952 German Grand Prix 🇩🇪,R,10,1952-08-03,D,1952,Gino Bianco 🇧🇷,Maserati 🇮🇹,6,16,1,,0.0
1952 German Grand Prix 🇩🇪,R,10,1952-08-03,D,1952,Eitel Cantoni 🇺🇾,Maserati 🇮🇹,6,26,1,,0.0
1952 Italian Grand Prix 🇮🇹,F,13,1952-09-07,5,1952,Toulo de Graffenried 🇨🇭,Maserati 🇮🇹,8,0,79,,2.0
