name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1959 British Grand Prix 🇬🇧,13,16,1959-07-18T00:00:00.000Z,10,1959,Ivor Bueb 🇬🇧,Cooper-Borgward 🇬🇧,5,18,70,,0.0
1960 Belgian Grand Prix 🇧🇪,1,9,1960-06-19T00:00:00.000Z,R,1960,Jack Brabham 🇦🇺,Cooper-Climax 🇬🇧,5,1,19,,0.0
1960 Belgian Grand Prix 🇧🇪,2,9,1960-06-19T00:00:00.000Z,R,1960,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,5,14,19,,0.0
1960 Belgian Grand Prix 🇧🇪,3,9,1960-06-19T00:00:00.000Z,R,1960,Olivier Gendebien 🇧🇪,Cooper-Climax 🇬🇧,5,5,19,,0.0
1960 Belgian Grand Prix 🇧🇪,6,9,1960-06-19T00:00:00.000Z,R,1960,Lucien Bianchi 🇧🇪,Cooper-Climax 🇬🇧,5,15,19,,0.0
1960 Belgian Grand Prix 🇧🇪,R,9,1960-06-19T00:00:00.000Z,R,1960,Tony Brooks 🇬🇧,Cooper-Climax 🇬🇧,5,2,19,,0.0
1960 Dutch Grand Prix 🇳🇱,1,7,1960-06-06T00:00:00.000Z,R,1960,Jack Brabham 🇦🇺,Cooper-Climax 🇬🇧,4,2,9,,0.0
1960 Dutch Grand Prix 🇳🇱,7,7,1960-06-06T00:00:00.000Z,R,1960,Henry Taylor 🇬🇧,Cooper-Climax 🇬🇧,4,14,9,,0.0
1960 Dutch Grand Prix 🇳🇱,8,7,1960-06-06T00:00:00.000Z,R,1960,Carel Godin de Beaufort 🇳🇱,Cooper-Climax 🇬🇧,4,18,9,,0.0
1960 Dutch Grand Prix 🇳🇱,R,7,1960-06-06T00:00:00.000Z,R,1960,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,4,9,9,,0.0
1960 Dutch Grand Prix 🇳🇱,R,7,1960-06-06T00:00:00.000Z,R,1960,Tony Brooks 🇬🇧,Cooper-Climax 🇬🇧,4,10,9,,0.0
1960 Monaco Grand Prix 🇲🇨,2,4,1960-05-29T00:00:00.000Z,R,1960,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,2,11,17,,0.0
1960 Monaco Grand Prix 🇲🇨,4,4,1960-05-29T00:00:00.000Z,R,1960,Tony Brooks 🇬🇧,Cooper-Climax 🇬🇧,2,3,17,,0.0
1960 Monaco Grand Prix 🇲🇨,D,4,1960-05-29T00:00:00.000Z,R,1960,Jack Brabham 🇦🇺,Cooper-Climax 🇬🇧,2,2,17,,0.0
1960 Monaco Grand Prix 🇲🇨,R,4,1960-05-29T00:00:00.000Z,R,1960,Roy Salvadori 🇬🇧,Cooper-Climax 🇬🇧,2,12,17,,0.0
1960 Monaco Grand Prix 🇲🇨,F,4,1960-05-29T00:00:00.000Z,R,1960,Bruce Halford 🇬🇧,Cooper-Climax 🇬🇧,2,0,17,,0.0
