name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1956 British Grand Prix 🇬🇧,6,9,39,Ferrari 🇮🇹,1956-07-14,R,,1956,Juan Fangio 🇦🇷
1956 Monaco Grand Prix 🇲🇨,2,0,0,Maserati 🇮🇹,1956-05-13,W,,1956,Stirling Moss 🇬🇧
1957 British Grand Prix 🇬🇧,5,1,51,Vanwall 🇬🇧,1957-07-20,R,,1957,Stirling Moss 🇬🇧
1957 British Grand Prix 🇬🇧,5,3,90,Vanwall 🇬🇧,1957-07-20,1,3:06:37.8,1957,Stirling Moss 🇬🇧
1957 German Grand Prix 🇩🇪,6,5,21,Maserati 🇮🇹,1957-08-04,9,,1957,Juan Fangio 🇦🇷
1957 Italian Grand Prix 🇮🇹,8,3,82,Vanwall 🇬🇧,1957-09-08,7,,1957,Stirling Moss 🇬🇧
1957 Monaco Grand Prix 🇲🇨,2,4,105,Maserati 🇮🇹,1957-05-19,2,+25.2,1957,Juan Fangio 🇦🇷
1957 Pescara Grand Prix 🇮🇹,7,6,1,Vanwall 🇬🇧,1957-08-18,R,,1957,Stirling Moss 🇬🇧
1958 Belgian Grand Prix 🇧🇪,5,5,24,Vanwall 🇬🇧,1958-06-15,1,1:37:06.3,1958,Tony Brooks 🇬🇧
1958 British Grand Prix 🇬🇧,7,9,74,Ferrari 🇮🇹,1958-07-19,7,,1958,Peter Collins 🇬🇧
1958 Dutch Grand Prix 🇳🇱,3,3,13,Vanwall 🇬🇧,1958-05-26,R,,1958,Stirling Moss 🇬🇧
1958 French Grand Prix 🇫🇷,6,10,35,Ferrari 🇮🇹,1958-07-06,R,,1958,Mike Hawthorn 🇬🇧
1958 French Grand Prix 🇫🇷,6,5,16,Ferrari 🇮🇹,1958-07-06,R,,1958,Mike Hawthorn 🇬🇧
1958 German Grand Prix 🇩🇪,8,2,15,Vanwall 🇬🇧,1958-08-03,1,2:21:15.0,1958,Tony Brooks 🇬🇧
1958 Italian Grand Prix 🇮🇹,10,2,70,Vanwall 🇬🇧,1958-09-07,1,2:03:47.8,1958,Tony Brooks 🇬🇧
1958 Monaco Grand Prix 🇲🇨,2,1,22,Cooper 🇬🇧,1958-05-18,R,,1958,Maurice Trintignant 🇫🇷
