name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1964 German Grand Prix 🇩🇪,6,22,11,Ferrari 🇮🇹,1964-08-02,13,,1964,John Surtees 🇬🇧
1964 Italian Grand Prix 🇮🇹,8,10,13,Ferrari 🇮🇹,1964-09-06,R,,1964,John Surtees 🇬🇧
1964 United States Grand Prix 🇺🇸,9,14,50,BRM 🇬🇧,1964-10-04,R,,1964,Graham Hill 🇬🇧
1965 Belgian Grand Prix 🇧🇪,3,11,9,Lotus-Climax 🇬🇧,1965-06-13,R,,1965,Jim Clark 🇬🇧
1965 French Grand Prix 🇫🇷,4,16,4,Lotus-Climax 🇬🇧,1965-06-27,R,,1965,Jim Clark 🇬🇧
1965 Italian Grand Prix 🇮🇹,8,6,27,BRM 🇬🇧,1965-09-12,R,,1965,Jackie Stewart 🇬🇧
1965 Mexican Grand Prix 🇲🇽,10,10,64,Honda 🇯🇵,1965-10-24,5,,1965,Richie Ginther 🇺🇸
1965 Monaco Grand Prix 🇲🇨,2,15,33,BRM 🇬🇧,1965-05-30,R,,1965,Graham Hill 🇬🇧
1965 United States Grand Prix 🇺🇸,9,12,92,BRM 🇬🇧,1965-10-03,13,,1965,Graham Hill 🇬🇧
1966 Mexican Grand Prix 🇲🇽,9,13,60,Cooper-Maserati 🇬🇧,1966-10-23,8,,1966,John Surtees 🇬🇧
1966 United States Grand Prix 🇺🇸,8,18,58,Lotus-BRM 🇬🇧,1966-10-02,R,,1966,Jim Clark 🇬🇧
