name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1970 Austrian Grand Prix 🇦🇹,9,9,0,Ferrari 🇮🇹,1970-08-16,R,,1970,Jacky Ickx 🇧🇪
1970 British Grand Prix 🇬🇧,7,14,79,Team Lotus 🇬🇧,1970-07-18,7,,1970,Jochen Rindt 🇦🇹
1970 Canadian Grand Prix 🇨🇦,11,4,85,Ferrari 🇮🇹,1970-09-20,9,,1970,Jacky Ickx 🇧🇪
1970 Dutch Grand Prix 🇳🇱,5,15,31,Team Lotus 🇬🇧,1970-06-21,R,,1970,Jochen Rindt 🇦🇹
1970 French Grand Prix 🇫🇷,6,13,37,Team Lotus 🇬🇧,1970-07-05,11,,1970,Jochen Rindt 🇦🇹
1970 German Grand Prix 🇩🇪,8,14,49,Team Lotus 🇬🇧,1970-08-02,7,,1970,Jochen Rindt 🇦🇹
1970 Italian Grand Prix 🇮🇹,10,11,68,Ferrari 🇮🇹,1970-09-06,6,+1:03.46,1970,Clay Regazzoni 🇨🇭
1970 Mexican Grand Prix 🇲🇽,13,9,8,Ferrari 🇮🇹,1970-10-25,R,,1970,Jacky Ickx 🇧🇪
1970 United States Grand Prix 🇺🇸,12,17,62,Team Lotus 🇬🇧,1970-10-04,R,,1970,Emerson Fittipaldi 🇧🇷
1971 Austrian Grand Prix 🇦🇹,8,3,42,BRM 🇬🇧,1971-08-15,R,,1971,Jo Siffert 🇨🇭
1971 British Grand Prix 🇬🇧,6,10,65,Tyrrell 🇬🇧,1971-07-17,10,,1971,Jackie Stewart 🇬🇧
1971 Canadian Grand Prix 🇨🇦,10,3,62,Tyrrell 🇬🇧,1971-09-19,6,,1971,Jackie Stewart 🇬🇧
1971 Dutch Grand Prix 🇳🇱,4,12,29,Ferrari 🇮🇹,1971-06-20,R,,1971,Jacky Ickx 🇧🇪
1971 French Grand Prix 🇫🇷,5,7,55,Tyrrell 🇬🇧,1971-07-04,2,+28.12,1971,Jackie Stewart 🇬🇧
1971 German Grand Prix 🇩🇪,7,5,12,Tyrrell 🇬🇧,1971-08-01,2,+30.1,1971,Jackie Stewart 🇬🇧
1971 Italian Grand Prix 🇮🇹,9,5,55,BRM 🇬🇧,1971-09-05,3,+0.09,1971,Peter Gethin 🇬🇧
1971 Monaco Grand Prix 🇲🇨,3,15,5,Tyrrell 🇬🇧,1971-05-23,R,,1971,Jackie Stewart 🇬🇧
1971 South African Grand Prix 🇿🇦,1,9,45,Ferrari 🇮🇹,1971-03-06,R,,1971,Mario Andretti 🇺🇸
1971 Spanish Grand Prix 🇪🇸,2,12,74,Tyrrell 🇬🇧,1971-04-18,7,,1971,Jackie Stewart 🇬🇧
1971 United States Grand Prix 🇺🇸,11,5,59,Tyrrell 🇬🇧,1971-10-03,1,1:43:51.991,1971,François Cevert 🇫🇷
1972 Argentine Grand Prix 🇦🇷,1,17,59,Tyrrell 🇬🇧,1972-01-23,R,,1972,Jackie Stewart 🇬🇧
1972 Austrian Grand Prix 🇦🇹,9,20,53,Team Lotus 🇬🇧,1972-08-13,9,,1972,Emerson Fittipaldi 🇧🇷
1972 Belgian Grand Prix 🇧🇪,5,5,85,Team Lotus 🇬🇧,1972-06-04,2,+26.6,1972,Emerson Fittipaldi 🇧🇷
1972 British Grand Prix 🇬🇧,7,12,60,Team Lotus 🇬🇧,1972-07-15,R,,1972,Emerson Fittipaldi 🇧🇷
1972 Canadian Grand Prix 🇨🇦,11,6,51,Tyrrell 🇬🇧,1972-09-24,R,,1972,Jackie Stewart 🇬🇧
1972 French Grand Prix 🇫🇷,6,7,38,Tyrrell 🇬🇧,1972-07-02,4,+49.3,1972,Jackie Stewart 🇬🇧
1972 German Grand Prix 🇩🇪,8,5,14,Ferrari 🇮🇹,1972-07-30,10,+5:43.7,1972,Jacky Ickx 🇧🇪
1972 Italian Grand Prix 🇮🇹,10,14,14,Team Lotus 🇬🇧,1972-09-10,R,,1972,Emerson Fittipaldi 🇧🇷
1972 Monaco Grand Prix 🇲🇨,4,12,70,BRM 🇬🇧,1972-05-14,N,,1972,Jean-Pierre Beltoise 🇫🇷
1972 South African Grand Prix 🇿🇦,2,8,78,McLaren 🇬🇧,1972-03-04,9,,1972,Denny Hulme 🇳🇿
1972 Spanish Grand Prix 🇪🇸,3,12,65,Team Lotus 🇬🇧,1972-05-01,R,,1972,Emerson Fittipaldi 🇧🇷
