Alain Prost 🇫🇷,4
Alan Jones 🇦🇺,1
Alberto Ascari 🇮🇹,2
Ayrton Senna 🇧🇷,3
Damon Hill 🇬🇧,1
Denny Hulme 🇳🇿,1
Emerson Fittipaldi 🇧🇷,2
Fernando Alonso 🇪🇸,2
Graham Hill 🇬🇧,2
Jack Brabham 🇦🇺,3
Jackie Stewart 🇬🇧,3
Jacques Villeneuve 🇨🇦,1
James Hunt 🇬🇧,1
Jenson Button 🇬🇧,1
Jim Clark 🇬🇧,2
Jochen Rindt 🇦🇹,1
Jody Scheckter 🇿🇦,1
John Surtees 🇬🇧,1
Juan Fangio 🇦🇷,5
Keke Rosberg 🇫🇮,1
Kimi Räikkönen 🇫🇮,1
Lewis Hamilton 🇬🇧,3
Mario Andretti 🇺🇸,1
Michael Schumacher 🇩🇪,7
Mika Häkkinen 🇫🇮,2
Mike Hawthorn 🇬🇧,1
Nelson Piquet 🇧🇷,3
Nico Rosberg 🇩🇪,1
Nigel Mansell 🇬🇧,1
Niki Lauda 🇦🇹,3
Nino Farina 🇮🇹,1
Phil Hill 🇺🇸,1
Sebastian Vettel 🇩🇪,4
