name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1957 Indianapolis 500 🇺🇸,4,23,1957-05-30,R,1957,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,3,10,81,,0.0
1957 Indianapolis 500 🇺🇸,5,23,1957-05-30,R,1957,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,3,12,81,,0.0
1957 Indianapolis 500 🇺🇸,R,23,1957-05-30,R,1957,Eddie Russo 🇺🇸,Kurtis Kraft 🇺🇸,3,26,81,,0.0
1957 Indianapolis 500 🇺🇸,R,23,1957-05-30,R,1957,Ed Elisian 🇺🇸,Kurtis Kraft 🇺🇸,3,7,81,,0.0
1957 Indianapolis 500 🇺🇸,R,23,1957-05-30,R,1957,Elmer George 🇺🇸,Kurtis Kraft 🇺🇸,3,9,81,,0.0
1957 Indianapolis 500 🇺🇸,R,23,1957-05-30,R,1957,Eddie Johnson 🇺🇸,Kurtis Kraft 🇺🇸,3,20,81,,0.0
1957 Indianapolis 500 🇺🇸,R,23,1957-05-30,R,1957,Mike Magill 🇺🇸,Kurtis Kraft 🇺🇸,3,18,81,,0.0
1957 Indianapolis 500 🇺🇸,R,23,1957-05-30,R,1957,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,3,4,81,,0.0
1957 Indianapolis 500 🇺🇸,R,23,1957-05-30,R,1957,Johnnie Tolan 🇺🇸,Kurtis Kraft 🇺🇸,3,31,81,,0.0
1957 Indianapolis 500 🇺🇸,R,23,1957-05-30,R,1957,Don Edmunds 🇺🇸,Kurtis Kraft 🇺🇸,3,27,81,,0.0
1957 Indianapolis 500 🇺🇸,R,23,1957-05-30,R,1957,Jimmy Reece 🇺🇸,Kurtis Kraft 🇺🇸,3,6,81,,0.0
1957 Indianapolis 500 🇺🇸,17,23,1957-05-30,R,1957,Don Freeland 🇺🇸,Kurtis Kraft 🇺🇸,3,21,81,,0.0
1957 Indianapolis 500 🇺🇸,16,23,1957-05-30,R,1957,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,3,17,81,,0.0
1957 Indianapolis 500 🇺🇸,15,23,1957-05-30,R,1957,Tony Bettenhausen 🇺🇸,Kurtis Kraft 🇺🇸,3,22,81,,0.0
1957 Indianapolis 500 🇺🇸,13,23,1957-05-30,R,1957,Bob Christie 🇺🇸,Kurtis Kraft 🇺🇸,3,33,81,,0.0
1957 Indianapolis 500 🇺🇸,11,23,1957-05-30,R,1957,Jack Turner 🇺🇸,Kurtis Kraft 🇺🇸,3,19,81,,0.0
1957 Indianapolis 500 🇺🇸,8,23,1957-05-30,R,1957,Pat O'Connor 🇺🇸,Kurtis Kraft 🇺🇸,3,1,81,,0.0
1957 Indianapolis 500 🇺🇸,7,23,1957-05-30,R,1957,Marshall Teague 🇺🇸,Kurtis Kraft 🇺🇸,3,28,81,,0.0
1957 Indianapolis 500 🇺🇸,R,23,1957-05-30,R,1957,Al Keller 🇺🇸,Kurtis Kraft 🇺🇸,3,8,81,,0.0
1957 Indianapolis 500 🇺🇸,6,23,1957-05-30,R,1957,Johnny Boyd 🇺🇸,Kurtis Kraft 🇺🇸,3,5,81,,0.0
1957 Indianapolis 500 🇺🇸,R,23,1957-05-30,R,1957,Jimmy Daywalt 🇺🇸,Kurtis Kraft 🇺🇸,3,29,81,,0.0
1958 Indianapolis 500 🇺🇸,3,33,1958-05-30,10,1958,Johnny Boyd 🇺🇸,Kurtis Kraft 🇺🇸,4,8,200,+8:03.59,0.0
1958 Indianapolis 500 🇺🇸,R,33,1958-05-30,10,1958,Jerry Unser 🇺🇸,Kurtis Kraft 🇺🇸,4,24,200,+8:03.59,0.0
1958 Indianapolis 500 🇺🇸,R,33,1958-05-30,10,1958,Paul Goldsmith 🇺🇸,Kurtis Kraft 🇺🇸,4,16,200,+8:03.59,0.0
