name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1992 Brazilian Grand Prix 🇧🇷,3,0,0,Williams 🇬🇧,1992-04-05,F,,1992,Nigel Mansell 🇬🇧
1992 British Grand Prix 🇬🇧,9,0,0,Williams 🇬🇧,1992-07-12,F,,1992,Nigel Mansell 🇬🇧
1992 Canadian Grand Prix 🇨🇦,7,0,0,McLaren 🇬🇧,1992-06-14,F,,1992,Gerhard Berger 🇦🇹
1992 French Grand Prix 🇫🇷,8,26,0,Williams 🇬🇧,1992-07-05,R,,1992,Nigel Mansell 🇬🇧
1992 German Grand Prix 🇩🇪,10,0,0,Williams 🇬🇧,1992-07-26,F,,1992,Nigel Mansell 🇬🇧
1992 Mexican Grand Prix 🇲🇽,2,23,37,Williams 🇬🇧,1992-03-22,R,,1992,Nigel Mansell 🇬🇧
1992 Monaco Grand Prix 🇲🇨,6,0,0,McLaren 🇬🇧,1992-05-31,F,,1992,Ayrton Senna 🇧🇷
1992 San Marino Grand Prix 🇮🇹,5,0,0,Williams 🇬🇧,1992-05-17,F,,1992,Nigel Mansell 🇬🇧
1992 South African Grand Prix 🇿🇦,1,0,0,Williams 🇬🇧,1992-03-01,F,,1992,Nigel Mansell 🇬🇧
1992 Spanish Grand Prix 🇪🇸,4,20,22,Williams 🇬🇧,1992-05-03,R,,1992,Nigel Mansell 🇬🇧
