name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1950 Belgian Grand Prix 🇧🇪,5,14,22,Alfa Romeo 🇮🇹,1950-06-18,8,,1950,Juan Fangio 🇦🇷
1950 British Grand Prix 🇬🇧,1,21,64,Alfa Romeo 🇮🇹,1950-05-13,11,,1950,Nino Farina 🇮🇹
1950 French Grand Prix 🇫🇷,6,14,11,Alfa Romeo 🇮🇹,1950-07-02,R,,1950,Juan Fangio 🇦🇷
1950 Italian Grand Prix 🇮🇹,7,22,22,Alfa Romeo 🇮🇹,1950-09-03,R,,1950,Nino Farina 🇮🇹
1950 Monaco Grand Prix 🇲🇨,2,19,94,Alfa Romeo 🇮🇹,1950-05-21,7,,1950,Juan Fangio 🇦🇷
1950 Swiss Grand Prix 🇨🇭,4,14,38,Alfa Romeo 🇮🇹,1950-06-04,10,,1950,Nino Farina 🇮🇹
1951 Belgian Grand Prix 🇧🇪,3,11,33,Alfa Romeo 🇮🇹,1951-06-17,7,,1951,Nino Farina 🇮🇹
1951 British Grand Prix 🇬🇧,5,14,80,Ferrari 🇮🇹,1951-07-14,13,,1951,José Froilán González 🇦🇷
1951 French Grand Prix 🇫🇷,4,12,54,Alfa Romeo 🇮🇹,1951-07-01,R,,1951,Juan Fangio 🇦🇷
1951 German Grand Prix 🇩🇪,6,18,17,Ferrari 🇮🇹,1951-07-29,11,,1951,Alberto Ascari 🇮🇹
1951 Italian Grand Prix 🇮🇹,7,21,4,Ferrari 🇮🇹,1951-09-16,R,,1951,Alberto Ascari 🇮🇹
1951 Spanish Grand Prix 🇪🇸,8,15,37,Alfa Romeo 🇮🇹,1951-10-28,R,,1951,Juan Fangio 🇦🇷
1951 Swiss Grand Prix 🇨🇭,1,18,35,Alfa Romeo 🇮🇹,1951-05-27,13,,1951,Juan Fangio 🇦🇷
1952 Belgian Grand Prix 🇧🇪,3,19,33,Ferrari 🇮🇹,1952-06-22,8,,1952,Alberto Ascari 🇮🇹
1952 British Grand Prix 🇬🇧,5,23,79,Ferrari 🇮🇹,1952-07-19,14,,1952,Alberto Ascari 🇮🇹
1952 French Grand Prix 🇫🇷,4,20,15,Ferrari 🇮🇹,1952-07-06,R,,1952,Alberto Ascari 🇮🇹
1952 German Grand Prix 🇩🇪,6,32,15,Ferrari 🇮🇹,1952-08-03,10,,1952,Alberto Ascari 🇮🇹
1952 Italian Grand Prix 🇮🇹,8,0,0,Ferrari 🇮🇹,1952-09-07,F,,1952,Alberto Ascari 🇮🇹
1953 Belgian Grand Prix 🇧🇪,4,10,35,Ferrari 🇮🇹,1953-06-21,R,,1953,Alberto Ascari 🇮🇹
1953 Dutch Grand Prix 🇳🇱,3,17,52,Ferrari 🇮🇹,1953-06-07,N,,1953,Alberto Ascari 🇮🇹
1953 French Grand Prix 🇫🇷,5,21,53,Ferrari 🇮🇹,1953-07-05,12,,1953,Mike Hawthorn 🇬🇧
1953 German Grand Prix 🇩🇪,7,25,12,Ferrari 🇮🇹,1953-08-02,R,,1953,Nino Farina 🇮🇹
1953 Italian Grand Prix 🇮🇹,9,30,7,Maserati 🇮🇹,1953-09-13,R,,1953,Juan Fangio 🇦🇷
1955 Belgian Grand Prix 🇧🇪,4,0,0,Mercedes 🇩🇪,1955-06-05,W,,1955,Juan Fangio 🇦🇷
1955 Dutch Grand Prix 🇳🇱,5,16,88,Mercedes 🇩🇪,1955-06-19,11,,1955,Juan Fangio 🇦🇷
