name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1994 Belgian Grand Prix 🇧🇪,11,7,44,Williams 🇬🇧,1994-08-28,4,+1:45.787,1994,Damon Hill 🇬🇧
1994 British Grand Prix 🇬🇧,8,7,59,Williams 🇬🇧,1994-07-10,5,,1994,Damon Hill 🇬🇧
1994 Canadian Grand Prix 🇨🇦,6,5,68,Benetton 🇮🇹,1994-06-12,5,,1994,Michael Schumacher 🇩🇪
1994 German Grand Prix 🇩🇪,9,6,17,Ferrari 🇮🇹,1994-07-31,R,,1994,Gerhard Berger 🇦🇹
1994 Hungarian Grand Prix 🇭🇺,10,3,59,Benetton 🇮🇹,1994-08-14,R,,1994,Michael Schumacher 🇩🇪
1994 Italian Grand Prix 🇮🇹,12,5,52,Williams 🇬🇧,1994-09-11,6,,1994,Damon Hill 🇬🇧
1994 Portuguese Grand Prix 🇵🇹,13,3,71,Williams 🇬🇧,1994-09-25,2,+0.603,1994,Damon Hill 🇬🇧
1994 Spanish Grand Prix 🇪🇸,5,9,32,Williams 🇬🇧,1994-05-29,R,,1994,Damon Hill 🇬🇧
1995 Argentine Grand Prix 🇦🇷,2,1,16,Williams 🇬🇧,1995-04-09,R,,1995,Damon Hill 🇬🇧
1995 Australian Grand Prix 🇦🇺,17,2,19,Williams 🇬🇧,1995-11-12,R,,1995,Damon Hill 🇬🇧
1995 Belgian Grand Prix 🇧🇪,11,5,13,Benetton 🇮🇹,1995-08-27,R,,1995,Michael Schumacher 🇩🇪
1995 Brazilian Grand Prix 🇧🇷,1,3,71,Benetton 🇮🇹,1995-03-26,2,+11.060,1995,Michael Schumacher 🇩🇪
1995 British Grand Prix 🇬🇧,8,3,61,Benetton 🇮🇹,1995-07-16,3,+23.888,1995,Johnny Herbert 🇬🇧
1995 Canadian Grand Prix 🇨🇦,6,3,1,Ferrari 🇮🇹,1995-06-11,R,,1995,Jean Alesi 🇫🇷
1995 European Grand Prix 🇩🇪,14,1,67,Benetton 🇮🇹,1995-10-01,3,+35.382,1995,Michael Schumacher 🇩🇪
1995 French Grand Prix 🇫🇷,7,3,72,Benetton 🇮🇹,1995-07-02,3,+1:02.826,1995,Michael Schumacher 🇩🇪
1995 German Grand Prix 🇩🇪,9,3,45,Benetton 🇮🇹,1995-07-30,2,+5.988,1995,Michael Schumacher 🇩🇪
1995 Hungarian Grand Prix 🇭🇺,10,2,77,Williams 🇬🇧,1995-08-13,2,+33.398,1995,Damon Hill 🇬🇧
1995 Italian Grand Prix 🇮🇹,12,1,13,Benetton 🇮🇹,1995-09-10,R,,1995,Johnny Herbert 🇬🇧
1995 Japanese Grand Prix 🇯🇵,16,6,39,Benetton 🇮🇹,1995-10-29,R,,1995,Michael Schumacher 🇩🇪
1995 Monaco Grand Prix 🇲🇨,5,3,16,Benetton 🇮🇹,1995-05-28,R,,1995,Michael Schumacher 🇩🇪
1995 Pacific Grand Prix 🇯🇵,15,1,83,Benetton 🇮🇹,1995-10-22,2,+14.920,1995,Michael Schumacher 🇩🇪
1995 Portuguese Grand Prix 🇵🇹,13,1,71,Williams 🇬🇧,1995-09-24,1,1:41:52.145,1995,David Coulthard 🇬🇧
1995 San Marino Grand Prix 🇮🇹,3,3,63,Williams 🇬🇧,1995-04-30,4,+51.890,1995,Damon Hill 🇬🇧
1995 Spanish Grand Prix 🇪🇸,4,4,54,Benetton 🇮🇹,1995-05-14,R,,1995,Michael Schumacher 🇩🇪
1996 Argentine Grand Prix 🇦🇷,3,9,72,Williams 🇬🇧,1996-04-07,7,+1:13.400,1996,Damon Hill 🇬🇧
1996 Australian Grand Prix 🇦🇺,1,13,24,Williams 🇬🇧,1996-03-10,R,,1996,Damon Hill 🇬🇧
1996 Belgian Grand Prix 🇧🇪,13,4,37,Ferrari 🇮🇹,1996-08-25,R,,1996,Michael Schumacher 🇩🇪
1996 Brazilian Grand Prix 🇧🇷,2,14,29,Williams 🇬🇧,1996-03-31,R,,1996,Damon Hill 🇬🇧
1996 British Grand Prix 🇬🇧,10,9,61,Williams 🇬🇧,1996-07-14,5,+82.507,1996,Jacques Villeneuve 🇨🇦
1996 Canadian Grand Prix 🇨🇦,8,10,69,Williams 🇬🇧,1996-06-16,4,+63.673,1996,Damon Hill 🇬🇧
1996 European Grand Prix 🇩🇪,4,6,67,Williams 🇬🇧,1996-04-28,3,+32.834,1996,Jacques Villeneuve 🇨🇦
1996 French Grand Prix 🇫🇷,9,7,71,Williams 🇬🇧,1996-06-30,6,,1996,Damon Hill 🇬🇧
1996 German Grand Prix 🇩🇪,11,7,45,Williams 🇬🇧,1996-07-28,5,+42.196,1996,Damon Hill 🇬🇧
1996 Hungarian Grand Prix 🇭🇺,12,9,23,Williams 🇬🇧,1996-08-11,R,,1996,Jacques Villeneuve 🇨🇦
1996 Italian Grand Prix 🇮🇹,14,5,1,Ferrari 🇮🇹,1996-09-08,R,,1996,Michael Schumacher 🇩🇪
1996 Japanese Grand Prix 🇯🇵,16,8,52,Williams 🇬🇧,1996-10-13,8,+85.233,1996,Damon Hill 🇬🇧
1996 Monaco Grand Prix 🇲🇨,6,5,75,Ligier 🇫🇷,1996-05-19,2,+4.828,1996,Olivier Panis 🇫🇷
1996 Portuguese Grand Prix 🇵🇹,15,8,68,Williams 🇬🇧,1996-09-22,13,,1996,Jacques Villeneuve 🇨🇦
1996 San Marino Grand Prix 🇮🇹,5,4,44,Williams 🇬🇧,1996-05-05,R,,1996,Damon Hill 🇬🇧
1996 Spanish Grand Prix 🇪🇸,7,14,0,Ferrari 🇮🇹,1996-06-02,R,,1996,Michael Schumacher 🇩🇪
1997 Argentine Grand Prix 🇦🇷,3,10,0,Williams 🇬🇧,1997-04-13,R,,1997,Jacques Villeneuve 🇨🇦
1997 Australian Grand Prix 🇦🇺,1,4,58,McLaren 🇬🇧,1997-03-09,1,1:30:28.718,1997,David Coulthard 🇬🇧
1997 Austrian Grand Prix 🇦🇹,14,10,71,Williams 🇬🇧,1997-09-21,2,+2.909,1997,Jacques Villeneuve 🇨🇦
1997 Belgian Grand Prix 🇧🇪,12,10,19,Ferrari 🇮🇹,1997-08-24,R,,1997,Michael Schumacher 🇩🇪
1997 Brazilian Grand Prix 🇧🇷,2,12,71,Williams 🇬🇧,1997-03-30,10,,1997,Jacques Villeneuve 🇨🇦
1997 British Grand Prix 🇬🇧,9,6,59,Williams 🇬🇧,1997-07-13,4,+31.229,1997,Jacques Villeneuve 🇨🇦
1997 Canadian Grand Prix 🇨🇦,7,5,54,Ferrari 🇮🇹,1997-06-15,7,+37.753,1997,Michael Schumacher 🇩🇪
1997 European Grand Prix 🇪🇸,17,6,69,McLaren 🇬🇧,1997-10-26,2,+1.654,1997,Mika Häkkinen 🇫🇮
1997 French Grand Prix 🇫🇷,8,9,71,Ferrari 🇮🇹,1997-06-29,7,,1997,Michael Schumacher 🇩🇪
1997 German Grand Prix 🇩🇪,10,8,1,Benetton 🇮🇹,1997-07-27,R,,1997,Gerhard Berger 🇦🇹
1997 Hungarian Grand Prix 🇭🇺,11,8,65,Williams 🇬🇧,1997-08-10,R,,1997,Jacques Villeneuve 🇨🇦
1997 Italian Grand Prix 🇮🇹,13,6,53,McLaren 🇬🇧,1997-09-07,1,1:17:04.609,1997,David Coulthard 🇬🇧
1997 Japanese Grand Prix 🇯🇵,16,11,52,Ferrari 🇮🇹,1997-10-12,10,,1997,Michael Schumacher 🇩🇪
1997 Luxembourg Grand Prix 🇩🇪,15,6,42,Williams 🇬🇧,1997-09-28,R,,1997,Jacques Villeneuve 🇨🇦
