name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1987 Australian Grand Prix 🇦🇺,R,21,1987-11-15T00:00:00.000Z,5,1987,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,16,17,79,,0.0
1987 Japanese Grand Prix 🇯🇵,R,22,1987-11-01T00:00:00.000Z,14,1987,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,15,18,47,,0.0
1987 Mexican Grand Prix 🇲🇽,6,23,1987-10-18T00:00:00.000Z,9,1987,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,14,24,59,,0.0
1988 Belgian Grand Prix 🇧🇪,9,23,1988-08-28T00:00:00.000Z,R,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,11,16,9,,0.0
1988 Brazilian Grand Prix 🇧🇷,R,17,1988-04-03T00:00:00.000Z,R,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,1,16,32,,0.0
1988 British Grand Prix 🇬🇧,14,23,1988-07-10T00:00:00.000Z,13,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,8,22,63,,0.0
1988 Canadian Grand Prix 🇨🇦,10,0,1988-06-12T00:00:00.000Z,F,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,5,17,0,,0.0
1988 Detroit Grand Prix 🇺🇸,R,24,1988-06-19T00:00:00.000Z,7,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,6,14,61,,0.0
1988 French Grand Prix 🇫🇷,R,19,1988-07-03T00:00:00.000Z,13,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,7,18,78,,0.0
1988 German Grand Prix 🇩🇪,R,21,1988-07-24T00:00:00.000Z,19,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,9,20,39,,0.0
1988 Hungarian Grand Prix 🇭🇺,12,17,1988-08-07T00:00:00.000Z,9,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,10,20,73,,0.0
1988 Italian Grand Prix 🇮🇹,R,25,1988-09-11T00:00:00.000Z,R,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,12,20,17,,0.0
1988 Mexican Grand Prix 🇲🇽,R,22,1988-05-29T00:00:00.000Z,9,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,4,13,64,,0.0
1988 Monaco Grand Prix 🇲🇨,R,21,1988-05-15T00:00:00.000Z,7,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,3,13,77,,0.0
1988 Portuguese Grand Prix 🇵🇹,R,15,1988-09-25T00:00:00.000Z,R,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,13,20,20,,0.0
1988 San Marino Grand Prix 🇮🇹,17,19,1988-05-01T00:00:00.000Z,12,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,2,15,58,,0.0
1988 Spanish Grand Prix 🇪🇸,14,16,1988-10-02T00:00:00.000Z,11,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,14,12,71,,0.0
1989 Australian Grand Prix 🇦🇺,F,0,1989-11-05T00:00:00.000Z,F,1989,Gabriele Tarquini 🇮🇹,AGS 🇫🇷,16,0,0,,0.0
1989 Belgian Grand Prix 🇧🇪,F,0,1989-08-27T00:00:00.000Z,F,1989,Gabriele Tarquini 🇮🇹,AGS 🇫🇷,11,0,0,,0.0
1989 Brazilian Grand Prix 🇧🇷,12,0,1989-03-26T00:00:00.000Z,F,1989,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,1,26,0,,0.0
1989 British Grand Prix 🇬🇧,F,0,1989-07-16T00:00:00.000Z,F,1989,Gabriele Tarquini 🇮🇹,AGS 🇫🇷,8,0,0,,0.0
1989 Canadian Grand Prix 🇨🇦,R,0,1989-06-18T00:00:00.000Z,F,1989,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,6,10,0,,0.0
1989 German Grand Prix 🇩🇪,F,0,1989-07-30T00:00:00.000Z,F,1989,Gabriele Tarquini 🇮🇹,AGS 🇫🇷,9,0,0,,0.0
