name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1950 Indianapolis 500 🇺🇸,3,13,133,Kurtis Kraft 🇺🇸,1950-05-30,12,,1950,Johnnie Parsons 🇺🇸
1951 Indianapolis 500 🇺🇸,2,4,180,Kurtis Kraft 🇺🇸,1951-05-30,8,,1951,Lee Wallard 🇺🇸
1952 Indianapolis 500 🇺🇸,2,6,200,Kuzma 🇺🇸,1952-05-30,4,+6:48.34,1952,Troy Ruttman 🇺🇸
1953 Indianapolis 500 🇺🇸,2,27,94,Kurtis Kraft 🇺🇸,1953-05-30,R,,1953,Bill Vukovich 🇺🇸
1953 Indianapolis 500 🇺🇸,2,9,200,Kurtis Kraft 🇺🇸,1953-05-30,3,+4:11.50,1953,Bill Vukovich 🇺🇸
1954 Indianapolis 500 🇺🇸,2,8,196,Kurtis Kraft 🇺🇸,1954-05-31,15,,1954,Bill Vukovich 🇺🇸
1954 Indianapolis 500 🇺🇸,2,11,200,Kurtis Kraft 🇺🇸,1954-05-31,4,+2:52.68,1954,Bill Vukovich 🇺🇸
1955 Indianapolis 500 🇺🇸,3,18,197,Kurtis Kraft 🇺🇸,1955-05-30,11,,1955,Bob Sweikert 🇺🇸
1959 Indianapolis 500 🇺🇸,2,12,200,Watson 🇺🇸,1959-05-30,7,+4:09.92,1959,Rodger Ward 🇺🇸
1960 Indianapolis 500 🇺🇸,3,27,200,Watson 🇺🇸,1960-05-30,12,+11:17.20,1960,Jim Rathmann 🇺🇸
