name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1953 Indianapolis 500 🇺🇸,R,21,1953-05-30,6,1953,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,7,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,R,21,1953-05-30,6,1953,Chuck Stevenson 🇺🇸,Kurtis Kraft 🇺🇸,2,7,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,R,21,1953-05-30,6,1953,Jackie Holmes 🇺🇸,Kurtis Kraft 🇺🇸,2,18,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,R,21,1953-05-30,6,1953,Johnny Thomson 🇺🇸,Kurtis Kraft 🇺🇸,2,18,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,17,21,1953-05-30,6,1953,Johnny Mantz 🇺🇸,Kurtis Kraft 🇺🇸,2,14,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,16,21,1953-05-30,6,1953,Duke Dinsmore 🇺🇸,Kurtis Kraft 🇺🇸,2,10,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,16,21,1953-05-30,6,1953,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,10,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,15,21,1953-05-30,6,1953,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,2,28,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,12,21,1953-05-30,6,1953,Bob Scott 🇺🇸,Kurtis Kraft 🇺🇸,2,19,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,7,21,1953-05-30,6,1953,Eddie Johnson 🇺🇸,Kurtis Kraft 🇺🇸,2,25,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,4,21,1953-05-30,6,1953,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,2,2,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,3,21,1953-05-30,6,1953,Duane Carter 🇺🇸,Kurtis Kraft 🇺🇸,2,9,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,R,21,1953-05-30,6,1953,Cal Niday 🇺🇸,Kurtis Kraft 🇺🇸,2,30,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,R,21,1953-05-30,6,1953,Gene Hartley 🇺🇸,Kurtis Kraft 🇺🇸,2,13,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,R,21,1953-05-30,6,1953,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,8,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,R,21,1953-05-30,6,1953,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,2,17,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,R,21,1953-05-30,6,1953,Jerry Hoyt 🇺🇸,Kurtis Kraft 🇺🇸,2,7,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,R,21,1953-05-30,6,1953,Travis Webb 🇺🇸,Kurtis Kraft 🇺🇸,2,18,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,R,21,1953-05-30,6,1953,Marshall Teague 🇺🇸,Kurtis Kraft 🇺🇸,2,22,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,17,21,1953-05-30,6,1953,Walt Faulkner 🇺🇸,Kurtis Kraft 🇺🇸,2,14,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,16,21,1953-05-30,6,1953,Rodger Ward 🇺🇸,Kurtis Kraft 🇺🇸,2,10,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,15,21,1953-05-30,6,1953,Bill Holland 🇺🇸,Kurtis Kraft 🇺🇸,2,28,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,12,21,1953-05-30,6,1953,Carl Scarborough 🇺🇸,Kurtis Kraft 🇺🇸,2,19,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,11,21,1953-05-30,6,1953,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,26,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,10,21,1953-05-30,6,1953,Jimmy Davies 🇺🇸,Kurtis Kraft 🇺🇸,2,32,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,7,21,1953-05-30,6,1953,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,2,25,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,5,21,1953-05-30,6,1953,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,4,21,1953-05-30,6,1953,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,2,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,3,21,1953-05-30,6,1953,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,9,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,2,21,1953-05-30,6,1953,Art Cross 🇺🇸,Kurtis Kraft 🇺🇸,2,12,200,+8:10.21,0.0
1953 Indianapolis 500 🇺🇸,1,21,1953-05-30,6,1953,Bill Vukovich 🇺🇸,Kurtis Kraft 🇺🇸,2,1,200,+8:10.21,0.0
1954 Indianapolis 500 🇺🇸,15,2,1954-05-31,R,1954,Tony Bettenhausen 🇺🇸,Kurtis Kraft 🇺🇸,2,8,111,,0.0
1954 Indianapolis 500 🇺🇸,R,2,1954-05-31,R,1954,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,10,111,,0.0
1954 Indianapolis 500 🇺🇸,R,2,1954-05-31,R,1954,Pat O'Connor 🇺🇸,Kurtis Kraft 🇺🇸,2,12,111,,0.0
1954 Indianapolis 500 🇺🇸,R,4,1954-05-31,R,1954,Pat Flaherty 🇺🇸,Nichels 🇺🇸,2,28,165,,0.0
1954 Indianapolis 500 🇺🇸,R,4,1954-05-31,R,1954,Marshall Teague 🇺🇸,Nichels 🇺🇸,2,17,165,,0.0
1954 Indianapolis 500 🇺🇸,R,4,1954-05-31,R,1954,Jim Rathmann 🇺🇸,Nichels 🇺🇸,2,10,165,,0.0
1954 Indianapolis 500 🇺🇸,R,4,1954-05-31,R,1954,Jimmy Davies 🇺🇸,Nichels 🇺🇸,2,10,165,,0.0
1954 Indianapolis 500 🇺🇸,19,4,1954-05-31,R,1954,George Fonder 🇺🇸,Nichels 🇺🇸,2,33,165,,0.0
1954 Indianapolis 500 🇺🇸,15,4,1954-05-31,R,1954,Tony Bettenhausen 🇺🇸,Nichels 🇺🇸,2,8,165,,0.0
1954 Indianapolis 500 🇺🇸,15,4,1954-05-31,R,1954,Jimmy Jackson 🇺🇸,Nichels 🇺🇸,2,8,165,,0.0
1954 Indianapolis 500 🇺🇸,15,4,1954-05-31,R,1954,Marshall Teague 🇺🇸,Nichels 🇺🇸,2,8,165,,0.0
1954 Indianapolis 500 🇺🇸,3,4,1954-05-31,R,1954,Jack McGrath 🇺🇸,Nichels 🇺🇸,2,1,165,,0.0
1954 Indianapolis 500 🇺🇸,15,2,1954-05-31,R,1954,Jimmy Jackson 🇺🇸,Kurtis Kraft 🇺🇸,2,8,111,,0.0
1954 Indianapolis 500 🇺🇸,9,4,1954-05-31,R,1954,Larry Crockett 🇺🇸,Nichels 🇺🇸,2,25,165,,0.0
1954 Indianapolis 500 🇺🇸,4,4,1954-05-31,R,1954,Troy Ruttman 🇺🇸,Nichels 🇺🇸,2,11,165,,0.0
1954 Indianapolis 500 🇺🇸,R,2,1954-05-31,R,1954,Johnny Thomson 🇺🇸,Kurtis Kraft 🇺🇸,2,4,111,,0.0
1954 Indianapolis 500 🇺🇸,R,4,1954-05-31,R,1954,Andy Linden 🇺🇸,Nichels 🇺🇸,2,4,165,,0.0
1954 Indianapolis 500 🇺🇸,15,4,1954-05-31,R,1954,Duane Carter 🇺🇸,Nichels 🇺🇸,2,8,165,,0.0
1954 Indianapolis 500 🇺🇸,11,4,1954-05-31,R,1954,Art Cross 🇺🇸,Nichels 🇺🇸,2,27,165,,0.0
1954 Indianapolis 500 🇺🇸,8,4,1954-05-31,R,1954,Paul Russo 🇺🇸,Nichels 🇺🇸,2,32,165,,0.0
1954 Indianapolis 500 🇺🇸,5,4,1954-05-31,R,1954,Mike Nazaruk 🇺🇸,Nichels 🇺🇸,2,14,165,,0.0
1954 Indianapolis 500 🇺🇸,11,4,1954-05-31,R,1954,Sam Hanks 🇺🇸,Nichels 🇺🇸,2,27,165,,0.0
1954 Indianapolis 500 🇺🇸,R,2,1954-05-31,R,1954,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,4,111,,0.0
1954 Indianapolis 500 🇺🇸,R,2,1954-05-31,R,1954,Marshall Teague 🇺🇸,Kurtis Kraft 🇺🇸,2,17,111,,0.0
1954 Indianapolis 500 🇺🇸,19,2,1954-05-31,R,1954,George Fonder 🇺🇸,Kurtis Kraft 🇺🇸,2,33,111,,0.0
1954 Indianapolis 500 🇺🇸,11,4,1954-05-31,R,1954,Andy Linden 🇺🇸,Nichels 🇺🇸,2,27,165,,0.0
1954 Indianapolis 500 🇺🇸,16,4,1954-05-31,R,1954,Ernie McCoy 🇺🇸,Nichels 🇺🇸,2,20,165,,0.0
1954 Indianapolis 500 🇺🇸,R,4,1954-05-31,R,1954,Tony Bettenhausen 🇺🇸,Nichels 🇺🇸,2,21,165,,0.0
1954 Indianapolis 500 🇺🇸,14,4,1954-05-31,R,1954,Bob Sweikert 🇺🇸,Nichels 🇺🇸,2,9,165,,0.0
1954 Indianapolis 500 🇺🇸,R,4,1954-05-31,R,1954,Jim Rathmann 🇺🇸,Nichels 🇺🇸,2,28,165,,0.0
1954 Indianapolis 500 🇺🇸,8,4,1954-05-31,R,1954,Jerry Hoyt 🇺🇸,Nichels 🇺🇸,2,32,165,,0.0
1954 Indianapolis 500 🇺🇸,R,4,1954-05-31,R,1954,Jerry Hoyt 🇺🇸,Nichels 🇺🇸,2,30,165,,0.0
1954 Indianapolis 500 🇺🇸,6,4,1954-05-31,R,1954,Fred Agabashian 🇺🇸,Nichels 🇺🇸,2,24,165,,0.0
1954 Indianapolis 500 🇺🇸,23,4,1954-05-31,R,1954,Gene Hartley 🇺🇸,Nichels 🇺🇸,2,17,165,,0.0
1954 Indianapolis 500 🇺🇸,4,4,1954-05-31,R,1954,Duane Carter 🇺🇸,Nichels 🇺🇸,2,11,165,,0.0
1954 Indianapolis 500 🇺🇸,R,4,1954-05-31,R,1954,Pat O'Connor 🇺🇸,Nichels 🇺🇸,2,12,165,,0.0
1954 Indianapolis 500 🇺🇸,1,4,1954-05-31,R,1954,Bill Vukovich 🇺🇸,Nichels 🇺🇸,2,19,165,,0.0
1954 Indianapolis 500 🇺🇸,R,4,1954-05-31,R,1954,Bill Homeier 🇺🇸,Nichels 🇺🇸,2,18,165,,0.0
1954 Indianapolis 500 🇺🇸,R,2,1954-05-31,R,1954,Pat Flaherty 🇺🇸,Kurtis Kraft 🇺🇸,2,28,111,,0.0
1954 Indianapolis 500 🇺🇸,R,2,1954-05-31,R,1954,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,2,10,111,,0.0
1954 Indianapolis 500 🇺🇸,R,2,1954-05-31,R,1954,Jimmy Davies 🇺🇸,Kurtis Kraft 🇺🇸,2,10,111,,0.0
1954 Indianapolis 500 🇺🇸,R,4,1954-05-31,R,1954,Johnnie Parsons 🇺🇸,Nichels 🇺🇸,2,15,165,,0.0
1954 Indianapolis 500 🇺🇸,11,4,1954-05-31,R,1954,Johnnie Parsons 🇺🇸,Nichels 🇺🇸,2,27,165,,0.0
1954 Indianapolis 500 🇺🇸,11,4,1954-05-31,R,1954,Jimmy Davies 🇺🇸,Nichels 🇺🇸,2,27,165,,0.0
1954 Indianapolis 500 🇺🇸,19,4,1954-05-31,R,1954,Frank Armi 🇺🇸,Nichels 🇺🇸,2,33,165,,0.0
1954 Indianapolis 500 🇺🇸,1,2,1954-05-31,R,1954,Bill Vukovich 🇺🇸,Kurtis Kraft 🇺🇸,2,19,111,,0.0
1954 Indianapolis 500 🇺🇸,3,2,1954-05-31,R,1954,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,1,111,,0.0
1954 Indianapolis 500 🇺🇸,4,2,1954-05-31,R,1954,Troy Ruttman 🇺🇸,Kurtis Kraft 🇺🇸,2,11,111,,0.0
1954 Indianapolis 500 🇺🇸,5,2,1954-05-31,R,1954,Mike Nazaruk 🇺🇸,Kurtis Kraft 🇺🇸,2,14,111,,0.0
1954 Indianapolis 500 🇺🇸,6,2,1954-05-31,R,1954,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,24,111,,0.0
1954 Indianapolis 500 🇺🇸,8,2,1954-05-31,R,1954,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,2,32,111,,0.0
1954 Indianapolis 500 🇺🇸,9,2,1954-05-31,R,1954,Larry Crockett 🇺🇸,Kurtis Kraft 🇺🇸,2,25,111,,0.0
1954 Indianapolis 500 🇺🇸,11,2,1954-05-31,R,1954,Art Cross 🇺🇸,Kurtis Kraft 🇺🇸,2,27,111,,0.0
1954 Indianapolis 500 🇺🇸,14,2,1954-05-31,R,1954,Bob Sweikert 🇺🇸,Kurtis Kraft 🇺🇸,2,9,111,,0.0
1954 Indianapolis 500 🇺🇸,15,2,1954-05-31,R,1954,Duane Carter 🇺🇸,Kurtis Kraft 🇺🇸,2,8,111,,0.0
1954 Indianapolis 500 🇺🇸,16,2,1954-05-31,R,1954,Ernie McCoy 🇺🇸,Kurtis Kraft 🇺🇸,2,20,111,,0.0
1954 Indianapolis 500 🇺🇸,19,2,1954-05-31,R,1954,Frank Armi 🇺🇸,Kurtis Kraft 🇺🇸,2,33,111,,0.0
1954 Indianapolis 500 🇺🇸,R,4,1954-05-31,R,1954,Johnny Thomson 🇺🇸,Nichels 🇺🇸,2,4,165,,0.0
1954 Indianapolis 500 🇺🇸,R,4,1954-05-31,R,1954,Sam Hanks 🇺🇸,Nichels 🇺🇸,2,10,165,,0.0
1954 Indianapolis 500 🇺🇸,23,2,1954-05-31,R,1954,Gene Hartley 🇺🇸,Kurtis Kraft 🇺🇸,2,17,111,,0.0
