name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1995 Argentine Grand Prix 🇦🇷,2,25,63,Williams 🇬🇧,1995-04-09,N,,1995,Damon Hill 🇬🇧
1995 Australian Grand Prix 🇦🇺,17,21,77,Williams 🇬🇧,1995-11-12,7,,1995,Damon Hill 🇬🇧
1995 Belgian Grand Prix 🇧🇪,11,24,42,Benetton 🇮🇹,1995-08-27,13,,1995,Michael Schumacher 🇩🇪
1995 Brazilian Grand Prix 🇧🇷,1,25,64,Benetton 🇮🇹,1995-03-26,10,,1995,Michael Schumacher 🇩🇪
1995 British Grand Prix 🇬🇧,8,20,13,Benetton 🇮🇹,1995-07-16,R,,1995,Johnny Herbert 🇬🇧
1995 Canadian Grand Prix 🇨🇦,6,24,26,Ferrari 🇮🇹,1995-06-11,R,,1995,Jean Alesi 🇫🇷
1995 European Grand Prix 🇩🇪,14,22,62,Benetton 🇮🇹,1995-10-01,13,,1995,Michael Schumacher 🇩🇪
1995 French Grand Prix 🇫🇷,7,23,0,Benetton 🇮🇹,1995-07-02,R,,1995,Michael Schumacher 🇩🇪
1995 German Grand Prix 🇩🇪,9,21,8,Benetton 🇮🇹,1995-07-30,R,,1995,Michael Schumacher 🇩🇪
1995 Hungarian Grand Prix 🇭🇺,10,23,32,Williams 🇬🇧,1995-08-13,R,,1995,Damon Hill 🇬🇧
1995 Italian Grand Prix 🇮🇹,12,23,50,Benetton 🇮🇹,1995-09-10,9,,1995,Johnny Herbert 🇬🇧
1995 Japanese Grand Prix 🇯🇵,16,20,32,Benetton 🇮🇹,1995-10-29,R,,1995,Michael Schumacher 🇩🇪
1995 Monaco Grand Prix 🇲🇨,5,22,72,Benetton 🇮🇹,1995-05-28,10,,1995,Michael Schumacher 🇩🇪
1995 Pacific Grand Prix 🇯🇵,15,21,77,Benetton 🇮🇹,1995-10-22,17,,1995,Michael Schumacher 🇩🇪
1995 Portuguese Grand Prix 🇵🇹,13,22,66,Williams 🇬🇧,1995-09-24,16,,1995,David Coulthard 🇬🇧
