name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1961 German Grand Prix 🇩🇪,5,0,1961-08-06,W,1961,John Surtees 🇬🇧,Cooper-Climax 🇬🇧,6,10,0,,0.0
1961 German Grand Prix 🇩🇪,6,0,1961-08-06,W,1961,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,6,12,0,,0.0
1961 German Grand Prix 🇩🇪,9,0,1961-08-06,W,1961,Jackie Lewis 🇬🇧,Cooper-Climax 🇬🇧,6,18,0,,0.0
1961 German Grand Prix 🇩🇪,10,0,1961-08-06,W,1961,Roy Salvadori 🇬🇧,Cooper-Climax 🇬🇧,6,15,0,,0.0
1961 German Grand Prix 🇩🇪,12,0,1961-08-06,W,1961,Ian Burgess 🇬🇧,Cooper-Climax 🇬🇧,6,24,0,,0.0
1961 German Grand Prix 🇩🇪,N,0,1961-08-06,W,1961,Bernard Collomb 🇫🇷,Cooper-Climax 🇬🇧,6,26,0,,0.0
1961 German Grand Prix 🇩🇪,R,0,1961-08-06,W,1961,Jack Brabham 🇦🇺,Cooper-Climax 🇬🇧,6,2,0,,0.0
1961 German Grand Prix 🇩🇪,W,0,1961-08-06,W,1961,Masten Gregory 🇺🇸,Cooper-Climax 🇬🇧,6,0,0,,0.0
1961 German Grand Prix 🇩🇪,W,0,1961-08-06,W,1961,Renato Pirocchi 🇮🇹,Cooper-Climax 🇬🇧,6,0,0,,0.0
1961 German Grand Prix 🇩🇪,W,0,1961-08-06,W,1961,John Campbell-Jones 🇬🇧,Cooper-Climax 🇬🇧,6,0,0,,0.0
