name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1986 Australian Grand Prix 🇦🇺,R,14,1986-10-26,6,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,16,3,80,,1.0
1986 Austrian Grand Prix 🇦🇹,R,15,1986-08-17,R,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,12,8,9,,0.0
1986 Belgian Grand Prix 🇧🇪,2,13,1986-05-25,R,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,5,4,7,,0.0
1986 Brazilian Grand Prix 🇧🇷,2,11,1986-03-23,9,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,1,1,58,,0.0
1986 British Grand Prix 🇬🇧,R,10,1986-07-13,7,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,9,3,72,,0.0
1986 Canadian Grand Prix 🇨🇦,5,16,1986-06-15,R,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,6,2,28,,0.0
1986 Detroit Grand Prix 🇺🇸,1,14,1986-06-22,7,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,7,1,61,,0.0
1986 French Grand Prix 🇫🇷,R,12,1986-07-06,R,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,8,1,56,,0.0
1986 German Grand Prix 🇩🇪,2,12,1986-07-27,R,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,10,3,17,,0.0
1986 Hungarian Grand Prix 🇭🇺,2,8,1986-08-10,5,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,11,1,74,,2.0
1986 Italian Grand Prix 🇮🇹,R,17,1986-09-07,R,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,13,5,18,,0.0
1986 Mexican Grand Prix 🇲🇽,3,17,1986-10-12,R,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,15,1,53,,0.0
1986 Monaco Grand Prix 🇲🇨,3,0,1986-05-11,F,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,4,3,0,,0.0
1986 Portuguese Grand Prix 🇵🇹,4,15,1986-09-21,9,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,14,1,68,,0.0
1986 San Marino Grand Prix 🇮🇹,R,17,1986-04-27,R,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,3,1,8,,0.0
1986 Spanish Grand Prix 🇪🇸,1,10,1986-04-13,R,1986,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,2,1,52,,0.0
