name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2014 Australian Grand Prix 🇦🇺,R,19,2014-03-16T00:00:00.000Z,R,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,1,14,27,,0.0
2014 Austrian Grand Prix 🇦🇹,16,20,2014-06-22T00:00:00.000Z,18,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,8,19,69,,0.0
2014 Bahrain Grand Prix 🇧🇭,15,20,2014-04-06T00:00:00.000Z,R,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,3,18,33,,0.0
2014 Belgian Grand Prix 🇧🇪,R,22,2014-08-24T00:00:00.000Z,17,2014,André Lotterer 🇩🇪,Caterham 🇲🇾,12,21,43,,0.0
2014 British Grand Prix 🇬🇧,15,21,2014-07-06T00:00:00.000Z,R,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,9,22,11,,0.0
2014 Canadian Grand Prix 🇨🇦,R,20,2014-06-08T00:00:00.000Z,R,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,7,21,7,,0.0
2014 Chinese Grand Prix 🇨🇳,18,20,2014-04-20T00:00:00.000Z,20,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,4,18,52,,0.0
2014 German Grand Prix 🇩🇪,16,22,2014-07-20T00:00:00.000Z,18,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,10,19,65,,0.0
2014 Hungarian Grand Prix 🇭🇺,R,19,2014-07-27T00:00:00.000Z,R,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,11,17,8,,0.0
2014 Italian Grand Prix 🇮🇹,17,22,2014-09-07T00:00:00.000Z,20,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,13,18,51,,0.0
2014 Japanese Grand Prix 🇯🇵,19,17,2014-10-05T00:00:00.000Z,17,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,15,19,43,,0.0
2014 Malaysian Grand Prix 🇲🇾,13,22,2014-03-30T00:00:00.000Z,14,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,2,20,54,,0.0
2014 Monaco Grand Prix 🇲🇨,13,22,2014-05-25T00:00:00.000Z,11,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,6,20,77,,0.0
2014 Russian Grand Prix 🇷🇺,R,16,2014-10-12T00:00:00.000Z,19,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,16,19,51,,0.0
2014 Singapore Grand Prix 🇸🇬,W,22,2014-09-21T00:00:00.000Z,15,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,14,20,60,+1:34.188,0.0
2014 Spanish Grand Prix 🇪🇸,R,19,2014-05-11T00:00:00.000Z,20,2014,Kamui Kobayashi 🇯🇵,Caterham 🇲🇾,5,20,64,,0.0
2015 Abu Dhabi Grand Prix 🇦🇪,15,17,2015-11-29T00:00:00.000Z,14,2015,Felipe Nasr 🇧🇷,Sauber 🇨🇭,19,14,54,,0.0
2015 Australian Grand Prix 🇦🇺,5,15,2015-03-15T00:00:00.000Z,8,2015,Felipe Nasr 🇧🇷,Sauber 🇨🇭,1,10,57,,4.0
2015 Austrian Grand Prix 🇦🇹,11,11,2015-06-21T00:00:00.000Z,13,2015,Felipe Nasr 🇧🇷,Sauber 🇨🇭,8,8,69,,0.0
2015 Bahrain Grand Prix 🇧🇭,12,13,2015-04-19T00:00:00.000Z,14,2015,Felipe Nasr 🇧🇷,Sauber 🇨🇭,4,12,56,,0.0
2015 Belgian Grand Prix 🇧🇪,11,13,2015-08-23T00:00:00.000Z,10,2015,Felipe Nasr 🇧🇷,Sauber 🇨🇭,11,14,43,+1:31.234,1.0
