name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2003 Australian Grand Prix 🇦🇺,R,17,2003-03-09T00:00:00.000Z,R,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,1,13,6,,0.0
2003 Austrian Grand Prix 🇦🇹,R,16,2003-05-18T00:00:00.000Z,11,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,6,9,68,,0.0
2003 Brazilian Grand Prix 🇧🇷,1,16,2003-04-06T00:00:00.000Z,R,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,3,8,18,,0.0
2003 British Grand Prix 🇬🇧,R,17,2003-07-20T00:00:00.000Z,13,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,11,15,59,,0.0
2003 Canadian Grand Prix 🇨🇦,R,19,2003-06-15T00:00:00.000Z,R,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,8,16,20,,0.0
2003 European Grand Prix 🇩🇪,12,14,2003-06-29T00:00:00.000Z,11,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,9,13,58,,0.0
2003 French Grand Prix 🇫🇷,R,18,2003-07-06T00:00:00.000Z,15,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,10,17,67,,0.0
2003 German Grand Prix 🇩🇪,13,18,2003-08-03T00:00:00.000Z,R,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,12,13,0,,0.0
2003 Japanese Grand Prix 🇯🇵,R,15,2003-10-12T00:00:00.000Z,14,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,16,16,51,,0.0
2003 Malaysian Grand Prix 🇲🇾,R,20,2003-03-23T00:00:00.000Z,10,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,2,14,55,,0.0
2003 Monaco Grand Prix 🇲🇨,10,16,2003-06-01T00:00:00.000Z,12,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,7,12,76,,0.0
2003 San Marino Grand Prix 🇮🇹,15,19,2003-04-20T00:00:00.000Z,R,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,4,17,51,,0.0
2003 Spanish Grand Prix 🇪🇸,R,15,2003-05-04T00:00:00.000Z,8,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,5,17,63,,1.0
2003 United States Grand Prix 🇺🇸,7,18,2003-09-28T00:00:00.000Z,R,2003,Giancarlo Fisichella 🇮🇹,Jordan 🇮🇪,15,17,48,,0.0
