name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1950 Indianapolis 500 🇺🇸,5,11,1950-05-30,10,1950,Tony Bettenhausen 🇺🇸,Kurtis Kraft 🇺🇸,3,9,135,,0.0
1950 Indianapolis 500 🇺🇸,R,11,1950-05-30,10,1950,Duke Dinsmore 🇺🇸,Kurtis Kraft 🇺🇸,3,7,135,,0.0
1950 Indianapolis 500 🇺🇸,R,11,1950-05-30,10,1950,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,3,25,135,,0.0
1950 Indianapolis 500 🇺🇸,R,11,1950-05-30,10,1950,Jimmy Jackson 🇺🇸,Kurtis Kraft 🇺🇸,3,32,135,,0.0
1950 Indianapolis 500 🇺🇸,R,11,1950-05-30,10,1950,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,3,2,135,,0.0
1950 Indianapolis 500 🇺🇸,21,11,1950-05-30,10,1950,Jerry Hoyt 🇺🇸,Kurtis Kraft 🇺🇸,3,15,135,,0.0
1950 Indianapolis 500 🇺🇸,19,11,1950-05-30,10,1950,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,3,20,135,,0.0
1950 Indianapolis 500 🇺🇸,18,11,1950-05-30,10,1950,Johnny McDowell 🇺🇸,Kurtis Kraft 🇺🇸,3,33,135,,0.0
1950 Indianapolis 500 🇺🇸,14,11,1950-05-30,10,1950,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,3,6,135,,0.0
1950 Indianapolis 500 🇺🇸,13,11,1950-05-30,10,1950,Mack Hellings 🇺🇸,Kurtis Kraft 🇺🇸,3,26,135,,0.0
1950 Indianapolis 500 🇺🇸,7,11,1950-05-30,10,1950,Walt Faulkner 🇺🇸,Kurtis Kraft 🇺🇸,3,1,135,,0.0
1950 Indianapolis 500 🇺🇸,5,11,1950-05-30,10,1950,Joie Chitwood 🇺🇸,Kurtis Kraft 🇺🇸,3,9,135,,0.0
1950 Indianapolis 500 🇺🇸,4,11,1950-05-30,10,1950,Cecil Green 🇺🇸,Kurtis Kraft 🇺🇸,3,12,135,,0.0
1950 Indianapolis 500 🇺🇸,1,11,1950-05-30,10,1950,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,3,5,135,,0.0
1953 Indianapolis 500 🇺🇸,9,24,1953-05-30,R,1953,Gene Hartley 🇺🇸,Kuzma 🇺🇸,2,6,115,,0.0
1953 Indianapolis 500 🇺🇸,9,24,1953-05-30,R,1953,Chuck Stevenson 🇺🇸,Kuzma 🇺🇸,2,6,115,,0.0
1953 Indianapolis 500 🇺🇸,R,24,1953-05-30,R,1953,Chuck Stevenson 🇺🇸,Kuzma 🇺🇸,2,16,115,,0.0
1953 Indianapolis 500 🇺🇸,R,24,1953-05-30,R,1953,Bob Sweikert 🇺🇸,Kuzma 🇺🇸,2,29,115,,0.0
1953 Indianapolis 500 🇺🇸,13,24,1953-05-30,R,1953,Manny Ayulo 🇺🇸,Kuzma 🇺🇸,2,4,115,,0.0
1953 Indianapolis 500 🇺🇸,9,24,1953-05-30,R,1953,Tony Bettenhausen 🇺🇸,Kuzma 🇺🇸,2,6,115,,0.0
1954 Indianapolis 500 🇺🇸,11,28,1954-05-31,R,1954,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,27,110,,0.0
1954 Indianapolis 500 🇺🇸,R,28,1954-05-31,R,1954,Marshall Teague 🇺🇸,Kurtis Kraft 🇺🇸,2,17,110,,0.0
