name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1957 Indianapolis 500 🇺🇸,5,21,1957-05-30T00:00:00.000Z,17,1957,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,3,12,192,,0.0
1957 Indianapolis 500 🇺🇸,R,21,1957-05-30T00:00:00.000Z,17,1957,Elmer George 🇺🇸,Kurtis Kraft 🇺🇸,3,9,192,,0.0
1957 Indianapolis 500 🇺🇸,R,21,1957-05-30T00:00:00.000Z,17,1957,Eddie Russo 🇺🇸,Kurtis Kraft 🇺🇸,3,26,192,,0.0
1957 Indianapolis 500 🇺🇸,R,21,1957-05-30T00:00:00.000Z,17,1957,Ed Elisian 🇺🇸,Kurtis Kraft 🇺🇸,3,7,192,,0.0
1957 Indianapolis 500 🇺🇸,R,21,1957-05-30T00:00:00.000Z,17,1957,Jimmy Daywalt 🇺🇸,Kurtis Kraft 🇺🇸,3,29,192,,0.0
1957 Indianapolis 500 🇺🇸,R,21,1957-05-30T00:00:00.000Z,17,1957,Al Keller 🇺🇸,Kurtis Kraft 🇺🇸,3,8,192,,0.0
1957 Indianapolis 500 🇺🇸,R,21,1957-05-30T00:00:00.000Z,17,1957,Bill Cheesbourg 🇺🇸,Kurtis Kraft 🇺🇸,3,23,192,,0.0
1957 Indianapolis 500 🇺🇸,R,21,1957-05-30T00:00:00.000Z,17,1957,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,3,4,192,,0.0
1957 Indianapolis 500 🇺🇸,R,21,1957-05-30T00:00:00.000Z,17,1957,Johnnie Tolan 🇺🇸,Kurtis Kraft 🇺🇸,3,31,192,,0.0
1957 Indianapolis 500 🇺🇸,R,21,1957-05-30T00:00:00.000Z,17,1957,Don Edmunds 🇺🇸,Kurtis Kraft 🇺🇸,3,27,192,,0.0
1957 Indianapolis 500 🇺🇸,R,21,1957-05-30T00:00:00.000Z,17,1957,Jimmy Reece 🇺🇸,Kurtis Kraft 🇺🇸,3,6,192,,0.0
1957 Indianapolis 500 🇺🇸,16,21,1957-05-30T00:00:00.000Z,17,1957,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,3,17,192,,0.0
1957 Indianapolis 500 🇺🇸,15,21,1957-05-30T00:00:00.000Z,17,1957,Tony Bettenhausen 🇺🇸,Kurtis Kraft 🇺🇸,3,22,192,,0.0
1957 Indianapolis 500 🇺🇸,13,21,1957-05-30T00:00:00.000Z,17,1957,Bob Christie 🇺🇸,Kurtis Kraft 🇺🇸,3,33,192,,0.0
1957 Indianapolis 500 🇺🇸,11,21,1957-05-30T00:00:00.000Z,17,1957,Jack Turner 🇺🇸,Kurtis Kraft 🇺🇸,3,19,192,,0.0
