name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1952 Belgian Grand Prix 🇧🇪,3,8,34,Ferrari 🇮🇹,1952-06-22,5,,1952,Alberto Ascari 🇮🇹
1952 Dutch Grand Prix 🇳🇱,7,11,15,Ferrari 🇮🇹,1952-08-17,R,,1952,Alberto Ascari 🇮🇹
1952 German Grand Prix 🇩🇪,6,13,1,Ferrari 🇮🇹,1952-08-03,R,,1952,Alberto Ascari 🇮🇹
1953 Belgian Grand Prix 🇧🇪,4,11,30,Ferrari 🇮🇹,1953-06-21,10,,1953,Alberto Ascari 🇮🇹
1953 Swiss Grand Prix 🇨🇭,8,16,1,Ferrari 🇮🇹,1953-08-23,R,,1953,Alberto Ascari 🇮🇹
1954 Belgian Grand Prix 🇧🇪,3,10,14,Maserati 🇮🇹,1954-06-20,R,,1954,Juan Fangio 🇦🇷
1954 French Grand Prix 🇫🇷,4,19,50,Mercedes 🇩🇪,1954-07-04,R,,1954,Juan Fangio 🇦🇷
1954 German Grand Prix 🇩🇪,6,4,4,Mercedes 🇩🇪,1954-08-01,R,,1954,Juan Fangio 🇦🇷
1955 Belgian Grand Prix 🇧🇪,4,8,36,Mercedes 🇩🇪,1955-06-05,4,+3:25.5,1955,Juan Fangio 🇦🇷
1955 Monaco Grand Prix 🇲🇨,2,15,86,Ferrari 🇮🇹,1955-05-22,8,,1955,Maurice Trintignant 🇫🇷
1956 Belgian Grand Prix 🇧🇪,4,8,36,Ferrari 🇮🇹,1956-06-03,2,+1:51.3,1956,Peter Collins 🇬🇧
