name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1978 Canadian Grand Prix 🇨🇦,R,0,1978-10-08T00:00:00.000Z,F,1978,René Arnoux 🇫🇷,Surtees 🇬🇧,16,16,0,,0.0
1981 Argentine Grand Prix 🇦🇷,F,0,1981-04-12T00:00:00.000Z,F,1981,Miguel Ángel Guerra 🇦🇷,Osella 🇮🇹,3,0,0,,0.0
1981 Austrian Grand Prix 🇦🇹,10,0,1981-08-16T00:00:00.000Z,F,1981,Jean-Pierre Jarier 🇫🇷,Osella 🇮🇹,11,14,0,,0.0
1981 Belgian Grand Prix 🇧🇪,13,22,1981-05-17T00:00:00.000Z,R,1981,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,5,24,22,,0.0
1981 Brazilian Grand Prix 🇧🇷,F,0,1981-03-29T00:00:00.000Z,F,1981,Miguel Ángel Guerra 🇦🇷,Osella 🇮🇹,2,0,0,,0.0
1981 Brazilian Grand Prix 🇧🇷,F,0,1981-03-29T00:00:00.000Z,F,1981,Eliseo Salazar 🇨🇱,Osella 🇮🇹,2,0,0,,0.0
1981 British Grand Prix 🇬🇧,8,0,1981-07-18T00:00:00.000Z,F,1981,Jean-Pierre Jarier 🇫🇷,Osella 🇮🇹,9,20,0,,0.0
1981 Caesars Palace Grand Prix 🇺🇸,R,0,1981-10-17T00:00:00.000Z,F,1981,Jean-Pierre Jarier 🇫🇷,Osella 🇮🇹,15,21,0,,0.0
1981 Canadian Grand Prix 🇨🇦,R,0,1981-09-27T00:00:00.000Z,F,1981,Jean-Pierre Jarier 🇫🇷,Osella 🇮🇹,14,23,0,,0.0
1981 Dutch Grand Prix 🇳🇱,R,0,1981-08-30T00:00:00.000Z,F,1981,Jean-Pierre Jarier 🇫🇷,Osella 🇮🇹,12,18,0,,0.0
1981 German Grand Prix 🇩🇪,8,0,1981-08-02T00:00:00.000Z,F,1981,Jean-Pierre Jarier 🇫🇷,Osella 🇮🇹,10,17,0,,0.0
1981 Italian Grand Prix 🇮🇹,9,0,1981-09-13T00:00:00.000Z,F,1981,Jean-Pierre Jarier 🇫🇷,Osella 🇮🇹,13,18,0,,0.0
1981 Monaco Grand Prix 🇲🇨,F,0,1981-05-31T00:00:00.000Z,F,1981,Piercarlo Ghinzani 🇮🇹,Osella 🇮🇹,6,0,0,,0.0
1981 San Marino Grand Prix 🇮🇹,R,20,1981-05-03T00:00:00.000Z,R,1981,Miguel Ángel Guerra 🇦🇷,Osella 🇮🇹,4,22,31,,0.0
1981 Spanish Grand Prix 🇪🇸,F,0,1981-06-21T00:00:00.000Z,F,1981,Giorgio Francia 🇮🇹,Osella 🇮🇹,7,0,0,,0.0
1981 United States Grand Prix West 🇺🇸,F,24,1981-03-15T00:00:00.000Z,R,1981,Miguel Ángel Guerra 🇦🇷,Osella 🇮🇹,1,0,26,,0.0
