name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1989 Australian Grand Prix 🇦🇺,F,0,1989-11-05T00:00:00.000Z,F,1989,Pierre-Henri Raphanel 🇫🇷,Rial 🇩🇪,16,0,0,,0.0
1989 Belgian Grand Prix 🇧🇪,8,23,1989-08-27T00:00:00.000Z,R,1989,Stefan Johansson 🇸🇪,Onyx 🇬🇧,11,15,21,,0.0
1989 Brazilian Grand Prix 🇧🇷,F,0,1989-03-26T00:00:00.000Z,F,1989,Stefan Johansson 🇸🇪,Onyx 🇬🇧,1,0,0,,0.0
1989 British Grand Prix 🇬🇧,F,21,1989-07-16T00:00:00.000Z,12,1989,Stefan Johansson 🇸🇪,Onyx 🇬🇧,8,0,62,,0.0
1989 Canadian Grand Prix 🇨🇦,D,0,1989-06-18T00:00:00.000Z,F,1989,Stefan Johansson 🇸🇪,Onyx 🇬🇧,6,18,0,,0.0
1989 French Grand Prix 🇫🇷,5,11,1989-07-09T00:00:00.000Z,13,1989,Stefan Johansson 🇸🇪,Onyx 🇬🇧,7,13,76,,0.0
1989 German Grand Prix 🇩🇪,R,0,1989-07-30T00:00:00.000Z,F,1989,Stefan Johansson 🇸🇪,Onyx 🇬🇧,9,24,0,,0.0
1989 Hungarian Grand Prix 🇭🇺,R,21,1989-08-13T00:00:00.000Z,R,1989,Stefan Johansson 🇸🇪,Onyx 🇬🇧,10,24,38,,0.0
1989 Italian Grand Prix 🇮🇹,F,22,1989-09-10T00:00:00.000Z,R,1989,Stefan Johansson 🇸🇪,Onyx 🇬🇧,12,0,38,,0.0
1989 Japanese Grand Prix 🇯🇵,F,0,1989-10-22T00:00:00.000Z,F,1989,Pierre-Henri Raphanel 🇫🇷,Rial 🇩🇪,15,0,0,,0.0
1989 Mexican Grand Prix 🇲🇽,R,0,1989-05-28T00:00:00.000Z,F,1989,Stefan Johansson 🇸🇪,Onyx 🇬🇧,4,21,0,,0.0
1989 Monaco Grand Prix 🇲🇨,F,0,1989-05-07T00:00:00.000Z,F,1989,Stefan Johansson 🇸🇪,Onyx 🇬🇧,3,0,0,,0.0
1989 San Marino Grand Prix 🇮🇹,F,0,1989-04-23T00:00:00.000Z,F,1989,Stefan Johansson 🇸🇪,Onyx 🇬🇧,2,0,0,,0.0
1989 United States Grand Prix 🇺🇸,R,0,1989-06-04T00:00:00.000Z,F,1989,Stefan Johansson 🇸🇪,Onyx 🇬🇧,5,19,0,,0.0
1991 Australian Grand Prix 🇦🇺,F,0,1991-11-03T00:00:00.000Z,F,1991,Aguri Suzuki 🇯🇵,Larrousse 🇫🇷,16,0,0,,0.0
1991 Brazilian Grand Prix 🇧🇷,R,10,1991-03-24T00:00:00.000Z,13,1991,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,2,13,63,,0.0
1991 British Grand Prix 🇬🇧,R,17,1991-07-14T00:00:00.000Z,6,1991,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,8,13,58,,1.0
1991 Canadian Grand Prix 🇨🇦,4,14,1991-06-02T00:00:00.000Z,5,1991,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,5,11,69,+1:22.351,2.0
1991 French Grand Prix 🇫🇷,6,19,1991-07-07T00:00:00.000Z,R,1991,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,7,13,0,,0.0
1991 German Grand Prix 🇩🇪,5,11,1991-07-28T00:00:00.000Z,6,1991,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,9,7,45,+1:40.605,1.0
1991 Hungarian Grand Prix 🇭🇺,7,16,1991-08-11T00:00:00.000Z,9,1991,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,10,17,76,,0.0
1991 Mexican Grand Prix 🇲🇽,4,20,1991-06-16T00:00:00.000Z,R,1991,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,6,11,51,,0.0
1991 Monaco Grand Prix 🇲🇨,R,23,1991-05-12T00:00:00.000Z,8,1991,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,4,10,76,,0.0
1991 San Marino Grand Prix 🇮🇹,R,13,1991-04-28T00:00:00.000Z,R,1991,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,3,11,37,,0.0
1991 United States Grand Prix 🇺🇸,F,14,1991-03-10T00:00:00.000Z,10,1991,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,1,0,75,,0.0
1992 Australian Grand Prix 🇦🇺,R,21,1992-11-08T00:00:00.000Z,R,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,16,26,51,,0.0
1992 Belgian Grand Prix 🇧🇪,17,20,1992-08-30T00:00:00.000Z,18,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,12,26,40,,0.0
1992 Brazilian Grand Prix 🇧🇷,9,18,1992-04-05T00:00:00.000Z,R,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,3,25,23,,0.0
1992 British Grand Prix 🇬🇧,R,11,1992-07-12T00:00:00.000Z,R,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,9,16,32,,0.0
1992 Canadian Grand Prix 🇨🇦,R,19,1992-06-14T00:00:00.000Z,D,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,7,11,14,,0.0
1992 French Grand Prix 🇫🇷,R,13,1992-07-05T00:00:00.000Z,R,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,8,18,0,,0.0
1992 German Grand Prix 🇩🇪,R,25,1992-07-26T00:00:00.000Z,14,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,10,16,44,,0.0
1992 Hungarian Grand Prix 🇭🇺,R,15,1992-08-16T00:00:00.000Z,R,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,11,20,13,,0.0
1992 Italian Grand Prix 🇮🇹,9,10,1992-09-13T00:00:00.000Z,R,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,13,23,11,,0.0
1992 Japanese Grand Prix 🇯🇵,11,18,1992-10-25T00:00:00.000Z,R,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,15,20,39,,0.0
1992 Mexican Grand Prix 🇲🇽,12,13,1992-03-22T00:00:00.000Z,11,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,2,24,66,,0.0
1992 Monaco Grand Prix 🇲🇨,F,15,1992-05-31T00:00:00.000Z,6,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,6,0,77,,1.0
1992 Portuguese Grand Prix 🇵🇹,R,13,1992-09-27T00:00:00.000Z,R,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,14,25,25,,0.0
1992 San Marino Grand Prix 🇮🇹,R,19,1992-05-17T00:00:00.000Z,R,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,5,17,32,,0.0
1992 South African Grand Prix 🇿🇦,12,22,1992-03-01T00:00:00.000Z,R,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,1,18,8,,0.0
1992 Spanish Grand Prix 🇪🇸,F,24,1992-05-03T00:00:00.000Z,R,1992,Ukyo Katayama 🇯🇵,Larrousse 🇫🇷,4,0,35,,0.0
1994 Australian Grand Prix 🇦🇺,F,0,1994-11-13T00:00:00.000Z,F,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,16,0,0,,0.0
1994 Belgian Grand Prix 🇧🇪,F,0,1994-08-28T00:00:00.000Z,F,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,11,0,0,,0.0
1994 Brazilian Grand Prix 🇧🇷,F,25,1994-03-27T00:00:00.000Z,R,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,1,28,1,,0.0
1994 British Grand Prix 🇬🇧,F,0,1994-07-10T00:00:00.000Z,F,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,8,0,0,,0.0
1994 Canadian Grand Prix 🇨🇦,F,26,1994-06-12T00:00:00.000Z,R,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,6,0,47,,0.0
1994 European Grand Prix 🇪🇸,F,0,1994-10-16T00:00:00.000Z,F,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,14,0,0,,0.0
1994 French Grand Prix 🇫🇷,F,0,1994-07-03T00:00:00.000Z,F,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,7,0,0,,0.0
1994 German Grand Prix 🇩🇪,F,0,1994-07-31T00:00:00.000Z,F,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,9,0,0,,0.0
1994 Hungarian Grand Prix 🇭🇺,F,0,1994-08-14T00:00:00.000Z,F,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,10,0,0,,0.0
1994 Italian Grand Prix 🇮🇹,F,0,1994-09-11T00:00:00.000Z,F,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,12,0,0,,0.0
1994 Japanese Grand Prix 🇯🇵,F,0,1994-11-06T00:00:00.000Z,F,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,15,0,0,,0.0
1994 Monaco Grand Prix 🇲🇨,R,23,1994-05-15T00:00:00.000Z,R,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,4,24,49,,0.0
1994 Pacific Grand Prix 🇯🇵,F,0,1994-04-17T00:00:00.000Z,F,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,2,0,0,,0.0
1994 Portuguese Grand Prix 🇵🇹,F,0,1994-09-25T00:00:00.000Z,F,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,13,0,0,,0.0
1994 San Marino Grand Prix 🇮🇹,F,25,1994-05-01T00:00:00.000Z,R,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,3,0,23,,0.0
1994 Spanish Grand Prix 🇪🇸,R,25,1994-05-29T00:00:00.000Z,R,1994,Paul Belmondo 🇫🇷,Pacific 🇬🇧,5,26,32,,0.0
1995 Argentine Grand Prix 🇦🇷,R,23,1995-04-09T00:00:00.000Z,R,1995,Andrea Montermini 🇮🇹,Pacific 🇬🇧,2,22,0,,0.0
1995 Australian Grand Prix 🇦🇺,R,23,1995-11-12T00:00:00.000Z,8,1995,Andrea Montermini 🇮🇹,Pacific 🇬🇧,17,22,76,,0.0
1995 Brazilian Grand Prix 🇧🇷,9,20,1995-03-26T00:00:00.000Z,R,1995,Andrea Montermini 🇮🇹,Pacific 🇬🇧,1,22,23,,0.0
1995 British Grand Prix 🇬🇧,R,21,1995-07-16T00:00:00.000Z,12,1995,Andrea Montermini 🇮🇹,Pacific 🇬🇧,8,24,58,,0.0
1995 Canadian Grand Prix 🇨🇦,R,20,1995-06-11T00:00:00.000Z,R,1995,Andrea Montermini 🇮🇹,Pacific 🇬🇧,6,21,36,,0.0
1995 French Grand Prix 🇫🇷,N,22,1995-07-02T00:00:00.000Z,R,1995,Andrea Montermini 🇮🇹,Pacific 🇬🇧,7,21,24,,0.0
1995 Japanese Grand Prix 🇯🇵,R,22,1995-10-29T00:00:00.000Z,R,1995,Andrea Montermini 🇮🇹,Pacific 🇬🇧,16,19,6,,0.0
1995 Monaco Grand Prix 🇲🇨,D,21,1995-05-28T00:00:00.000Z,R,1995,Andrea Montermini 🇮🇹,Pacific 🇬🇧,5,25,42,,0.0
1995 Pacific Grand Prix 🇯🇵,R,24,1995-10-22T00:00:00.000Z,R,1995,Andrea Montermini 🇮🇹,Pacific 🇬🇧,15,23,2,,0.0
1995 San Marino Grand Prix 🇮🇹,R,22,1995-04-30T00:00:00.000Z,R,1995,Andrea Montermini 🇮🇹,Pacific 🇬🇧,3,24,36,,0.0
1995 Spanish Grand Prix 🇪🇸,W,24,1995-05-14T00:00:00.000Z,R,1995,Andrea Montermini 🇮🇹,Pacific 🇬🇧,4,23,43,,0.0
