name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1970 Italian Grand Prix 🇮🇹,10,0,0,Ferrari 🇮🇹,1970-09-06,F,,1970,Clay Regazzoni 🇨🇭
1971 Austrian Grand Prix 🇦🇹,8,15,51,BRM 🇬🇧,1971-08-15,12,,1971,Jo Siffert 🇨🇭
1971 British Grand Prix 🇬🇧,6,21,65,Tyrrell 🇬🇧,1971-07-17,11,,1971,Jackie Stewart 🇬🇧
1971 Canadian Grand Prix 🇨🇦,10,20,57,Tyrrell 🇬🇧,1971-09-19,16,,1971,Jackie Stewart 🇬🇧
1971 German Grand Prix 🇩🇪,7,21,10,Tyrrell 🇬🇧,1971-08-01,12,,1971,Jackie Stewart 🇬🇧
1971 Italian Grand Prix 🇮🇹,9,19,11,BRM 🇬🇧,1971-09-05,R,,1971,Peter Gethin 🇬🇧
1971 United States Grand Prix 🇺🇸,11,23,11,Tyrrell 🇬🇧,1971-10-03,R,,1971,François Cevert 🇫🇷
1972 Austrian Grand Prix 🇦🇹,9,23,45,Team Lotus 🇬🇧,1972-08-13,R,,1972,Emerson Fittipaldi 🇧🇷
1972 Belgian Grand Prix 🇧🇪,5,24,54,Team Lotus 🇬🇧,1972-06-04,R,,1972,Emerson Fittipaldi 🇧🇷
1972 British Grand Prix 🇬🇧,7,18,9,Team Lotus 🇬🇧,1972-07-15,R,,1972,Emerson Fittipaldi 🇧🇷
1972 French Grand Prix 🇫🇷,6,19,37,Tyrrell 🇬🇧,1972-07-02,13,,1972,Jackie Stewart 🇬🇧
1972 Italian Grand Prix 🇮🇹,10,23,6,Team Lotus 🇬🇧,1972-09-10,R,,1972,Emerson Fittipaldi 🇧🇷
1973 Argentine Grand Prix 🇦🇷,1,16,0,Team Lotus 🇬🇧,1973-01-28,R,,1973,Emerson Fittipaldi 🇧🇷
1973 Belgian Grand Prix 🇧🇪,5,17,6,Tyrrell 🇬🇧,1973-05-20,R,,1973,Jackie Stewart 🇬🇧
1973 Brazilian Grand Prix 🇧🇷,2,18,38,Team Lotus 🇬🇧,1973-02-11,9,,1973,Emerson Fittipaldi 🇧🇷
1973 Monaco Grand Prix 🇲🇨,6,21,30,Tyrrell 🇬🇧,1973-06-03,R,,1973,Jackie Stewart 🇬🇧
1973 Spanish Grand Prix 🇪🇸,4,20,69,Team Lotus 🇬🇧,1973-04-29,11,,1973,Emerson Fittipaldi 🇧🇷
