name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1970 Austrian Grand Prix 🇦🇹,9,21,59,Ferrari 🇮🇹,1970-08-16,10,,1970,Jacky Ickx 🇧🇪
1970 Canadian Grand Prix 🇨🇦,11,11,88,Ferrari 🇮🇹,1970-09-20,6,,1970,Jacky Ickx 🇧🇪
1970 Dutch Grand Prix 🇳🇱,5,11,18,Team Lotus 🇬🇧,1970-06-21,R,,1970,Jochen Rindt 🇦🇹
1970 German Grand Prix 🇩🇪,8,17,3,Team Lotus 🇬🇧,1970-08-02,R,,1970,Jochen Rindt 🇦🇹
1970 Italian Grand Prix 🇮🇹,10,16,60,Ferrari 🇮🇹,1970-09-06,N,,1970,Clay Regazzoni 🇨🇭
1970 Mexican Grand Prix 🇲🇽,13,10,27,Ferrari 🇮🇹,1970-10-25,R,,1970,Jacky Ickx 🇧🇪
1970 United States Grand Prix 🇺🇸,12,21,100,Team Lotus 🇬🇧,1970-10-04,14,,1970,Emerson Fittipaldi 🇧🇷
1971 Austrian Grand Prix 🇦🇹,8,16,52,BRM 🇬🇧,1971-08-15,10,,1971,Jo Siffert 🇨🇭
1971 British Grand Prix 🇬🇧,6,14,53,Tyrrell 🇬🇧,1971-07-17,R,,1971,Jackie Stewart 🇬🇧
1971 Canadian Grand Prix 🇨🇦,10,16,59,Tyrrell 🇬🇧,1971-09-19,14,,1971,Jackie Stewart 🇬🇧
1971 Dutch Grand Prix 🇳🇱,4,23,60,Ferrari 🇮🇹,1971-06-20,N,,1971,Jacky Ickx 🇧🇪
1971 French Grand Prix 🇫🇷,5,19,54,Tyrrell 🇬🇧,1971-07-04,9,,1971,Jackie Stewart 🇬🇧
1971 German Grand Prix 🇩🇪,7,19,5,Tyrrell 🇬🇧,1971-08-01,R,,1971,Jackie Stewart 🇬🇧
1971 Italian Grand Prix 🇮🇹,9,11,55,BRM 🇬🇧,1971-09-05,1,1:18:12.60,1971,Peter Gethin 🇬🇧
1971 Monaco Grand Prix 🇲🇨,3,14,22,Tyrrell 🇬🇧,1971-05-23,R,,1971,Jackie Stewart 🇬🇧
1971 South African Grand Prix 🇿🇦,1,11,7,Ferrari 🇮🇹,1971-03-06,R,,1971,Mario Andretti 🇺🇸
1971 Spanish Grand Prix 🇪🇸,2,7,73,Tyrrell 🇬🇧,1971-04-18,8,,1971,Jackie Stewart 🇬🇧
1971 United States Grand Prix 🇺🇸,11,21,58,Tyrrell 🇬🇧,1971-10-03,9,,1971,François Cevert 🇫🇷
1972 Argentine Grand Prix 🇦🇷,1,18,1,Tyrrell 🇬🇧,1972-01-23,R,,1972,Jackie Stewart 🇬🇧
1972 Austrian Grand Prix 🇦🇹,9,16,51,Team Lotus 🇬🇧,1972-08-13,13,,1972,Emerson Fittipaldi 🇧🇷
1972 Belgian Grand Prix 🇧🇪,5,17,27,Team Lotus 🇬🇧,1972-06-04,R,,1972,Emerson Fittipaldi 🇧🇷
1972 British Grand Prix 🇬🇧,7,16,5,Team Lotus 🇬🇧,1972-07-15,R,,1972,Emerson Fittipaldi 🇧🇷
1972 Canadian Grand Prix 🇨🇦,11,12,25,Tyrrell 🇬🇧,1972-09-24,R,,1972,Jackie Stewart 🇬🇧
1972 Italian Grand Prix 🇮🇹,10,12,55,Team Lotus 🇬🇧,1972-09-10,6,+1:21.9,1972,Emerson Fittipaldi 🇧🇷
1972 Monaco Grand Prix 🇲🇨,4,5,27,BRM 🇬🇧,1972-05-14,R,,1972,Jean-Pierre Beltoise 🇫🇷
1972 South African Grand Prix 🇿🇦,2,18,65,McLaren 🇬🇧,1972-03-04,N,,1972,Denny Hulme 🇳🇿
1972 Spanish Grand Prix 🇪🇸,3,21,65,Team Lotus 🇬🇧,1972-05-01,R,,1972,Emerson Fittipaldi 🇧🇷
1972 United States Grand Prix 🇺🇸,12,28,47,Tyrrell 🇬🇧,1972-10-08,R,,1972,Jackie Stewart 🇬🇧
1973 Canadian Grand Prix 🇨🇦,14,25,5,McLaren 🇬🇧,1973-09-23,R,,1973,Peter Revson 🇺🇸
1974 British Grand Prix 🇬🇧,10,21,0,Tyrrell 🇬🇧,1974-07-20,R,,1974,Jody Scheckter 🇿🇦
