name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2004 Brazilian Grand Prix 🇧🇷,R,17,2004-10-24T00:00:00.000Z,15,2004,Nick Heidfeld 🇩🇪,Jordan 🇮🇪,18,16,69,,0.0
2004 Canadian Grand Prix 🇨🇦,8,16,2004-06-13T00:00:00.000Z,7,2004,Nick Heidfeld 🇩🇪,Jordan 🇮🇪,8,15,68,,2.0
2004 Chinese Grand Prix 🇨🇳,13,16,2004-09-26T00:00:00.000Z,15,2004,Nick Heidfeld 🇩🇪,Jordan 🇮🇪,16,14,55,,0.0
2004 Japanese Grand Prix 🇯🇵,13,17,2004-10-10T00:00:00.000Z,15,2004,Nick Heidfeld 🇩🇪,Jordan 🇮🇪,17,16,51,,0.0
2008 Australian Grand Prix 🇦🇺,R,18,2008-03-16T00:00:00.000Z,R,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,1,6,43,,0.0
2008 Bahrain Grand Prix 🇧🇭,6,13,2008-04-06T00:00:00.000Z,9,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,3,7,57,+1:09.500,0.0
2008 Belgian Grand Prix 🇧🇪,16,13,2008-09-07T00:00:00.000Z,9,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,13,11,44,+1:07.045,0.0
2008 Brazilian Grand Prix 🇧🇷,8,10,2008-11-02T00:00:00.000Z,6,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,18,2,71,+44.368,3.0
2008 British Grand Prix 🇬🇧,7,12,2008-07-06T00:00:00.000Z,12,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,9,14,59,,0.0
2008 Canadian Grand Prix 🇨🇦,6,11,2008-06-08T00:00:00.000Z,4,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,7,14,70,+42.627,5.0
2008 Chinese Grand Prix 🇨🇳,R,12,2008-10-19T00:00:00.000Z,7,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,17,7,56,+41.722,2.0
2008 European Grand Prix 🇪🇸,5,13,2008-08-24T00:00:00.000Z,7,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,12,7,57,+1:07.990,2.0
2008 French Grand Prix 🇫🇷,3,8,2008-06-22T00:00:00.000Z,11,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,8,4,70,+57.700,0.0
2008 German Grand Prix 🇩🇪,9,11,2008-07-20T00:00:00.000Z,R,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,10,4,35,,0.0
2008 Hungarian Grand Prix 🇭🇺,7,5,2008-08-03T00:00:00.000Z,2,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,11,9,70,+11.061,8.0
2008 Italian Grand Prix 🇮🇹,13,9,2008-09-14T00:00:00.000Z,11,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,14,7,53,+58.888,0.0
2008 Japanese Grand Prix 🇯🇵,5,8,2008-10-12T00:00:00.000Z,R,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,16,7,6,,0.0
2008 Malaysian Grand Prix 🇲🇾,4,10,2008-03-23T00:00:00.000Z,R,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,2,3,1,,0.0
2008 Monaco Grand Prix 🇲🇨,13,10,2008-05-25T00:00:00.000Z,12,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,6,8,75,,0.0
2008 Singapore Grand Prix 🇸🇬,R,7,2008-09-28T00:00:00.000Z,4,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,15,11,61,+8.155,5.0
2008 Spanish Grand Prix 🇪🇸,8,14,2008-04-27T00:00:00.000Z,11,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,4,8,65,,0.0
2008 Turkish Grand Prix 🇹🇷,10,15,2008-05-11T00:00:00.000Z,13,2008,Jarno Trulli 🇮🇹,Toyota 🇯🇵,5,8,57,,0.0
2009 Australian Grand Prix 🇦🇺,3,19,2009-03-29T00:00:00.000Z,4,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,1,20,58,+4.435,5.0
2009 Bahrain Grand Prix 🇧🇭,3,2,2009-04-26T00:00:00.000Z,7,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,4,1,57,+42.880,2.0
2009 Belgian Grand Prix 🇧🇪,R,7,2009-08-30T00:00:00.000Z,10,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,12,2,44,+41.490,0.0
2009 British Grand Prix 🇬🇧,7,8,2009-06-21T00:00:00.000Z,9,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,8,4,60,+1:09.823,0.0
2009 Chinese Grand Prix 🇨🇳,R,19,2009-04-19T00:00:00.000Z,7,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,3,6,56,+1:14.476,2.0
2009 European Grand Prix 🇪🇸,13,13,2009-08-23T00:00:00.000Z,14,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,11,18,57,+1:26.519,0.0
2009 German Grand Prix 🇩🇪,17,20,2009-07-12T00:00:00.000Z,9,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,9,14,60,+1:01.457,0.0
2009 Hungarian Grand Prix 🇭🇺,8,13,2009-07-26T00:00:00.000Z,6,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,10,11,70,+35.237,3.0
2009 Italian Grand Prix 🇮🇹,14,16,2009-09-13T00:00:00.000Z,11,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,13,11,53,+2:43.925,0.0
2009 Japanese Grand Prix 🇯🇵,2,20,2009-10-04T00:00:00.000Z,W,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,15,2,0,,0.0
2009 Malaysian Grand Prix 🇲🇾,4,3,2009-04-05T00:00:00.000Z,3,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,2,2,31,+23.513,3.0
2009 Monaco Grand Prix 🇲🇨,13,20,2009-05-24T00:00:00.000Z,10,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,6,18,77,,0.0
2009 Singapore Grand Prix 🇸🇬,12,6,2009-09-27T00:00:00.000Z,2,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,14,14,61,+9.634,8.0
2009 Spanish Grand Prix 🇪🇸,R,6,2009-05-10T00:00:00.000Z,10,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,5,7,65,,0.0
2009 Turkish Grand Prix 🇹🇷,4,13,2009-06-07T00:00:00.000Z,8,2009,Jarno Trulli 🇮🇹,Toyota 🇯🇵,7,5,58,+46.959,1.0
2010 Abu Dhabi Grand Prix 🇦🇪,18,21,2010-11-14T00:00:00.000Z,R,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,19,22,43,,0.0
2010 Australian Grand Prix 🇦🇺,R,23,2010-03-28T00:00:00.000Z,R,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,2,24,41,,0.0
2010 Bahrain Grand Prix 🇧🇭,R,19,2010-03-14T00:00:00.000Z,R,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,1,22,16,,0.0
2010 Belgian Grand Prix 🇧🇪,17,20,2010-08-29T00:00:00.000Z,18,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,13,22,43,,0.0
2010 Brazilian Grand Prix 🇧🇷,N,17,2010-11-07T00:00:00.000Z,20,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,18,21,69,,0.0
2010 British Grand Prix 🇬🇧,R,19,2010-07-11T00:00:00.000Z,18,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,10,22,50,,0.0
2010 Canadian Grand Prix 🇨🇦,19,21,2010-06-13T00:00:00.000Z,R,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,8,23,55,,0.0
2010 Chinese Grand Prix 🇨🇳,R,19,2010-04-18T00:00:00.000Z,W,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,4,22,0,,0.0
2010 European Grand Prix 🇪🇸,17,22,2010-06-27T00:00:00.000Z,19,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,9,21,55,,0.0
2010 German Grand Prix 🇩🇪,R,23,2010-07-25T00:00:00.000Z,18,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,11,24,64,,0.0
2010 Hungarian Grand Prix 🇭🇺,18,18,2010-08-01T00:00:00.000Z,16,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,12,21,67,,0.0
2010 Italian Grand Prix 🇮🇹,20,24,2010-09-12T00:00:00.000Z,17,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,14,21,51,,0.0
2010 Japanese Grand Prix 🇯🇵,R,22,2010-10-10T00:00:00.000Z,14,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,16,21,51,,0.0
2010 Korean Grand Prix 🇰🇷,R,19,2010-10-24T00:00:00.000Z,R,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,17,22,31,,0.0
2010 Malaysian Grand Prix 🇲🇾,14,16,2010-04-04T00:00:00.000Z,R,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,3,24,2,,0.0
2010 Monaco Grand Prix 🇲🇨,R,20,2010-05-16T00:00:00.000Z,R,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,6,21,22,,0.0
2010 Singapore Grand Prix 🇸🇬,15,18,2010-09-26T00:00:00.000Z,R,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,15,20,49,,0.0
2010 Spanish Grand Prix 🇪🇸,19,22,2010-05-09T00:00:00.000Z,18,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,5,23,63,,0.0
2010 Turkish Grand Prix 🇹🇷,19,21,2010-05-30T00:00:00.000Z,18,2010,Lucas di Grassi 🇧🇷,Virgin 🇬🇧,7,23,55,,0.0
2011 Abu Dhabi Grand Prix 🇦🇪,R,19,2011-11-13T00:00:00.000Z,19,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,18,21,53,,0.0
2011 Australian Grand Prix 🇦🇺,14,21,2011-03-27T00:00:00.000Z,N,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,1,22,49,,0.0
2011 Belgian Grand Prix 🇧🇪,17,19,2011-08-28T00:00:00.000Z,18,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,12,20,43,,0.0
2011 Brazilian Grand Prix 🇧🇷,19,24,2011-11-27T00:00:00.000Z,R,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,19,23,21,,0.0
2011 British Grand Prix 🇬🇧,17,20,2011-07-10T00:00:00.000Z,16,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,9,22,50,,0.0
2011 Canadian Grand Prix 🇨🇦,15,21,2011-06-12T00:00:00.000Z,16,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,7,23,69,,0.0
2011 Chinese Grand Prix 🇨🇳,20,22,2011-04-17T00:00:00.000Z,21,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,3,21,54,,0.0
2011 European Grand Prix 🇪🇸,22,21,2011-06-26T00:00:00.000Z,21,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,8,23,55,,0.0
2011 German Grand Prix 🇩🇪,18,19,2011-07-24T00:00:00.000Z,17,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,10,21,57,,0.0
2011 Hungarian Grand Prix 🇭🇺,19,20,2011-07-31T00:00:00.000Z,17,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,11,24,66,,0.0
2011 Indian Grand Prix 🇮🇳,16,22,2011-10-30T00:00:00.000Z,R,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,17,21,2,,0.0
2011 Italian Grand Prix 🇮🇹,R,21,2011-09-11T00:00:00.000Z,15,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,13,22,51,,0.0
2011 Japanese Grand Prix 🇯🇵,21,21,2011-10-09T00:00:00.000Z,20,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,15,20,51,,0.0
2011 Korean Grand Prix 🇰🇷,20,21,2011-10-16T00:00:00.000Z,18,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,16,22,54,,0.0
2011 Malaysian Grand Prix 🇲🇾,R,21,2011-04-10T00:00:00.000Z,16,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,2,22,54,,0.0
2011 Monaco Grand Prix 🇲🇨,15,20,2011-05-29T00:00:00.000Z,R,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,6,21,30,,0.0
2011 Singapore Grand Prix 🇸🇬,18,21,2011-09-25T00:00:00.000Z,R,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,14,22,9,,0.0
2011 Spanish Grand Prix 🇪🇸,20,20,2011-05-22T00:00:00.000Z,19,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,5,23,63,,0.0
2011 Turkish Grand Prix 🇹🇷,20,21,2011-05-08T00:00:00.000Z,W,2011,Jérôme d'Ambrosio 🇧🇪,Virgin 🇬🇧,4,23,0,,0.0
2012 Abu Dhabi Grand Prix 🇦🇪,R,21,2012-11-04T00:00:00.000Z,14,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,18,19,55,+56.473,0.0
2012 Australian Grand Prix 🇦🇺,15,20,2012-03-18T00:00:00.000Z,14,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,1,21,57,,0.0
2012 Bahrain Grand Prix 🇧🇭,R,23,2012-04-22T00:00:00.000Z,19,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,4,19,55,,0.0
2012 Belgian Grand Prix 🇧🇪,16,20,2012-09-02T00:00:00.000Z,15,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,12,22,43,,0.0
2012 Brazilian Grand Prix 🇧🇷,12,21,2012-11-25T00:00:00.000Z,16,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,20,22,70,,0.0
2012 British Grand Prix 🇬🇧,19,20,2012-07-08T00:00:00.000Z,18,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,9,24,51,,0.0
2012 Canadian Grand Prix 🇨🇦,20,21,2012-06-10T00:00:00.000Z,21,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,7,23,56,,0.0
2012 Chinese Grand Prix 🇨🇳,20,20,2012-04-15T00:00:00.000Z,19,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,3,21,55,,0.0
2012 European Grand Prix 🇪🇸,15,0,2012-06-24T00:00:00.000Z,W,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,8,23,0,,0.0
2012 German Grand Prix 🇩🇪,20,22,2012-07-22T00:00:00.000Z,22,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,10,20,64,,0.0
2012 Hungarian Grand Prix 🇭🇺,20,22,2012-07-29T00:00:00.000Z,21,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,11,21,66,,0.0
2012 Indian Grand Prix 🇮🇳,19,21,2012-10-28T00:00:00.000Z,20,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,17,24,58,,0.0
2012 Italian Grand Prix 🇮🇹,16,19,2012-09-09T00:00:00.000Z,17,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,13,20,52,,0.0
2012 Japanese Grand Prix 🇯🇵,R,18,2012-10-07T00:00:00.000Z,16,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,15,21,52,,0.0
2012 Korean Grand Prix 🇰🇷,19,20,2012-10-14T00:00:00.000Z,18,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,16,24,54,,0.0
2012 Malaysian Grand Prix 🇲🇾,20,20,2012-03-25T00:00:00.000Z,17,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,2,21,55,,0.0
2012 Monaco Grand Prix 🇲🇨,R,19,2012-05-27T00:00:00.000Z,14,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,6,21,77,,0.0
2012 Singapore Grand Prix 🇸🇬,16,20,2012-09-23T00:00:00.000Z,12,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,14,21,59,+91.918,0.0
2012 Spanish Grand Prix 🇪🇸,R,21,2012-05-13T00:00:00.000Z,18,2012,Charles Pic 🇫🇷,Marussia 🇷🇺,5,20,64,,0.0
