name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1951 Spanish Grand Prix 🇪🇸,8,17,60,Alfa Romeo 🇮🇹,1951-10-28,10,,1951,Juan Fangio 🇦🇷
1954 Spanish Grand Prix 🇪🇸,9,13,76,Ferrari 🇮🇹,1954-10-24,6,,1954,Mike Hawthorn 🇬🇧
1956 Belgian Grand Prix 🇧🇪,4,13,0,Ferrari 🇮🇹,1956-06-03,R,,1956,Peter Collins 🇬🇧
1956 British Grand Prix 🇬🇧,6,25,94,Ferrari 🇮🇹,1956-07-14,8,,1956,Juan Fangio 🇦🇷
1956 French Grand Prix 🇫🇷,5,17,57,Ferrari 🇮🇹,1956-07-01,7,,1956,Peter Collins 🇬🇧
1956 German Grand Prix 🇩🇪,7,16,20,Ferrari 🇮🇹,1956-08-05,4,,1956,Juan Fangio 🇦🇷
1956 Italian Grand Prix 🇮🇹,8,18,49,Maserati 🇮🇹,1956-09-02,4,,1956,Stirling Moss 🇬🇧
1957 German Grand Prix 🇩🇪,6,21,11,Maserati 🇮🇹,1957-08-04,R,,1957,Juan Fangio 🇦🇷
1957 Italian Grand Prix 🇮🇹,8,15,81,Vanwall 🇬🇧,1957-09-08,9,,1957,Stirling Moss 🇬🇧
1957 Pescara Grand Prix 🇮🇹,7,12,9,Vanwall 🇬🇧,1957-08-18,R,,1957,Stirling Moss 🇬🇧
1958 Argentine Grand Prix 🇦🇷,1,9,75,Cooper 🇬🇧,1958-01-19,8,,1958,Stirling Moss 🇬🇧
1958 Belgian Grand Prix 🇧🇪,5,18,22,Vanwall 🇬🇧,1958-06-15,R,,1958,Tony Brooks 🇬🇧
1958 French Grand Prix 🇫🇷,6,11,28,Ferrari 🇮🇹,1958-07-06,R,,1958,Mike Hawthorn 🇬🇧
1958 Monaco Grand Prix 🇲🇨,2,0,0,Cooper 🇬🇧,1958-05-18,F,,1958,Maurice Trintignant 🇫🇷
