name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1950 Indianapolis 500 🇺🇸,5,12,1950-05-30,4,1950,Tony Bettenhausen 🇺🇸,Kurtis Kraft 🇺🇸,3,9,137,,3.0
1950 Indianapolis 500 🇺🇸,R,12,1950-05-30,4,1950,Duke Dinsmore 🇺🇸,Kurtis Kraft 🇺🇸,3,7,137,,3.0
1950 Indianapolis 500 🇺🇸,R,12,1950-05-30,4,1950,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,3,25,137,,3.0
1950 Indianapolis 500 🇺🇸,R,12,1950-05-30,4,1950,Jimmy Jackson 🇺🇸,Kurtis Kraft 🇺🇸,3,32,137,,3.0
1950 Indianapolis 500 🇺🇸,R,12,1950-05-30,4,1950,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,3,2,137,,3.0
1950 Indianapolis 500 🇺🇸,21,12,1950-05-30,4,1950,Jerry Hoyt 🇺🇸,Kurtis Kraft 🇺🇸,3,15,137,,3.0
1950 Indianapolis 500 🇺🇸,19,12,1950-05-30,4,1950,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,3,20,137,,3.0
1950 Indianapolis 500 🇺🇸,18,12,1950-05-30,4,1950,Johnny McDowell 🇺🇸,Kurtis Kraft 🇺🇸,3,33,137,,3.0
1950 Indianapolis 500 🇺🇸,14,12,1950-05-30,4,1950,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,3,6,137,,3.0
1950 Indianapolis 500 🇺🇸,13,12,1950-05-30,4,1950,Mack Hellings 🇺🇸,Kurtis Kraft 🇺🇸,3,26,137,,3.0
1950 Indianapolis 500 🇺🇸,10,12,1950-05-30,4,1950,Pat Flaherty 🇺🇸,Kurtis Kraft 🇺🇸,3,11,137,,3.0
1950 Indianapolis 500 🇺🇸,7,12,1950-05-30,4,1950,Walt Faulkner 🇺🇸,Kurtis Kraft 🇺🇸,3,1,137,,3.0
1950 Indianapolis 500 🇺🇸,5,12,1950-05-30,4,1950,Joie Chitwood 🇺🇸,Kurtis Kraft 🇺🇸,3,9,137,,3.0
1950 Indianapolis 500 🇺🇸,1,12,1950-05-30,4,1950,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,3,5,137,,3.0
1951 Indianapolis 500 🇺🇸,1,10,1951-05-30,R,1951,Lee Wallard 🇺🇸,Kurtis Kraft 🇺🇸,2,2,80,,0.0
1951 Indianapolis 500 🇺🇸,3,10,1951-05-30,R,1951,Manny Ayulo 🇺🇸,Kurtis Kraft 🇺🇸,2,3,80,,0.0
1951 Indianapolis 500 🇺🇸,R,10,1951-05-30,R,1951,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,2,13,80,,0.0
1951 Indianapolis 500 🇺🇸,R,10,1951-05-30,R,1951,Chet Miller 🇺🇸,Kurtis Kraft 🇺🇸,2,28,80,,0.0
1951 Indianapolis 500 🇺🇸,R,10,1951-05-30,R,1951,Troy Ruttman 🇺🇸,Kurtis Kraft 🇺🇸,2,6,80,,0.0
1951 Indianapolis 500 🇺🇸,R,10,1951-05-30,R,1951,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,8,80,,0.0
1951 Indianapolis 500 🇺🇸,R,10,1951-05-30,R,1951,Carl Scarborough 🇺🇸,Kurtis Kraft 🇺🇸,2,15,80,,0.0
1951 Indianapolis 500 🇺🇸,R,10,1951-05-30,R,1951,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,11,80,,0.0
1951 Indianapolis 500 🇺🇸,R,10,1951-05-30,R,1951,Bill Schindler 🇺🇸,Kurtis Kraft 🇺🇸,2,16,80,,0.0
1951 Indianapolis 500 🇺🇸,R,10,1951-05-30,R,1951,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,12,80,,0.0
1951 Indianapolis 500 🇺🇸,R,10,1951-05-30,R,1951,Gene Force 🇺🇸,Kurtis Kraft 🇺🇸,2,22,80,,0.0
1951 Indianapolis 500 🇺🇸,R,10,1951-05-30,R,1951,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,1,80,,0.0
1951 Indianapolis 500 🇺🇸,7,10,1951-05-30,R,1951,Carl Forberg 🇺🇸,Kurtis Kraft 🇺🇸,2,24,80,,0.0
1951 Indianapolis 500 🇺🇸,3,10,1951-05-30,R,1951,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,80,,0.0
1951 Indianapolis 500 🇺🇸,2,10,1951-05-30,R,1951,Mike Nazaruk 🇺🇸,Kurtis Kraft 🇺🇸,2,7,80,,0.0
1951 Indianapolis 500 🇺🇸,R,10,1951-05-30,R,1951,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,18,80,,0.0
