name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1957 German Grand Prix 🇩🇪,6,10,21,Maserati 🇮🇹,1957-08-04,8,,1957,Juan Fangio 🇦🇷
1957 Italian Grand Prix 🇮🇹,8,11,84,Vanwall 🇬🇧,1957-09-08,4,,1957,Stirling Moss 🇬🇧
1957 Monaco Grand Prix 🇲🇨,2,10,103,Maserati 🇮🇹,1957-05-19,3,,1957,Juan Fangio 🇦🇷
1957 Pescara Grand Prix 🇮🇹,7,7,18,Vanwall 🇬🇧,1957-08-18,4,+8:16.5,1957,Stirling Moss 🇬🇧
1958 Belgian Grand Prix 🇧🇪,5,3,0,Vanwall 🇬🇧,1958-06-15,R,,1958,Tony Brooks 🇬🇧
1958 Dutch Grand Prix 🇳🇱,3,14,16,Vanwall 🇬🇧,1958-05-26,R,,1958,Stirling Moss 🇬🇧
1958 Italian Grand Prix 🇮🇹,10,11,69,Vanwall 🇬🇧,1958-09-07,4,,1958,Tony Brooks 🇬🇧
1958 Moroccan Grand Prix 🇲🇦,11,13,52,Vanwall 🇬🇧,1958-10-19,6,,1958,Stirling Moss 🇬🇧
1959 British Grand Prix 🇬🇧,5,5,73,Cooper-Climax 🇬🇧,1959-07-18,7,,1959,Jack Brabham 🇦🇺
1959 Dutch Grand Prix 🇳🇱,3,7,75,BRM 🇬🇧,1959-05-31,3,+1:23.0,1959,Jo Bonnier 🇸🇪
1959 French Grand Prix 🇫🇷,4,7,8,Ferrari 🇮🇹,1959-07-05,R,,1959,Tony Brooks 🇬🇧
1959 German Grand Prix 🇩🇪,6,5,23,Ferrari 🇮🇹,1959-08-02,R,,1959,Tony Brooks 🇬🇧
1959 Monaco Grand Prix 🇲🇨,1,11,6,Cooper-Climax 🇬🇧,1959-05-10,R,,1959,Jack Brabham 🇦🇺
1959 Portuguese Grand Prix 🇵🇹,7,3,61,Cooper-Climax 🇬🇧,1959-08-23,2,,1959,Stirling Moss 🇬🇧
1960 Argentine Grand Prix 🇦🇷,1,16,76,Cooper-Climax 🇬🇧,1960-02-07,12,,1960,Bruce McLaren 🇳🇿
1960 British Grand Prix 🇬🇧,7,14,71,Cooper-Climax 🇬🇧,1960-07-16,14,,1960,Jack Brabham 🇦🇺
1960 Dutch Grand Prix 🇳🇱,4,0,0,Cooper-Climax 🇬🇧,1960-06-06,W,,1960,Jack Brabham 🇦🇺
1960 French Grand Prix 🇫🇷,6,17,37,Cooper-Climax 🇬🇧,1960-07-03,9,,1960,Jack Brabham 🇦🇺
1960 Monaco Grand Prix 🇲🇨,2,0,0,Team Lotus 🇬🇧,1960-05-29,F,,1960,Stirling Moss 🇬🇧
1960 Portuguese Grand Prix 🇵🇹,8,11,21,Cooper-Climax 🇬🇧,1960-08-14,R,,1960,Jack Brabham 🇦🇺
1961 Belgian Grand Prix 🇧🇪,3,12,29,Ferrari 🇮🇹,1961-06-18,10,,1961,Phil Hill 🇺🇸
1961 British Grand Prix 🇬🇧,5,16,71,Ferrari 🇮🇹,1961-07-15,11,,1961,Wolfgang von Trips 🇩🇪
1961 Dutch Grand Prix 🇳🇱,2,0,0,Ferrari 🇮🇹,1961-05-22,W,,1961,Wolfgang von Trips 🇩🇪
1961 French Grand Prix 🇫🇷,4,16,43,Ferrari 🇮🇹,1961-07-02,12,,1961,Giancarlo Baghetti 🇮🇹
1961 German Grand Prix 🇩🇪,6,0,0,Lotus-Climax 🇬🇧,1961-08-06,W,,1961,Stirling Moss 🇬🇧
1961 Italian Grand Prix 🇮🇹,7,17,11,Ferrari 🇮🇹,1961-09-10,R,,1961,Phil Hill 🇺🇸
