name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1959 French Grand Prix 🇫🇷,4,12,19,Ferrari 🇮🇹,1959-07-05,R,,1959,Tony Brooks 🇬🇧
1959 German Grand Prix 🇩🇪,6,3,60,Ferrari 🇮🇹,1959-08-02,2,+2.9,1959,Tony Brooks 🇬🇧
1959 Italian Grand Prix 🇮🇹,8,4,72,Cooper-Climax 🇬🇧,1959-09-13,4,+1:19.6,1959,Stirling Moss 🇬🇧
1959 Portuguese Grand Prix 🇵🇹,7,6,61,Cooper-Climax 🇬🇧,1959-08-23,3,,1959,Stirling Moss 🇬🇧
1960 Belgian Grand Prix 🇧🇪,5,12,4,Cooper-Climax 🇬🇧,1960-06-19,R,,1960,Jack Brabham 🇦🇺
1960 British Grand Prix 🇬🇧,7,6,74,Cooper-Climax 🇬🇧,1960-07-16,10,,1960,Jack Brabham 🇦🇺
1960 Dutch Grand Prix 🇳🇱,4,6,11,Cooper-Climax 🇬🇧,1960-06-06,R,,1960,Jack Brabham 🇦🇺
1960 French Grand Prix 🇫🇷,6,6,17,Cooper-Climax 🇬🇧,1960-07-03,R,,1960,Jack Brabham 🇦🇺
1960 Monaco Grand Prix 🇲🇨,2,14,44,Team Lotus 🇬🇧,1960-05-29,R,,1960,Stirling Moss 🇬🇧
1960 Portuguese Grand Prix 🇵🇹,8,2,25,Cooper-Climax 🇬🇧,1960-08-14,R,,1960,Jack Brabham 🇦🇺
1960 United States Grand Prix 🇺🇸,10,3,18,Team Lotus 🇬🇧,1960-11-20,R,,1960,Stirling Moss 🇬🇧
1961 Belgian Grand Prix 🇧🇪,3,10,30,Ferrari 🇮🇹,1961-06-18,6,+1:31.0,1961,Phil Hill 🇺🇸
1961 British Grand Prix 🇬🇧,5,12,74,Ferrari 🇮🇹,1961-07-15,7,,1961,Wolfgang von Trips 🇩🇪
1961 Dutch Grand Prix 🇳🇱,2,6,74,Ferrari 🇮🇹,1961-05-22,10,,1961,Wolfgang von Trips 🇩🇪
1961 French Grand Prix 🇫🇷,4,5,52,Ferrari 🇮🇹,1961-07-02,2,+0.1,1961,Giancarlo Baghetti 🇮🇹
1961 German Grand Prix 🇩🇪,6,7,15,Lotus-Climax 🇬🇧,1961-08-06,7,+3:23.1,1961,Stirling Moss 🇬🇧
1961 Italian Grand Prix 🇮🇹,7,12,43,Ferrari 🇮🇹,1961-09-10,2,+31.2,1961,Phil Hill 🇺🇸
1961 Monaco Grand Prix 🇲🇨,1,11,98,Lotus-Climax 🇬🇧,1961-05-14,5,,1961,Stirling Moss 🇬🇧
1961 United States Grand Prix 🇺🇸,8,7,100,Lotus-Climax 🇬🇧,1961-10-08,2,+4.3,1961,Innes Ireland 🇬🇧
1962 Belgian Grand Prix 🇧🇪,3,0,0,Lotus-Climax 🇬🇧,1962-06-17,W,,1962,Jim Clark 🇬🇧
1962 British Grand Prix 🇬🇧,5,6,73,Lotus-Climax 🇬🇧,1962-07-21,9,,1962,Jim Clark 🇬🇧
1962 Dutch Grand Prix 🇳🇱,1,8,47,BRM 🇬🇧,1962-05-20,R,,1962,Graham Hill 🇬🇧
